Date_of_report,Municipality_code,Municipality_name,Province,Total_reported,Hospital_admission,Deceased
2021-01-17 10:00:00,GM0014,Groningen,Groningen,7282,59,23
2021-01-17 10:00:00,GM0034,Almere,Flevoland,12251,230,61
2021-01-17 10:00:00,GM0037,Stadskanaal,Groningen,1421,15,9
2021-01-17 10:00:00,GM0047,Veendam,Groningen,917,5,6
2021-01-17 10:00:00,GM0050,Zeewolde,Flevoland,997,18,11
2021-01-17 10:00:00,GM0059,Achtkarspelen,Frysl̢n,916,3,4
2021-01-17 10:00:00,GM0060,Ameland,Frysl̢n,133,0,0
2021-01-17 10:00:00,GM0072,Harlingen,Frysl̢n,270,5,2
2021-01-17 10:00:00,GM0074,Heerenveen,Frysl̢n,1217,20,24
2021-01-17 10:00:00,GM0080,Leeuwarden,Frysl̢n,3436,60,30
2021-01-17 10:00:00,GM0085,Ooststellingwerf,Frysl̢n,593,10,1
2021-01-17 10:00:00,GM0086,Opsterland,Frysl̢n,693,17,3
2021-01-17 10:00:00,GM0088,Schiermonnikoog,Frysl̢n,8,1,0
2021-01-17 10:00:00,GM0090,Smallingerland,Frysl̢n,1402,19,15
2021-01-17 10:00:00,GM0093,Terschelling,Frysl̢n,153,1,1
2021-01-17 10:00:00,GM0096,Vlieland,Frysl̢n,27,0,0
2021-01-17 10:00:00,GM0098,Weststellingwerf,Frysl̢n,688,8,12
2021-01-17 10:00:00,GM0106,Assen,Drenthe,1764,34,10
2021-01-17 10:00:00,GM0109,Coevorden,Drenthe,1431,36,17
2021-01-17 10:00:00,GM0114,Emmen,Drenthe,4311,72,46
2021-01-17 10:00:00,GM0118,Hoogeveen,Drenthe,2641,49,31
2021-01-17 10:00:00,GM0119,Meppel,Drenthe,1230,18,17
2021-01-17 10:00:00,GM0141,Almelo,Overijssel,4733,62,45
2021-01-17 10:00:00,GM0147,Borne,Overijssel,1534,25,24
2021-01-17 10:00:00,GM0148,Dalfsen,Overijssel,1303,20,17
2021-01-17 10:00:00,GM0150,Deventer,Overijssel,4839,71,74
2021-01-17 10:00:00,GM0153,Enschede,Overijssel,8627,159,129
2021-01-17 10:00:00,GM0158,Haaksbergen,Overijssel,1896,29,30
2021-01-17 10:00:00,GM0160,Hardenberg,Overijssel,3239,42,32
2021-01-17 10:00:00,GM0163,Hellendoorn,Overijssel,2424,24,33
2021-01-17 10:00:00,GM0164,Hengelo (O.),Overijssel,4772,57,53
2021-01-17 10:00:00,GM0166,Kampen,Overijssel,2042,69,41
2021-01-17 10:00:00,GM0168,Losser,Overijssel,1736,33,25
2021-01-17 10:00:00,GM0171,Noordoostpolder,Flevoland,2135,27,23
2021-01-17 10:00:00,GM0173,Oldenzaal,Overijssel,2108,39,39
2021-01-17 10:00:00,GM0175,Ommen,Overijssel,769,13,13
2021-01-17 10:00:00,GM0177,Raalte,Overijssel,2127,29,28
2021-01-17 10:00:00,GM0180,Staphorst,Overijssel,1345,14,11
2021-01-17 10:00:00,GM0183,Tubbergen,Overijssel,1833,18,14
2021-01-17 10:00:00,GM0184,Urk,Flevoland,1814,41,11
2021-01-17 10:00:00,GM0189,Wierden,Overijssel,2100,14,22
2021-01-17 10:00:00,GM0193,Zwolle,Overijssel,4263,67,77
2021-01-17 10:00:00,GM0197,Aalten,Gelderland,1229,18,18
2021-01-17 10:00:00,GM0200,Apeldoorn,Gelderland,6644,156,130
2021-01-17 10:00:00,GM0202,Arnhem,Gelderland,7741,143,95
2021-01-17 10:00:00,GM0203,Barneveld,Gelderland,4908,36,37
2021-01-17 10:00:00,GM0209,Beuningen,Gelderland,1191,28,16
2021-01-17 10:00:00,GM0213,Brummen,Gelderland,799,26,14
2021-01-17 10:00:00,GM0214,Buren,Gelderland,1336,30,15
2021-01-17 10:00:00,GM0216,Culemborg,Gelderland,1545,37,15
2021-01-17 10:00:00,GM0221,Doesburg,Gelderland,463,15,8
2021-01-17 10:00:00,GM0222,Doetinchem,Gelderland,2489,51,24
2021-01-17 10:00:00,GM0225,Druten,Gelderland,957,34,20
2021-01-17 10:00:00,GM0226,Duiven,Gelderland,1254,24,10
2021-01-17 10:00:00,GM0228,Ede,Gelderland,7428,109,65
2021-01-17 10:00:00,GM0230,Elburg,Gelderland,1150,33,12
2021-01-17 10:00:00,GM0232,Epe,Gelderland,1419,62,32
2021-01-17 10:00:00,GM0233,Ermelo,Gelderland,1576,35,29
2021-01-17 10:00:00,GM0243,Harderwijk,Gelderland,2475,62,35
2021-01-17 10:00:00,GM0244,Hattem,Gelderland,467,19,5
2021-01-17 10:00:00,GM0246,Heerde,Gelderland,694,55,29
2021-01-17 10:00:00,GM0252,Heumen,Gelderland,836,24,15
2021-01-17 10:00:00,GM0262,Lochem,Gelderland,1226,28,26
2021-01-17 10:00:00,GM0263,Maasdriel,Gelderland,1417,29,25
2021-01-17 10:00:00,GM0267,Nijkerk,Gelderland,2894,42,12
2021-01-17 10:00:00,GM0268,Nijmegen,Gelderland,8456,217,153
2021-01-17 10:00:00,GM0269,Oldebroek,Gelderland,1187,44,28
2021-01-17 10:00:00,GM0273,Putten,Gelderland,1575,16,12
2021-01-17 10:00:00,GM0274,Renkum,Gelderland,1262,27,21
2021-01-17 10:00:00,GM0275,Rheden,Gelderland,2083,50,34
2021-01-17 10:00:00,GM0277,Rozendaal,Gelderland,67,1,0
2021-01-17 10:00:00,GM0279,Scherpenzeel,Gelderland,680,5,9
2021-01-17 10:00:00,GM0281,Tiel,Gelderland,2256,72,44
2021-01-17 10:00:00,GM0285,Voorst,Gelderland,1026,25,14
2021-01-17 10:00:00,GM0289,Wageningen,Gelderland,1723,33,32
2021-01-17 10:00:00,GM0293,Westervoort,Gelderland,684,18,8
2021-01-17 10:00:00,GM0294,Winterswijk,Gelderland,1144,13,11
2021-01-17 10:00:00,GM0296,Wijchen,Gelderland,2237,68,42
2021-01-17 10:00:00,GM0297,Zaltbommel,Gelderland,2019,30,33
2021-01-17 10:00:00,GM0299,Zevenaar,Gelderland,1723,66,31
2021-01-17 10:00:00,GM0301,Zutphen,Gelderland,1670,44,22
2021-01-17 10:00:00,GM0302,Nunspeet,Gelderland,1283,71,27
2021-01-17 10:00:00,GM0303,Dronten,Flevoland,1811,51,20
2021-01-17 10:00:00,GM0307,Amersfoort,Utrecht,8503,172,92
2021-01-17 10:00:00,GM0308,Baarn,Utrecht,1252,27,23
2021-01-17 10:00:00,GM0310,De Bilt,Utrecht,2197,44,63
2021-01-17 10:00:00,GM0312,Bunnik,Utrecht,689,16,11
2021-01-17 10:00:00,GM0313,Bunschoten,Utrecht,2708,43,35
2021-01-17 10:00:00,GM0317,Eemnes,Utrecht,512,10,2
2021-01-17 10:00:00,GM0321,Houten,Utrecht,2405,50,50
2021-01-17 10:00:00,GM0327,Leusden,Utrecht,1387,21,19
2021-01-17 10:00:00,GM0331,Lopik,Utrecht,801,25,9
2021-01-17 10:00:00,GM0335,Montfoort,Utrecht,780,18,7
2021-01-17 10:00:00,GM0339,Renswoude,Utrecht,368,6,5
2021-01-17 10:00:00,GM0340,Rhenen,Utrecht,1467,24,15
2021-01-17 10:00:00,GM0342,Soest,Utrecht,2492,55,43
2021-01-17 10:00:00,GM0344,Utrecht,Utrecht,19483,510,197
2021-01-17 10:00:00,GM0345,Veenendaal,Utrecht,5182,95,64
2021-01-17 10:00:00,GM0351,Woudenberg,Utrecht,958,16,7
2021-01-17 10:00:00,GM0352,Wijk bij Duurstede,Utrecht,1017,18,9
2021-01-17 10:00:00,GM0353,IJsselstein,Utrecht,1672,60,47
2021-01-17 10:00:00,GM0355,Zeist,Utrecht,3063,57,41
2021-01-17 10:00:00,GM0356,Nieuwegein,Utrecht,2835,77,20
2021-01-17 10:00:00,GM0358,Aalsmeer,Noord-Holland,1621,21,22
2021-01-17 10:00:00,GM0361,Alkmaar,Noord-Holland,4768,94,53
2021-01-17 10:00:00,GM0362,Amstelveen,Noord-Holland,4341,97,84
2021-01-17 10:00:00,GM0363,Amsterdam,Noord-Holland,55639,1415,574
2021-01-17 10:00:00,GM0370,Beemster,Noord-Holland,381,5,2
2021-01-17 10:00:00,GM0373,Bergen (NH.),Noord-Holland,1333,28,29
2021-01-17 10:00:00,GM0375,Beverwijk,Noord-Holland,1997,27,18
2021-01-17 10:00:00,GM0376,Blaricum,Noord-Holland,549,9,4
2021-01-17 10:00:00,GM0377,Bloemendaal,Noord-Holland,928,11,9
2021-01-17 10:00:00,GM0383,Castricum,Noord-Holland,1518,19,15
2021-01-17 10:00:00,GM0384,Diemen,Noord-Holland,1962,35,25
2021-01-17 10:00:00,GM0385,Edam-Volendam,Noord-Holland,2051,65,10
2021-01-17 10:00:00,GM0388,Enkhuizen,Noord-Holland,1181,26,9
2021-01-17 10:00:00,GM0392,Haarlem,Noord-Holland,7276,154,129
2021-01-17 10:00:00,GM0394,Haarlemmermeer,Noord-Holland,7839,138,88
2021-01-17 10:00:00,GM0396,Heemskerk,Noord-Holland,1988,44,23
2021-01-17 10:00:00,GM0397,Heemstede,Noord-Holland,1116,20,54
2021-01-17 10:00:00,GM0398,Heerhugowaard,Noord-Holland,2712,41,18
2021-01-17 10:00:00,GM0399,Heiloo,Noord-Holland,942,17,11
2021-01-17 10:00:00,GM0400,Den Helder,Noord-Holland,2128,29,13
2021-01-17 10:00:00,GM0402,Hilversum,Noord-Holland,3870,57,70
2021-01-17 10:00:00,GM0405,Hoorn,Noord-Holland,3904,58,33
2021-01-17 10:00:00,GM0406,Huizen,Noord-Holland,2509,43,50
2021-01-17 10:00:00,GM0415,Landsmeer,Noord-Holland,612,9,5
2021-01-17 10:00:00,GM0416,Langedijk,Noord-Holland,1374,23,7
2021-01-17 10:00:00,GM0417,Laren,Noord-Holland,589,14,25
2021-01-17 10:00:00,GM0420,Medemblik,Noord-Holland,2641,29,14
2021-01-17 10:00:00,GM0431,Oostzaan,Noord-Holland,606,15,4
2021-01-17 10:00:00,GM0432,Opmeer,Noord-Holland,598,3,3
2021-01-17 10:00:00,GM0437,Ouder-Amstel,Noord-Holland,808,8,3
2021-01-17 10:00:00,GM0439,Purmerend,Noord-Holland,3672,117,56
2021-01-17 10:00:00,GM0441,Schagen,Noord-Holland,2230,33,27
2021-01-17 10:00:00,GM0448,Texel,Noord-Holland,297,6,2
2021-01-17 10:00:00,GM0450,Uitgeest,Noord-Holland,784,9,7
2021-01-17 10:00:00,GM0451,Uithoorn,Noord-Holland,1382,28,11
2021-01-17 10:00:00,GM0453,Velsen,Noord-Holland,3565,73,71
2021-01-17 10:00:00,GM0457,Weesp,Noord-Holland,1292,14,17
2021-01-17 10:00:00,GM0473,Zandvoort,Noord-Holland,762,16,37
2021-01-17 10:00:00,GM0479,Zaanstad,Noord-Holland,9027,233,135
2021-01-17 10:00:00,GM0482,Alblasserdam,Zuid-Holland,1465,22,16
2021-01-17 10:00:00,GM0484,Alphen aan den Rijn,Zuid-Holland,6670,135,82
2021-01-17 10:00:00,GM0489,Barendrecht,Zuid-Holland,3003,75,37
2021-01-17 10:00:00,GM0498,Drechterland,Noord-Holland,1159,10,10
2021-01-17 10:00:00,GM0501,Brielle,Zuid-Holland,806,26,8
2021-01-17 10:00:00,GM0502,Capelle aan den IJssel,Zuid-Holland,4186,115,109
2021-01-17 10:00:00,GM0503,Delft,Zuid-Holland,5444,75,56
2021-01-17 10:00:00,GM0505,Dordrecht,Zuid-Holland,7630,139,119
2021-01-17 10:00:00,GM0512,Gorinchem,Zuid-Holland,2361,26,27
2021-01-17 10:00:00,GM0513,Gouda,Zuid-Holland,4571,137,127
2021-01-17 10:00:00,GM0518,'s-Gravenhage,Zuid-Holland,31110,972,451
2021-01-17 10:00:00,GM0523,Hardinxveld-Giessendam,Zuid-Holland,1414,5,12
2021-01-17 10:00:00,GM0530,Hellevoetsluis,Zuid-Holland,1822,40,17
2021-01-17 10:00:00,GM0531,Hendrik-Ido-Ambacht,Zuid-Holland,1967,19,23
2021-01-17 10:00:00,GM0532,Stede Broec,Noord-Holland,1289,24,10
2021-01-17 10:00:00,GM0534,Hillegom,Zuid-Holland,1010,13,7
2021-01-17 10:00:00,GM0537,Katwijk,Zuid-Holland,4808,82,40
2021-01-17 10:00:00,GM0542,Krimpen aan den IJssel,Zuid-Holland,2148,31,49
2021-01-17 10:00:00,GM0546,Leiden,Zuid-Holland,6059,100,48
2021-01-17 10:00:00,GM0547,Leiderdorp,Zuid-Holland,1340,31,18
2021-01-17 10:00:00,GM0553,Lisse,Zuid-Holland,1205,22,14
2021-01-17 10:00:00,GM0556,Maassluis,Zuid-Holland,2073,52,26
