Date_of_report,Municipality_code,Municipality_name,Province,Total_reported,Hospital_admission,Deceased
2021-01-24 10:00:00,GM0014,Groningen,Groningen,7569,60,24
2021-01-24 10:00:00,GM0034,Almere,Flevoland,12690,238,66
2021-01-24 10:00:00,GM0037,Stadskanaal,Groningen,1472,15,9
2021-01-24 10:00:00,GM0047,Veendam,Groningen,1004,6,7
2021-01-24 10:00:00,GM0050,Zeewolde,Flevoland,1040,18,12
2021-01-24 10:00:00,GM0059,Achtkarspelen,Frysl̢n,1090,5,7
2021-01-24 10:00:00,GM0060,Ameland,Frysl̢n,133,0,0
2021-01-24 10:00:00,GM0072,Harlingen,Frysl̢n,300,5,2
2021-01-24 10:00:00,GM0074,Heerenveen,Frysl̢n,1334,21,25
2021-01-24 10:00:00,GM0080,Leeuwarden,Frysl̢n,3636,61,32
2021-01-24 10:00:00,GM0085,Ooststellingwerf,Frysl̢n,645,10,4
2021-01-24 10:00:00,GM0086,Opsterland,Frysl̢n,788,17,3
2021-01-24 10:00:00,GM0088,Schiermonnikoog,Frysl̢n,10,1,0
2021-01-24 10:00:00,GM0090,Smallingerland,Frysl̢n,1544,20,17
2021-01-24 10:00:00,GM0093,Terschelling,Frysl̢n,157,1,1
2021-01-24 10:00:00,GM0096,Vlieland,Frysl̢n,28,0,0
2021-01-24 10:00:00,GM0098,Weststellingwerf,Frysl̢n,741,9,13
2021-01-24 10:00:00,GM0106,Assen,Drenthe,1841,35,11
2021-01-24 10:00:00,GM0109,Coevorden,Drenthe,1544,36,19
2021-01-24 10:00:00,GM0114,Emmen,Drenthe,4482,76,48
2021-01-24 10:00:00,GM0118,Hoogeveen,Drenthe,2738,49,33
2021-01-24 10:00:00,GM0119,Meppel,Drenthe,1303,19,22
2021-01-24 10:00:00,GM0141,Almelo,Overijssel,4876,68,45
2021-01-24 10:00:00,GM0147,Borne,Overijssel,1609,27,26
2021-01-24 10:00:00,GM0148,Dalfsen,Overijssel,1392,20,17
2021-01-24 10:00:00,GM0150,Deventer,Overijssel,5023,71,76
2021-01-24 10:00:00,GM0153,Enschede,Overijssel,8960,168,137
2021-01-24 10:00:00,GM0158,Haaksbergen,Overijssel,1982,30,30
2021-01-24 10:00:00,GM0160,Hardenberg,Overijssel,3479,43,34
2021-01-24 10:00:00,GM0163,Hellendoorn,Overijssel,2550,27,38
2021-01-24 10:00:00,GM0164,Hengelo (O.),Overijssel,4985,60,57
2021-01-24 10:00:00,GM0166,Kampen,Overijssel,2109,69,41
2021-01-24 10:00:00,GM0168,Losser,Overijssel,1837,37,26
2021-01-24 10:00:00,GM0171,Noordoostpolder,Flevoland,2209,27,25
2021-01-24 10:00:00,GM0173,Oldenzaal,Overijssel,2211,40,39
2021-01-24 10:00:00,GM0175,Ommen,Overijssel,829,13,14
2021-01-24 10:00:00,GM0177,Raalte,Overijssel,2261,30,29
2021-01-24 10:00:00,GM0180,Staphorst,Overijssel,1447,14,16
2021-01-24 10:00:00,GM0183,Tubbergen,Overijssel,1925,18,15
2021-01-24 10:00:00,GM0184,Urk,Flevoland,1851,43,12
2021-01-24 10:00:00,GM0189,Wierden,Overijssel,2158,14,22
2021-01-24 10:00:00,GM0193,Zwolle,Overijssel,4418,67,80
2021-01-24 10:00:00,GM0197,Aalten,Gelderland,1271,18,18
2021-01-24 10:00:00,GM0200,Apeldoorn,Gelderland,6851,158,135
2021-01-24 10:00:00,GM0202,Arnhem,Gelderland,7973,147,103
2021-01-24 10:00:00,GM0203,Barneveld,Gelderland,5171,38,45
2021-01-24 10:00:00,GM0209,Beuningen,Gelderland,1251,28,16
2021-01-24 10:00:00,GM0213,Brummen,Gelderland,819,27,15
2021-01-24 10:00:00,GM0214,Buren,Gelderland,1403,32,15
2021-01-24 10:00:00,GM0216,Culemborg,Gelderland,1604,38,17
2021-01-24 10:00:00,GM0221,Doesburg,Gelderland,484,16,8
2021-01-24 10:00:00,GM0222,Doetinchem,Gelderland,2569,51,25
2021-01-24 10:00:00,GM0225,Druten,Gelderland,1051,34,22
2021-01-24 10:00:00,GM0226,Duiven,Gelderland,1302,24,10
2021-01-24 10:00:00,GM0228,Ede,Gelderland,7707,113,64
2021-01-24 10:00:00,GM0230,Elburg,Gelderland,1187,33,12
2021-01-24 10:00:00,GM0232,Epe,Gelderland,1495,62,35
2021-01-24 10:00:00,GM0233,Ermelo,Gelderland,1653,35,30
2021-01-24 10:00:00,GM0243,Harderwijk,Gelderland,2580,64,37
2021-01-24 10:00:00,GM0244,Hattem,Gelderland,480,19,5
2021-01-24 10:00:00,GM0246,Heerde,Gelderland,721,55,30
2021-01-24 10:00:00,GM0252,Heumen,Gelderland,870,24,15
2021-01-24 10:00:00,GM0262,Lochem,Gelderland,1246,30,26
2021-01-24 10:00:00,GM0263,Maasdriel,Gelderland,1503,30,26
2021-01-24 10:00:00,GM0267,Nijkerk,Gelderland,3072,43,16
2021-01-24 10:00:00,GM0268,Nijmegen,Gelderland,8705,220,161
2021-01-24 10:00:00,GM0269,Oldebroek,Gelderland,1265,44,29
2021-01-24 10:00:00,GM0273,Putten,Gelderland,1640,16,12
2021-01-24 10:00:00,GM0274,Renkum,Gelderland,1292,27,22
2021-01-24 10:00:00,GM0275,Rheden,Gelderland,2169,54,41
2021-01-24 10:00:00,GM0277,Rozendaal,Gelderland,70,1,0
2021-01-24 10:00:00,GM0279,Scherpenzeel,Gelderland,704,5,11
2021-01-24 10:00:00,GM0281,Tiel,Gelderland,2352,72,48
2021-01-24 10:00:00,GM0285,Voorst,Gelderland,1089,25,18
2021-01-24 10:00:00,GM0289,Wageningen,Gelderland,1811,33,33
2021-01-24 10:00:00,GM0293,Westervoort,Gelderland,710,18,8
2021-01-24 10:00:00,GM0294,Winterswijk,Gelderland,1195,13,12
2021-01-24 10:00:00,GM0296,Wijchen,Gelderland,2345,69,46
2021-01-24 10:00:00,GM0297,Zaltbommel,Gelderland,2127,33,34
2021-01-24 10:00:00,GM0299,Zevenaar,Gelderland,1855,67,33
2021-01-24 10:00:00,GM0301,Zutphen,Gelderland,1704,44,22
2021-01-24 10:00:00,GM0302,Nunspeet,Gelderland,1327,74,29
2021-01-24 10:00:00,GM0303,Dronten,Flevoland,1851,51,21
2021-01-24 10:00:00,GM0307,Amersfoort,Utrecht,8802,175,94
2021-01-24 10:00:00,GM0308,Baarn,Utrecht,1286,28,23
2021-01-24 10:00:00,GM0310,De Bilt,Utrecht,2273,45,64
2021-01-24 10:00:00,GM0312,Bunnik,Utrecht,703,16,11
2021-01-24 10:00:00,GM0313,Bunschoten,Utrecht,2772,43,35
2021-01-24 10:00:00,GM0317,Eemnes,Utrecht,544,11,2
2021-01-24 10:00:00,GM0321,Houten,Utrecht,2458,52,50
2021-01-24 10:00:00,GM0327,Leusden,Utrecht,1447,21,19
2021-01-24 10:00:00,GM0331,Lopik,Utrecht,842,25,9
2021-01-24 10:00:00,GM0335,Montfoort,Utrecht,806,18,7
2021-01-24 10:00:00,GM0339,Renswoude,Utrecht,377,6,5
2021-01-24 10:00:00,GM0340,Rhenen,Utrecht,1529,24,15
2021-01-24 10:00:00,GM0342,Soest,Utrecht,2574,57,43
2021-01-24 10:00:00,GM0344,Utrecht,Utrecht,19956,524,201
2021-01-24 10:00:00,GM0345,Veenendaal,Utrecht,5312,97,66
2021-01-24 10:00:00,GM0351,Woudenberg,Utrecht,1001,17,7
2021-01-24 10:00:00,GM0352,Wijk bij Duurstede,Utrecht,1063,19,9
2021-01-24 10:00:00,GM0353,IJsselstein,Utrecht,1725,61,47
2021-01-24 10:00:00,GM0355,Zeist,Utrecht,3139,60,41
2021-01-24 10:00:00,GM0356,Nieuwegein,Utrecht,2945,79,20
2021-01-24 10:00:00,GM0358,Aalsmeer,Noord-Holland,1662,23,22
2021-01-24 10:00:00,GM0361,Alkmaar,Noord-Holland,4997,95,54
2021-01-24 10:00:00,GM0362,Amstelveen,Noord-Holland,4458,99,84
2021-01-24 10:00:00,GM0363,Amsterdam,Noord-Holland,57104,1447,594
2021-01-24 10:00:00,GM0370,Beemster,Noord-Holland,402,6,2
2021-01-24 10:00:00,GM0373,Bergen (NH.),Noord-Holland,1386,29,29
2021-01-24 10:00:00,GM0375,Beverwijk,Noord-Holland,2078,27,18
2021-01-24 10:00:00,GM0376,Blaricum,Noord-Holland,569,9,5
2021-01-24 10:00:00,GM0377,Bloemendaal,Noord-Holland,960,11,11
2021-01-24 10:00:00,GM0383,Castricum,Noord-Holland,1566,19,17
2021-01-24 10:00:00,GM0384,Diemen,Noord-Holland,2006,36,26
2021-01-24 10:00:00,GM0385,Edam-Volendam,Noord-Holland,2196,65,10
2021-01-24 10:00:00,GM0388,Enkhuizen,Noord-Holland,1230,26,9
2021-01-24 10:00:00,GM0392,Haarlem,Noord-Holland,7489,157,135
2021-01-24 10:00:00,GM0394,Haarlemmermeer,Noord-Holland,8099,142,89
2021-01-24 10:00:00,GM0396,Heemskerk,Noord-Holland,2068,46,24
2021-01-24 10:00:00,GM0397,Heemstede,Noord-Holland,1150,20,54
2021-01-24 10:00:00,GM0398,Heerhugowaard,Noord-Holland,2844,43,21
2021-01-24 10:00:00,GM0399,Heiloo,Noord-Holland,973,18,11
