Date_of_report,Municipality_code,Municipality_name,Province,Total_reported,Hospital_admission,Deceased
2020-04-16 10:00:00,GM0003,Appingedam,Groningen,2,2,0
2020-04-16 10:00:00,GM0010,Delfzijl,Groningen,14,5,0
2020-04-16 10:00:00,GM0014,Groningen,Groningen,141,16,2
2020-04-16 10:00:00,GM0024,Loppersum,Groningen,2,0,0
2020-04-16 10:00:00,GM0034,Almere,Flevoland,192,99,5
2020-04-16 10:00:00,GM0037,Stadskanaal,Groningen,4,2,1
2020-04-16 10:00:00,GM0047,Veendam,Groningen,8,2,0
2020-04-16 10:00:00,GM0050,Zeewolde,Flevoland,23,8,3
2020-04-16 10:00:00,GM0059,Achtkarspelen,Friesland,7,0,0
2020-04-16 10:00:00,GM0060,Ameland,Friesland,0,0,0
2020-04-16 10:00:00,GM0072,Harlingen,Friesland,12,3,0
2020-04-16 10:00:00,GM0074,Heerenveen,Friesland,67,12,10
2020-04-16 10:00:00,GM0080,Leeuwarden,Friesland,49,32,5
2020-04-16 10:00:00,GM0085,Ooststellingwerf,Friesland,2,1,0
2020-04-16 10:00:00,GM0086,Opsterland,Friesland,19,5,0
2020-04-16 10:00:00,GM0088,Schiermonnikoog,Friesland,0,0,0
2020-04-16 10:00:00,GM0090,Smallingerland,Friesland,33,7,3
2020-04-16 10:00:00,GM0093,Terschelling,Friesland,2,0,0
2020-04-16 10:00:00,GM0096,Vlieland,Friesland,0,0,0
2020-04-16 10:00:00,GM0098,Weststellingwerf,Friesland,16,2,2
2020-04-16 10:00:00,GM0106,Assen,Drenthe,31,10,2
2020-04-16 10:00:00,GM0109,Coevorden,Drenthe,42,11,0
2020-04-16 10:00:00,GM0114,Emmen,Drenthe,61,14,7
2020-04-16 10:00:00,GM0118,Hoogeveen,Drenthe,44,12,2
2020-04-16 10:00:00,GM0119,Meppel,Drenthe,25,6,3
2020-04-16 10:00:00,GM0141,Almelo,Overijssel,70,18,3
2020-04-16 10:00:00,GM0147,Borne,Overijssel,42,13,6
2020-04-16 10:00:00,GM0148,Dalfsen,Overijssel,56,15,6
2020-04-16 10:00:00,GM0150,Deventer,Overijssel,131,40,22
2020-04-16 10:00:00,GM0153,Enschede,Overijssel,145,47,13
2020-04-16 10:00:00,GM0158,Haaksbergen,Overijssel,45,14,1
