Gemnr,Gemeente,Bev_2020,van_datum,tot_datum,Totaal_Absoluut,Totaal_inc100000,Zkh_Absoluut,Zkh_inc100000,Overleden_Absoluut,Overleden_inc100000
518,'s-Gravenhage (gemeente),545838,1-7-2020,14-7-2020,64,11.7,1,0.2,3,0.5
796,'s-Hertogenbosch,155111,1-7-2020,14-7-2020,13,8.4,0,0.0,0,0.0
1680,Aa en Hunze,25445,1-7-2020,14-7-2020,0,0.0,0,0.0,0,0.0
358,Aalsmeer,31859,1-7-2020,14-7-2020,0,0.0,0,0.0,0,0.0
197,Aalten,27121,1-7-2020,14-7-2020,0,0.0,0,0.0,0,0.0
59,Achtkarspelen,27843,1-7-2020,14-7-2020,0,0.0,0,0.0,0,0.0
482,Alblasserdam,20165,1-7-2020,14-7-2020,0,0.0,0,0.0,0,0.0
613,Albrandswaard,25590,1-7-2020,14-7-2020,6,23.4,0,0.0,0,0.0
361,Alkmaar,109436,1-7-2020,14-7-2020,1,0.9,0,0.0,0,0.0
141,Almelo,73107,1-7-2020,14-7-2020,0,0.0,0,0.0,0,0.0
34,Almere,211893,1-7-2020,14-7-2020,3,1.4,0,0.0,0,0.0
484,Alphen aan den Rijn,111897,1-7-2020,14-7-2020,2,1.8,0,0.0,0,0.0
1723,Alphen-Chaam,10203,1-7-2020,14-7-2020,1,9.8,0,0.0,0,0.0
1959,Altena,55967,1-7-2020,14-7-2020,5,8.9,0,0.0,0,0.0
60,Ameland,3716,1-7-2020,14-7-2020,0,0.0,0,0.0,0,0.0
307,Amersfoort,157276,1-7-2020,14-7-2020,14,8.9,0,0.0,0,0.0
362,Amstelveen,91675,1-7-2020,14-7-2020,4,4.4,0,0.0,0,0.0
363,Amsterdam,872757,1-7-2020,14-7-2020,76,8.7,1,0.1,0,0.0
200,Apeldoorn,163818,1-7-2020,14-7-2020,5,3.1,0,0.0,0,0.0
3,Appingedam,11642,1-7-2020,14-7-2020,0,0.0,0,0.0,0,0.0
202,Arnhem,161348,1-7-2020,14-7-2020,5,3.1,0,0.0,0,0.0
106,Assen,68599,1-7-2020,14-7-2020,1,1.5,0,0.0,0,0.0
743,Asten,16721,1-7-2020,14-7-2020,0,0.0,0,0.0,0,0.0
744,Baarle-Nassau,6859,1-7-2020,14-7-2020,0,0.0,0,0.0,0,0.0
308,Baarn,24868,1-7-2020,14-7-2020,2,8.0,0,0.0,0,0.0
489,Barendrecht,48714,1-7-2020,14-7-2020,0,0.0,0,0.0,0,0.0
203,Barneveld,59082,1-7-2020,14-7-2020,2,3.4,0,0.0,0,0.0
888,Beek (L.),15865,1-7-2020,14-7-2020,0,0.0,0,0.0,0,0.0
1954,Beekdaelen,35938,1-7-2020,14-7-2020,0,0.0,0,0.0,0,0.0
370,Beemster,10022,1-7-2020,14-7-2020,0,0.0,0,0.0,0,0.0
889,Beesel,13482,1-7-2020,14-7-2020,0,0.0,0,0.0,0,0.0
1945,Berg en Dal,34992,1-7-2020,14-7-2020,1,2.9,0,0.0,0,0.0
1724,Bergeijk,18635,1-7-2020,14-7-2020,0,0.0,0,0.0,0,0.0
893,Bergen (L.),13085,1-7-2020,14-7-2020,0,0.0,0,0.0,0,0.0
373,Bergen (NH.),29839,1-7-2020,14-7-2020,0,0.0,0,0.0,0,0.0
748,Bergen op Zoom,67496,1-7-2020,14-7-2020,4,5.9,0,0.0,0,0.0
1859,Berkelland,43747,1-7-2020,14-7-2020,0,0.0,0,0.0,0,0.0
1721,Bernheze,31240,1-7-2020,14-7-2020,1,3.2,0,0.0,0,0.0
753,Best,29988,1-7-2020,14-7-2020,1,3.3,0,0.0,0,0.0
209,Beuningen,25890,1-7-2020,14-7-2020,1,3.9,0,0.0,0,0.0
375,Beverwijk,41626,1-7-2020,14-7-2020,1,2.4,0,0.0,0,0.0
1728,Bladel,20390,1-7-2020,14-7-2020,0,0.0,0,0.0,0,0.0
376,Blaricum,11540,1-7-2020,14-7-2020,1,8.7,0,0.0,0,0.0
377,Bloemendaal,23571,1-7-2020,14-7-2020,0,0.0,0,0.0,0,0.0
1901,Bodegraven-Reeuwijk,34872,1-7-2020,14-7-2020,2,5.7,0,0.0,0,0.0
755,Boekel,10785,1-7-2020,14-7-2020,1,9.3,0,0.0,0,0.0
1681,Borger-Odoorn,25559,1-7-2020,14-7-2020,1,3.9,0,0.0,0,0.0
147,Borne,23312,1-7-2020,14-7-2020,0,0.0,0,0.0,0,0.0
654,Borsele,22739,1-7-2020,14-7-2020,0,0.0,0,0.0,0,0.0
756,Boxmeer,29365,1-7-2020,14-7-2020,1,3.4,0,0.0,0,0.0
757,Boxtel,30801,1-7-2020,14-7-2020,1,3.2,0,0.0,0,0.0
758,Breda,184069,1-7-2020,14-7-2020,17,9.2,0,0.0,0,0.0
501,Brielle,17271,1-7-2020,14-7-2020,0,0.0,0,0.0,0,0.0
1876,Bronckhorst,36055,1-7-2020,14-7-2020,0,0.0,0,0.0,0,0.0
213,Brummen,20726,1-7-2020,14-7-2020,0,0.0,0,0.0,0,0.0
899,Brunssum,27821,1-7-2020,14-7-2020,0,0.0,0,0.0,0,0.0
312,Bunnik,15191,1-7-2020,14-7-2020,1,6.6,0,0.0,0,0.0
313,Bunschoten,21866,1-7-2020,14-7-2020,1,4.6,0,0.0,0,0.0
214,Buren,26749,1-7-2020,14-7-2020,0,0.0,0,0.0,0,0.0
502,Capelle aan den IJssel,67122,1-7-2020,14-7-2020,12,17.9,0,0.0,0,0.0
383,Castricum,35986,1-7-2020,14-7-2020,0,0.0,0,0.0,0,0.0
109,Coevorden,35297,1-7-2020,14-7-2020,0,0.0,0,0.0,0,0.0
1706,Cranendonck,21138,1-7-2020,14-7-2020,0,0.0,0,0.0,0,0.0
1684,Cuijk,25130,1-7-2020,14-7-2020,1,4.0,0,0.0,0,0.0
216,Culemborg,28955,1-7-2020,14-7-2020,6,20.7,0,0.0,0,0.0
148,Dalfsen,28587,1-7-2020,14-7-2020,0,0.0,0,0.0,0,0.0
1891,Dantumadiel,18922,1-7-2020,14-7-2020,0,0.0,0,0.0,0,0.0
310,De Bilt,43137,1-7-2020,14-7-2020,4,9.3,0,0.0,0,0.0
1940,De Fryske Marren,51564,1-7-2020,14-7-2020,1,1.9,0,0.0,0,0.0
736,De Ronde Venen,44456,1-7-2020,14-7-2020,0,0.0,0,0.0,0,0.0
1690,De Wolden,24330,1-7-2020,14-7-2020,0,0.0,0,0.0,0,0.0
503,Delft,103595,1-7-2020,14-7-2020,7,6.8,0,0.0,0,0.0
10,Delfzijl,24678,1-7-2020,14-7-2020,0,0.0,0,0.0,0,0.0
400,Den Helder,56296,1-7-2020,14-7-2020,2,3.6,0,0.0,0,0.0
762,Deurne,32471,1-7-2020,14-7-2020,1,3.1,0,0.0,0,0.0
150,Deventer,100719,1-7-2020,14-7-2020,14,13.9,0,0.0,0,0.0
384,Diemen,30780,1-7-2020,14-7-2020,2,6.5,0,0.0,0,0.0
1774,Dinkelland,26461,1-7-2020,14-7-2020,0,0.0,0,0.0,0,0.0
221,Doesburg,11077,1-7-2020,14-7-2020,0,0.0,0,0.0,0,0.0
222,Doetinchem,58001,1-7-2020,14-7-2020,0,0.0,0,0.0,0,0.0
766,Dongen,26222,1-7-2020,14-7-2020,0,0.0,0,0.0,0,0.0
505,Dordrecht,119284,1-7-2020,14-7-2020,7,5.9,0,0.0,0,0.0
498,Drechterland,19719,1-7-2020,14-7-2020,0,0.0,0,0.0,0,0.0
1719,Drimmelen,27272,1-7-2020,14-7-2020,2,7.3,0,0.0,0,0.0
303,Dronten,41555,1-7-2020,14-7-2020,0,0.0,0,0.0,0,0.0
225,Druten,18926,1-7-2020,14-7-2020,0,0.0,0,0.0,0,0.0
226,Duiven,25126,1-7-2020,14-7-2020,0,0.0,0,0.0,0,0.0
1711,Echt-Susteren,31610,1-7-2020,14-7-2020,0,0.0,0,0.0,0,0.0
385,Edam-Volendam,36197,1-7-2020,14-7-2020,0,0.0,0,0.0,0,0.0
228,Ede,117165,1-7-2020,14-7-2020,0,0.0,0,0.0,0,0.0
317,Eemnes,9247,1-7-2020,14-7-2020,1,10.8,0,0.0,0,0.0
770,Eersel,19313,1-7-2020,14-7-2020,0,0.0,0,0.0,0,0.0
1903,Eijsden-Margraten,25768,1-7-2020,14-7-2020,0,0.0,0,0.0,0,0.0
772,Eindhoven,234394,1-7-2020,14-7-2020,11,4.7,0,0.0,0,0.0
230,Elburg,23161,1-7-2020,14-7-2020,0,0.0,0,0.0,0,0.0
114,Emmen,107048,1-7-2020,14-7-2020,0,0.0,0,0.0,0,0.0
388,Enkhuizen,18591,1-7-2020,14-7-2020,0,0.0,0,0.0,0,0.0
153,Enschede,159640,1-7-2020,14-7-2020,8,5.0,0,0.0,0,0.0
232,Epe,33178,1-7-2020,14-7-2020,0,0.0,0,0.0,0,0.0
233,Ermelo,27008,1-7-2020,14-7-2020,0,0.0,0,0.0,0,0.0
777,Etten-Leur,43878,1-7-2020,14-7-2020,3,6.8,0,0.0,0,0.0
779,Geertruidenberg,21544,1-7-2020,14-7-2020,0,0.0,0,0.0,0,0.0
1771,Geldrop-Mierlo,39726,1-7-2020,14-7-2020,0,0.0,0,0.0,0,0.0
1652,Gemert-Bakel,30723,1-7-2020,14-7-2020,8,26.0,0,0.0,0,0.0
907,Gennep,16921,1-7-2020,14-7-2020,0,0.0,0,0.0,0,0.0
784,Gilze en Rijen,26431,1-7-2020,14-7-2020,5,18.9,0,0.0,0,0.0
1924,Goeree-Overflakkee,50049,1-7-2020,14-7-2020,0,0.0,0,0.0,0,0.0
664,Goes,38082,1-7-2020,14-7-2020,15,39.4,0,0.0,0,0.0
785,Goirle,23904,1-7-2020,14-7-2020,4,16.7,0,0.0,0,0.0
1942,Gooise Meren,58055,1-7-2020,14-7-2020,3,5.2,0,0.0,0,0.0
512,Gorinchem,37022,1-7-2020,14-7-2020,0,0.0,0,0.0,0,0.0
513,Gouda,73427,1-7-2020,14-7-2020,12,16.3,1,1.4,0,0.0
786,Grave,12436,1-7-2020,14-7-2020,0,0.0,0,0.0,0,0.0
14,Groningen (gemeente),232874,1-7-2020,14-7-2020,4,1.7,0,0.0,0,0.0
1729,Gulpen-Wittem,14171,1-7-2020,14-7-2020,1,7.1,0,0.0,0,0.0
158,Haaksbergen,24311,1-7-2020,14-7-2020,0,0.0,0,0.0,0,0.0
788,Haaren,14370,1-7-2020,14-7-2020,1,7.0,0,0.0,0,0.0
392,Haarlem,162902,1-7-2020,14-7-2020,6,3.7,0,0.0,0,0.0
394,Haarlemmermeer,156002,1-7-2020,14-7-2020,12,7.7,0,0.0,0,0.0
1655,Halderberge,30284,1-7-2020,14-7-2020,2,6.6,0,0.0,0,0.0
160,Hardenberg,60948,1-7-2020,14-7-2020,0,0.0,0,0.0,0,0.0
243,Harderwijk,48414,1-7-2020,14-7-2020,0,0.0,0,0.0,0,0.0
523,Hardinxveld-Giessendam,18295,1-7-2020,14-7-2020,1,5.5,0,0.0,0,0.0
72,Harlingen,15722,1-7-2020,14-7-2020,0,0.0,0,0.0,0,0.0
244,Hattem,12209,1-7-2020,14-7-2020,0,0.0,0,0.0,0,0.0
396,Heemskerk,39182,1-7-2020,14-7-2020,2,5.1,0,0.0,0,0.0
397,Heemstede,27234,1-7-2020,14-7-2020,5,18.4,0,0.0,0,0.0
246,Heerde,18589,1-7-2020,14-7-2020,0,0.0,0,0.0,0,0.0
74,Heerenveen,50493,1-7-2020,14-7-2020,2,4.0,0,0.0,0,0.0
398,Heerhugowaard,57587,1-7-2020,14-7-2020,0,0.0,0,0.0,0,0.0
917,Heerlen,87086,1-7-2020,14-7-2020,1,1.1,0,0.0,0,0.0
1658,Heeze-Leende,16152,1-7-2020,14-7-2020,0,0.0,0,0.0,0,0.0
