Date_of_report,Municipality_code,Municipality_name,Province,Total_reported,Hospital_admission,Deceased
2020-10-21 10:00:00,GM0003,Appingedam,Groningen,43,7,0
2020-10-21 10:00:00,GM0010,Delfzijl,Groningen,100,7,0
2020-10-21 10:00:00,GM0014,Groningen,Groningen,2961,28,3
2020-10-21 10:00:00,GM0024,Loppersum,Groningen,31,0,0
2020-10-21 10:00:00,GM0034,Almere,Flevoland,2784,161,39
2020-10-21 10:00:00,GM0037,Stadskanaal,Groningen,177,3,2
2020-10-21 10:00:00,GM0047,Veendam,Groningen,136,2,1
2020-10-21 10:00:00,GM0050,Zeewolde,Flevoland,201,13,6
2020-10-21 10:00:00,GM0059,Achtkarspelen,Friesland,145,0,0
2020-10-21 10:00:00,GM0060,Ameland,Friesland,31,0,0
2020-10-21 10:00:00,GM0072,Harlingen,Friesland,74,4,1
2020-10-21 10:00:00,GM0074,Heerenveen,Friesland,331,16,22
2020-10-21 10:00:00,GM0080,Leeuwarden,Friesland,1183,44,8
2020-10-21 10:00:00,GM0085,Ooststellingwerf,Friesland,105,5,1
2020-10-21 10:00:00,GM0086,Opsterland,Friesland,151,8,0
2020-10-21 10:00:00,GM0088,Schiermonnikoog,Friesland,1,1,0
2020-10-21 10:00:00,GM0090,Smallingerland,Friesland,299,12,6
2020-10-21 10:00:00,GM0093,Terschelling,Friesland,44,1,0
2020-10-21 10:00:00,GM0096,Vlieland,Friesland,12,0,0
2020-10-21 10:00:00,GM0098,Weststellingwerf,Friesland,151,3,4
2020-10-21 10:00:00,GM0106,Assen,Drenthe,461,13,3
2020-10-21 10:00:00,GM0109,Coevorden,Drenthe,247,14,2
2020-10-21 10:00:00,GM0114,Emmen,Drenthe,1176,44,19
2020-10-21 10:00:00,GM0118,Hoogeveen,Drenthe,426,26,12
2020-10-21 10:00:00,GM0119,Meppel,Drenthe,208,11,5
2020-10-21 10:00:00,GM0141,Almelo,Overijssel,730,31,13
2020-10-21 10:00:00,GM0147,Borne,Overijssel,255,15,6
2020-10-21 10:00:00,GM0148,Dalfsen,Overijssel,328,17,7
2020-10-21 10:00:00,GM0150,Deventer,Overijssel,1090,50,38
2020-10-21 10:00:00,GM0153,Enschede,Overijssel,1622,67,28
2020-10-21 10:00:00,GM0158,Haaksbergen,Overijssel,376,16,10
2020-10-21 10:00:00,GM0160,Hardenberg,Overijssel,483,23,10
2020-10-21 10:00:00,GM0163,Hellendoorn,Overijssel,311,13,13
2020-10-21 10:00:00,GM0164,Hengelo,Overijssel,1002,38,24
2020-10-21 10:00:00,GM0166,Kampen,Overijssel,595,60,37
2020-10-21 10:00:00,GM0168,Losser,Overijssel,251,11,2
2020-10-21 10:00:00,GM0171,Noordoostpolder,Flevoland,340,18,11
2020-10-21 10:00:00,GM0173,Oldenzaal,Overijssel,449,16,13
2020-10-21 10:00:00,GM0175,Ommen,Overijssel,149,9,4
2020-10-21 10:00:00,GM0177,Raalte,Overijssel,433,25,23
2020-10-21 10:00:00,GM0180,Staphorst,Overijssel,243,8,4
2020-10-21 10:00:00,GM0183,Tubbergen,Overijssel,452,12,6
2020-10-21 10:00:00,GM0184,Urk,Flevoland,124,23,4
2020-10-21 10:00:00,GM0189,Wierden,Overijssel,306,7,6
2020-10-21 10:00:00,GM0193,Zwolle,Overijssel,1139,54,49
2020-10-21 10:00:00,GM0197,Aalten,Gelderland,296,13,7
2020-10-21 10:00:00,GM0200,Apeldoorn,Gelderland,1446,109,53
2020-10-21 10:00:00,GM0202,Arnhem,Gelderland,1773,82,34
2020-10-21 10:00:00,GM0203,Barneveld,Gelderland,594,24,10
2020-10-21 10:00:00,GM0209,Beuningen,Gelderland,309,20,6
2020-10-21 10:00:00,GM0213,Brummen,Gelderland,144,19,6
2020-10-21 10:00:00,GM0214,Buren,Gelderland,266,23,8
2020-10-21 10:00:00,GM0216,Culemborg,Gelderland,441,25,9
