Gemnr,Gemeente,Bev_2020,van_datum,tot_datum,Totaal_Absoluut,Totaal_inc100000,Zkh_Absoluut,Zkh_inc100000,Overleden_Absoluut,Overleden_inc100000
518,'s-Gravenhage (gemeente),545838,8-7-2020,21-7-2020,103,18.9,1,0.2,0,0.0
796,'s-Hertogenbosch,155111,8-7-2020,21-7-2020,7,4.5,0,0.0,0,0.0
1680,Aa en Hunze,25445,8-7-2020,21-7-2020,0,0.0,0,0.0,0,0.0
358,Aalsmeer,31859,8-7-2020,21-7-2020,1,3.1,0,0.0,0,0.0
197,Aalten,27121,8-7-2020,21-7-2020,0,0.0,0,0.0,0,0.0
59,Achtkarspelen,27843,8-7-2020,21-7-2020,1,3.6,0,0.0,0,0.0
482,Alblasserdam,20165,8-7-2020,21-7-2020,2,9.9,0,0.0,0,0.0
613,Albrandswaard,25590,8-7-2020,21-7-2020,3,11.7,0,0.0,0,0.0
361,Alkmaar,109436,8-7-2020,21-7-2020,1,0.9,0,0.0,0,0.0
141,Almelo,73107,8-7-2020,21-7-2020,0,0.0,0,0.0,0,0.0
34,Almere,211893,8-7-2020,21-7-2020,3,1.4,1,0.5,0,0.0
484,Alphen aan den Rijn,111897,8-7-2020,21-7-2020,7,6.3,0,0.0,0,0.0
1723,Alphen-Chaam,10203,8-7-2020,21-7-2020,5,49.0,0,0.0,0,0.0
1959,Altena,55967,8-7-2020,21-7-2020,3,5.4,0,0.0,0,0.0
60,Ameland,3716,8-7-2020,21-7-2020,0,0.0,0,0.0,0,0.0
307,Amersfoort,157276,8-7-2020,21-7-2020,22,14.0,0,0.0,0,0.0
362,Amstelveen,91675,8-7-2020,21-7-2020,4,4.4,0,0.0,0,0.0
363,Amsterdam,872757,8-7-2020,21-7-2020,178,20.4,4,0.5,0,0.0
200,Apeldoorn,163818,8-7-2020,21-7-2020,3,1.8,0,0.0,0,0.0
3,Appingedam,11642,8-7-2020,21-7-2020,0,0.0,0,0.0,0,0.0
202,Arnhem,161348,8-7-2020,21-7-2020,12,7.4,0,0.0,0,0.0
106,Assen,68599,8-7-2020,21-7-2020,4,5.8,0,0.0,0,0.0
743,Asten,16721,8-7-2020,21-7-2020,1,6.0,0,0.0,0,0.0
744,Baarle-Nassau,6859,8-7-2020,21-7-2020,0,0.0,0,0.0,0,0.0
308,Baarn,24868,8-7-2020,21-7-2020,0,0.0,0,0.0,0,0.0
489,Barendrecht,48714,8-7-2020,21-7-2020,4,8.2,0,0.0,0,0.0
203,Barneveld,59082,8-7-2020,21-7-2020,0,0.0,0,0.0,0,0.0
888,Beek (L.),15865,8-7-2020,21-7-2020,0,0.0,0,0.0,0,0.0
1954,Beekdaelen,35938,8-7-2020,21-7-2020,1,2.8,0,0.0,0,0.0
370,Beemster,10022,8-7-2020,21-7-2020,0,0.0,0,0.0,0,0.0
889,Beesel,13482,8-7-2020,21-7-2020,0,0.0,0,0.0,0,0.0
1945,Berg en Dal,34992,8-7-2020,21-7-2020,1,2.9,0,0.0,0,0.0
1724,Bergeijk,18635,8-7-2020,21-7-2020,0,0.0,0,0.0,0,0.0
893,Bergen (L.),13085,8-7-2020,21-7-2020,0,0.0,0,0.0,0,0.0
373,Bergen (NH.),29839,8-7-2020,21-7-2020,5,16.8,0,0.0,0,0.0
748,Bergen op Zoom,67496,8-7-2020,21-7-2020,11,16.3,0,0.0,0,0.0
1859,Berkelland,43747,8-7-2020,21-7-2020,0,0.0,0,0.0,0,0.0
1721,Bernheze,31240,8-7-2020,21-7-2020,0,0.0,0,0.0,0,0.0
753,Best,29988,8-7-2020,21-7-2020,1,3.3,0,0.0,0,0.0
209,Beuningen,25890,8-7-2020,21-7-2020,1,3.9,0,0.0,0,0.0
375,Beverwijk,41626,8-7-2020,21-7-2020,0,0.0,0,0.0,0,0.0
1728,Bladel,20390,8-7-2020,21-7-2020,0,0.0,0,0.0,0,0.0
376,Blaricum,11540,8-7-2020,21-7-2020,0,0.0,0,0.0,0,0.0
377,Bloemendaal,23571,8-7-2020,21-7-2020,0,0.0,0,0.0,0,0.0
1901,Bodegraven-Reeuwijk,34872,8-7-2020,21-7-2020,5,14.3,0,0.0,0,0.0
