Gemnr,Gemeente,Bev_2020,van_datum,tot_datum,Totaal_Absoluut,Totaal_inc100000,Zkh_Absoluut,Zkh_inc100000,Overleden_Absoluut,Overleden_inc100000
518,'s-Gravenhage (gemeente),545838,24-6-2020,7-7-2020,65,11.9,0,0.0,5,0.9
796,'s-Hertogenbosch,155111,24-6-2020,7-7-2020,13,8.4,0,0.0,1,0.6
1680,Aa en Hunze,25445,24-6-2020,7-7-2020,0,0.0,0,0.0,0,0.0
358,Aalsmeer,31859,24-6-2020,7-7-2020,0,0.0,0,0.0,0,0.0
197,Aalten,27121,24-6-2020,7-7-2020,0,0.0,0,0.0,0,0.0
59,Achtkarspelen,27843,24-6-2020,7-7-2020,1,3.6,0,0.0,0,0.0
482,Alblasserdam,20165,24-6-2020,7-7-2020,0,0.0,0,0.0,0,0.0
613,Albrandswaard,25590,24-6-2020,7-7-2020,5,19.5,0,0.0,0,0.0
361,Alkmaar,109436,24-6-2020,7-7-2020,2,1.8,0,0.0,0,0.0
141,Almelo,73107,24-6-2020,7-7-2020,2,2.7,0,0.0,0,0.0
34,Almere,211893,24-6-2020,7-7-2020,8,3.8,0,0.0,0,0.0
484,Alphen aan den Rijn,111897,24-6-2020,7-7-2020,4,3.6,0,0.0,0,0.0
1723,Alphen-Chaam,10203,24-6-2020,7-7-2020,0,0.0,0,0.0,0,0.0
1959,Altena,55967,24-6-2020,7-7-2020,3,5.4,0,0.0,0,0.0
60,Ameland,3716,24-6-2020,7-7-2020,0,0.0,0,0.0,0,0.0
307,Amersfoort,157276,24-6-2020,7-7-2020,6,3.8,1,0.6,0,0.0
362,Amstelveen,91675,24-6-2020,7-7-2020,5,5.5,0,0.0,0,0.0
363,Amsterdam,872757,24-6-2020,7-7-2020,67,7.7,0,0.0,0,0.0
200,Apeldoorn,163818,24-6-2020,7-7-2020,4,2.4,0,0.0,0,0.0
3,Appingedam,11642,24-6-2020,7-7-2020,0,0.0,0,0.0,0,0.0
202,Arnhem,161348,24-6-2020,7-7-2020,4,2.5,0,0.0,0,0.0
106,Assen,68599,24-6-2020,7-7-2020,0,0.0,0,0.0,0,0.0
743,Asten,16721,24-6-2020,7-7-2020,0,0.0,0,0.0,0,0.0
744,Baarle-Nassau,6859,24-6-2020,7-7-2020,0,0.0,0,0.0,0,0.0
308,Baarn,24868,24-6-2020,7-7-2020,2,8.0,0,0.0,0,0.0
489,Barendrecht,48714,24-6-2020,7-7-2020,0,0.0,0,0.0,0,0.0
203,Barneveld,59082,24-6-2020,7-7-2020,6,10.2,0,0.0,0,0.0
888,Beek (L.),15865,24-6-2020,7-7-2020,0,0.0,0,0.0,0,0.0
1954,Beekdaelen,35938,24-6-2020,7-7-2020,0,0.0,0,0.0,0,0.0
370,Beemster,10022,24-6-2020,7-7-2020,0,0.0,0,0.0,0,0.0
889,Beesel,13482,24-6-2020,7-7-2020,0,0.0,0,0.0,0,0.0
1945,Berg en Dal,34992,24-6-2020,7-7-2020,1,2.9,0,0.0,0,0.0
1724,Bergeijk,18635,24-6-2020,7-7-2020,0,0.0,0,0.0,0,0.0
893,Bergen (L.),13085,24-6-2020,7-7-2020,0,0.0,0,0.0,0,0.0
373,Bergen (NH.),29839,24-6-2020,7-7-2020,0,0.0,0,0.0,0,0.0
748,Bergen op Zoom,67496,24-6-2020,7-7-2020,1,1.5,0,0.0,1,1.5
1859,Berkelland,43747,24-6-2020,7-7-2020,0,0.0,0,0.0,0,0.0
1721,Bernheze,31240,24-6-2020,7-7-2020,3,9.6,0,0.0,0,0.0
753,Best,29988,24-6-2020,7-7-2020,0,0.0,0,0.0,0,0.0
