Date_of_report,Municipality_code,Municipality_name,Province,Total_reported,Hospital_admission,Deceased
2020-10-31 10:00:00,GM0003,Appingedam,Groningen,58,8,1
2020-10-31 10:00:00,GM0010,Delfzijl,Groningen,141,8,0
2020-10-31 10:00:00,GM0014,Groningen,Groningen,3512,32,4
2020-10-31 10:00:00,GM0024,Loppersum,Groningen,53,0,0
2020-10-31 10:00:00,GM0034,Almere,Flevoland,3991,170,40
2020-10-31 10:00:00,GM0037,Stadskanaal,Groningen,302,8,5
2020-10-31 10:00:00,GM0047,Veendam,Groningen,195,4,1
2020-10-31 10:00:00,GM0050,Zeewolde,Flevoland,276,13,6
2020-10-31 10:00:00,GM0059,Achtkarspelen,Friesland,193,0,0
2020-10-31 10:00:00,GM0060,Ameland,Friesland,41,0,0
2020-10-31 10:00:00,GM0072,Harlingen,Friesland,97,4,1
2020-10-31 10:00:00,GM0074,Heerenveen,Friesland,404,16,22
2020-10-31 10:00:00,GM0080,Leeuwarden,Friesland,1401,46,10
2020-10-31 10:00:00,GM0085,Ooststellingwerf,Friesland,173,5,1
2020-10-31 10:00:00,GM0086,Opsterland,Friesland,183,8,0
2020-10-31 10:00:00,GM0088,Schiermonnikoog,Friesland,3,1,0
2020-10-31 10:00:00,GM0090,Smallingerland,Friesland,409,12,7
2020-10-31 10:00:00,GM0093,Terschelling,Friesland,64,1,1
2020-10-31 10:00:00,GM0096,Vlieland,Friesland,16,0,0
2020-10-31 10:00:00,GM0098,Weststellingwerf,Friesland,241,3,5
2020-10-31 10:00:00,GM0106,Assen,Drenthe,676,14,3
2020-10-31 10:00:00,GM0109,Coevorden,Drenthe,339,18,3
2020-10-31 10:00:00,GM0114,Emmen,Drenthe,1480,49,23
2020-10-31 10:00:00,GM0118,Hoogeveen,Drenthe,631,29,12
2020-10-31 10:00:00,GM0119,Meppel,Drenthe,299,11,5
2020-10-31 10:00:00,GM0141,Almelo,Overijssel,1392,32,14
2020-10-31 10:00:00,GM0147,Borne,Overijssel,399,16,6
2020-10-31 10:00:00,GM0148,Dalfsen,Overijssel,472,17,7
2020-10-31 10:00:00,GM0150,Deventer,Overijssel,1491,50,42
2020-10-31 10:00:00,GM0153,Enschede,Overijssel,3014,70,41
2020-10-31 10:00:00,GM0158,Haaksbergen,Overijssel,555,18,11
2020-10-31 10:00:00,GM0160,Hardenberg,Overijssel,724,24,10
2020-10-31 10:00:00,GM0163,Hellendoorn,Overijssel,566,13,14
2020-10-31 10:00:00,GM0164,Hengelo,Overijssel,1555,39,24
2020-10-31 10:00:00,GM0166,Kampen,Overijssel,709,61,37
2020-10-31 10:00:00,GM0168,Losser,Overijssel,455,11,2
2020-10-31 10:00:00,GM0171,Noordoostpolder,Flevoland,442,20,12
2020-10-31 10:00:00,GM0173,Oldenzaal,Overijssel,711,16,17
2020-10-31 10:00:00,GM0175,Ommen,Overijssel,205,9,4
2020-10-31 10:00:00,GM0177,Raalte,Overijssel,567,25,24
2020-10-31 10:00:00,GM0180,Staphorst,Overijssel,344,8,4
2020-10-31 10:00:00,GM0183,Tubbergen,Overijssel,734,12,6
2020-10-31 10:00:00,GM0184,Urk,Flevoland,196,24,4
2020-10-31 10:00:00,GM0189,Wierden,Overijssel,558,7,6
