Date_of_report,Municipality_code,Municipality_name,Province,Total_reported,Hospital_admission,Deceased
2021-01-16 10:00:00,GM0014,Groningen,Groningen,7226,59,23
2021-01-16 10:00:00,GM0034,Almere,Flevoland,12193,230,61
2021-01-16 10:00:00,GM0037,Stadskanaal,Groningen,1416,15,9
2021-01-16 10:00:00,GM0047,Veendam,Groningen,899,5,6
2021-01-16 10:00:00,GM0050,Zeewolde,Flevoland,982,18,11
2021-01-16 10:00:00,GM0059,Achtkarspelen,Frysl̢n,891,3,4
2021-01-16 10:00:00,GM0060,Ameland,Frysl̢n,131,0,0
2021-01-16 10:00:00,GM0072,Harlingen,Frysl̢n,268,5,2
2021-01-16 10:00:00,GM0074,Heerenveen,Frysl̢n,1196,20,24
2021-01-16 10:00:00,GM0080,Leeuwarden,Frysl̢n,3403,59,27
2021-01-16 10:00:00,GM0085,Ooststellingwerf,Frysl̢n,583,10,1
2021-01-16 10:00:00,GM0086,Opsterland,Frysl̢n,678,17,3
2021-01-16 10:00:00,GM0088,Schiermonnikoog,Frysl̢n,8,1,0
2021-01-16 10:00:00,GM0090,Smallingerland,Frysl̢n,1375,19,15
2021-01-16 10:00:00,GM0093,Terschelling,Frysl̢n,152,1,1
2021-01-16 10:00:00,GM0096,Vlieland,Frysl̢n,27,0,0
2021-01-16 10:00:00,GM0098,Weststellingwerf,Frysl̢n,683,8,12
2021-01-16 10:00:00,GM0106,Assen,Drenthe,1752,33,10
2021-01-16 10:00:00,GM0109,Coevorden,Drenthe,1419,36,17
2021-01-16 10:00:00,GM0114,Emmen,Drenthe,4281,71,46
2021-01-16 10:00:00,GM0118,Hoogeveen,Drenthe,2613,49,31
2021-01-16 10:00:00,GM0119,Meppel,Drenthe,1209,18,17
2021-01-16 10:00:00,GM0141,Almelo,Overijssel,4703,62,45
2021-01-16 10:00:00,GM0147,Borne,Overijssel,1525,25,21
2021-01-16 10:00:00,GM0148,Dalfsen,Overijssel,1294,20,17
2021-01-16 10:00:00,GM0150,Deventer,Overijssel,4822,71,74
2021-01-16 10:00:00,GM0153,Enschede,Overijssel,8579,157,124
2021-01-16 10:00:00,GM0158,Haaksbergen,Overijssel,1879,28,30
2021-01-16 10:00:00,GM0160,Hardenberg,Overijssel,3207,41,32
2021-01-16 10:00:00,GM0163,Hellendoorn,Overijssel,2410,23,33
2021-01-16 10:00:00,GM0164,Hengelo (O.),Overijssel,4727,57,53
2021-01-16 10:00:00,GM0166,Kampen,Overijssel,2031,68,41
2021-01-16 10:00:00,GM0168,Losser,Overijssel,1725,32,25
