Datum,Opgenomen
2020-02-27,7
2020-02-28,8
2020-02-29,9
2020-03-01,11
2020-03-02,10
2020-03-03,11
2020-03-04,14
2020-03-05,15
2020-03-06,18
2020-03-07,20
2020-03-08,26
2020-03-09,32
2020-03-10,39
2020-03-11,49
2020-03-12,70
2020-03-13,81
2020-03-14,97
2020-03-15,122
2020-03-16,151
2020-03-17,178
2020-03-18,228
2020-03-19,289
2020-03-20,365
2020-03-21,431
2020-03-22,481
2020-03-23,574
2020-03-24,656
2020-03-25,754
2020-03-26,838
2020-03-27,926
2020-03-28,994
2020-03-29,1043
2020-03-30,1130
2020-03-31,1193
2020-04-01,1209
2020-04-02,1255
2020-04-03,1285
2020-04-04,1289
2020-04-05,1307
2020-04-06,1317
2020-04-07,1326
2020-04-08,1295
2020-04-09,1293
2020-04-10,1305
2020-04-11,1266
2020-04-12,1248
2020-04-13,1233
2020-04-14,1209
2020-04-15,1184
2020-04-16,1149
2020-04-17,1121
2020-04-18,1073
2020-04-19,1046
2020-04-20,1029
2020-04-21,994
2020-04-22,933
2020-04-23,894
2020-04-24,878
2020-04-25,847
2020-04-26,827
2020-04-27,803
2020-04-28,780
2020-04-29,758
2020-04-30,729
2020-05-01,694
