Datum,OpgenomenCumulatief
2020-02-27,5
2020-02-28,5
2020-02-29,6
2020-03-01,7
2020-03-02,7
2020-03-03,8
2020-03-04,11
2020-03-05,13
2020-03-06,16
2020-03-07,19
2020-03-08,25
2020-03-09,34
2020-03-10,45
2020-03-11,56
2020-03-12,79
2020-03-13,93
2020-03-14,113
2020-03-15,141
2020-03-16,175
2020-03-17,211
2020-03-18,266
2020-03-19,334
2020-03-20,425
2020-03-21,506
2020-03-22,580
2020-03-23,683
2020-03-24,796
2020-03-25,916
2020-03-26,1028
2020-03-27,1149
2020-03-28,1259
2020-03-29,1356
2020-03-30,1495
2020-03-31,1606
2020-04-01,1682
2020-04-02,1784
2020-04-03,1867
2020-04-04,1935
2020-04-05,2015
2020-04-06,2080
2020-04-07,2146
2020-04-08,2211
2020-04-09,2268
2020-04-10,2326
2020-04-11,2355
2020-04-12,2398
2020-04-13,2447
2020-04-14,2494
2020-04-15,2510
