Datum,OverleeftCumulatief
2020-02-27,0
2020-02-28,0
2020-02-29,0
2020-03-01,0
2020-03-02,0
2020-03-03,0
2020-03-04,2
2020-03-05,2
2020-03-06,2
2020-03-07,3
2020-03-08,3
2020-03-09,3
2020-03-10,3
2020-03-11,3
2020-03-12,3
2020-03-13,4
2020-03-14,7
2020-03-15,7
2020-03-16,8
2020-03-17,8
2020-03-18,12
2020-03-19,12
2020-03-20,14
2020-03-21,17
2020-03-22,20
2020-03-23,23
2020-03-24,26
2020-03-25,30
2020-03-26,40
2020-03-27,46
2020-03-28,50
2020-03-29,61
2020-03-30,70
2020-03-31,88
2020-04-01,106
2020-04-02,121
2020-04-03,143
2020-04-04,156
2020-04-05,165
2020-04-06,190
2020-04-07,213
2020-04-08,238
2020-04-09,266
2020-04-10,295
2020-04-11,315
2020-04-12,333
2020-04-13,348
2020-04-14,399
2020-04-15,455
2020-04-16,505
2020-04-17,552
2020-04-18,576
2020-04-19,582
2020-04-20,638
2020-04-21,689
2020-04-22,735
2020-04-23,781
2020-04-24,844
2020-04-25,861
2020-04-26,870
2020-04-27,879
2020-04-28,929
2020-04-29,965
2020-04-30,1008
2020-05-01,1050
2020-05-02,1065
2020-05-03,1072
2020-05-04,1115
2020-05-05,1129
2020-05-06,1167
2020-05-07,1206
2020-05-08,1242
2020-05-09,1251
2020-05-10,1254
2020-05-11,1292
2020-05-12,1335
2020-05-13,1370
2020-05-14,1397
2020-05-15,1430
2020-05-16,1439
2020-05-17,1443
2020-05-18,1476
2020-05-19,1508
2020-05-20,1539
2020-05-21,1545
2020-05-22,1577
2020-05-23,1580
2020-05-24,1580
2020-05-25,1603
2020-05-26,1624
2020-05-27,1648
2020-05-28,1679
2020-05-29,1700
2020-05-30,1707
2020-05-31,1707
2020-06-01,1707
2020-06-02,1731
2020-06-03,1753
2020-06-04,1773
2020-06-05,1783
2020-06-06,1785
2020-06-07,1787
2020-06-08,1803
2020-06-09,1815
2020-06-10,1827
2020-06-11,1840
2020-06-12,1850
2020-06-13,1850
2020-06-14,1852
2020-06-15,1870
2020-06-16,1875
2020-06-17,1881
2020-06-18,1888
2020-06-19,1896
2020-06-20,1897
2020-06-21,1897
2020-06-22,1902
2020-06-23,1908
2020-06-24,1914
2020-06-25,1919
2020-06-26,1923
2020-06-27,1923
2020-06-28,1923
2020-06-29,1927
2020-06-30,1934
2020-07-01,1937
2020-07-02,1941
2020-07-03,1949
2020-07-04,1949
2020-07-05,1950
2020-07-06,1955
2020-07-07,1960
2020-07-08,1965
2020-07-09,1968
2020-07-10,1968
2020-07-11,1968
2020-07-12,1970
2020-07-13,1971
2020-07-14,1972
2020-07-15,1975
2020-07-16,1979
2020-07-17,1979
2020-07-18,1979
2020-07-19,1979
2020-07-20,1984
2020-07-21,1986
2020-07-22,1989
2020-07-23,1990
2020-07-24,1995
2020-07-25,1996
2020-07-26,1996
2020-07-27,1997
2020-07-28,1998
2020-07-29,1999
2020-07-30,2001
2020-07-31,2001
2020-08-01,2002
2020-08-02,2002
2020-08-03,2002
2020-08-04,2003
2020-08-05,2006
2020-08-06,2007
2020-08-07,2008
2020-08-08,2008
2020-08-09,2009
2020-08-10,2010
2020-08-11,2012
2020-08-12,2013
2020-08-13,2014
2020-08-14,2015
2020-08-15,2015
2020-08-16,2016
2020-08-17,2019
2020-08-18,2023
2020-08-19,2029
2020-08-20,2032
2020-08-21,2035
2020-08-22,2035
2020-08-23,2036
2020-08-24,2037
2020-08-25,2039
2020-08-26,2044
2020-08-27,2047
2020-08-28,2052
2020-08-29,2053
2020-08-30,2053
2020-08-31,2056
2020-09-01,2058
2020-09-02,2061
2020-09-03,2064
2020-09-04,2065
2020-09-05,2067
2020-09-06,2067
2020-09-07,2067
2020-09-08,2068
2020-09-09,2070
2020-09-10,2072
2020-09-11,2073
2020-09-12,2074
2020-09-13,2074
2020-09-14,2077
2020-09-15,2080
2020-09-16,2084
2020-09-17,2086
