Datum,OpgenomenCumulatief
2020-02-27,5
2020-02-28,6
2020-02-29,7
2020-03-01,8
2020-03-02,8
2020-03-03,9
2020-03-04,12
2020-03-05,14
2020-03-06,17
2020-03-07,20
2020-03-08,26
2020-03-09,36
2020-03-10,47
2020-03-11,58
2020-03-12,81
2020-03-13,95
2020-03-14,115
2020-03-15,144
2020-03-16,178
2020-03-17,214
2020-03-18,269
2020-03-19,338
2020-03-20,428
2020-03-21,509
2020-03-22,583
2020-03-23,685
2020-03-24,798
2020-03-25,918
2020-03-26,1029
2020-03-27,1149
2020-03-28,1258
2020-03-29,1355
2020-03-30,1493
2020-03-31,1605
2020-04-01,1679
2020-04-02,1781
2020-04-03,1862
2020-04-04,1930
2020-04-05,2007
2020-04-06,2073
2020-04-07,2137
2020-04-08,2201
2020-04-09,2258
2020-04-10,2316
2020-04-11,2346
2020-04-12,2387
2020-04-13,2436
2020-04-14,2476
2020-04-15,2502
2020-04-16,2533
2020-04-17,2561
2020-04-18,2578
2020-04-19,2604
2020-04-20,2637
2020-04-21,2664
2020-04-22,2679
2020-04-23,2699
2020-04-24,2721
2020-04-25,2735
2020-04-26,2753
2020-04-27,2760
