Datum,OpgenomenCumulatief
2020-02-27,15
2020-02-28,16
2020-02-29,17
2020-03-01,19
2020-03-02,19
2020-03-03,21
2020-03-04,24
2020-03-05,26
2020-03-06,30
2020-03-07,33
2020-03-08,39
2020-03-09,47
2020-03-10,57
2020-03-11,67
2020-03-12,90
2020-03-13,104
2020-03-14,124
2020-03-15,152
2020-03-16,186
2020-03-17,223
2020-03-18,278
2020-03-19,344
2020-03-20,431
2020-03-21,513
2020-03-22,587
2020-03-23,690
2020-03-24,804
2020-03-25,923
2020-03-26,1036
2020-03-27,1156
2020-03-28,1260
2020-03-29,1352
2020-03-30,1484
2020-03-31,1597
2020-04-01,1671
2020-04-02,1770
2020-04-03,1849
2020-04-04,1915
2020-04-05,1994
2020-04-06,2057
2020-04-07,2117
2020-04-08,2176
2020-04-09,2227
2020-04-10,2278
2020-04-11,2307
2020-04-12,2343
2020-04-13,2388
2020-04-14,2425
2020-04-15,2450
2020-04-16,2480
2020-04-17,2506
2020-04-18,2525
2020-04-19,2545
2020-04-20,2572
2020-04-21,2595
2020-04-22,2610
2020-04-23,2626
2020-04-24,2645
2020-04-25,2659
2020-04-26,2672
2020-04-27,2686
2020-04-28,2702
2020-04-29,2714
2020-04-30,2733
2020-05-01,2742
2020-05-02,2753
2020-05-03,2764
2020-05-04,2776
2020-05-05,2779
2020-05-06,2785
2020-05-07,2795
2020-05-08,2803
2020-05-09,2808
2020-05-10,2813
2020-05-11,2821
2020-05-12,2823
2020-05-13,2827
2020-05-14,2836
2020-05-15,2841
2020-05-16,2849
2020-05-17,2853
2020-05-18,2857
2020-05-19,2859
2020-05-20,2862
2020-05-21,2864
2020-05-22,2869
2020-05-23,2872
2020-05-24,2879
2020-05-25,2880
2020-05-26,2884
2020-05-27,2888
2020-05-28,2889
2020-05-29,2892
2020-05-30,2895
2020-05-31,2898
2020-06-01,2903
2020-06-02,2904
2020-06-03,2909
2020-06-04,2915
2020-06-05,2918
2020-06-06,2920
2020-06-07,2923
2020-06-08,2924
2020-06-09,2926
2020-06-10,2928
2020-06-11,2929
2020-06-12,2932
2020-06-13,2934
2020-06-14,2934
2020-06-15,2935
2020-06-16,2937
2020-06-17,2937
2020-06-18,2938
2020-06-19,2939
2020-06-20,2941
2020-06-21,2941
2020-06-22,2944
2020-06-23,2945
2020-06-24,2946
2020-06-25,2947
2020-06-26,2947
2020-06-27,2947
2020-06-28,2947
2020-06-29,2947
2020-06-30,2949
2020-07-01,2949
2020-07-02,2952
2020-07-03,2952
2020-07-04,2953
2020-07-05,2953
2020-07-06,2954
2020-07-07,2955
2020-07-08,2957
2020-07-09,2958
2020-07-10,2959
2020-07-11,2959
2020-07-12,2960
2020-07-13,2960
2020-07-14,2960
2020-07-15,2961
2020-07-16,2962
2020-07-17,2962
2020-07-18,2962
2020-07-19,2963
2020-07-20,2964
2020-07-21,2966
2020-07-22,2967
2020-07-23,2968
2020-07-24,2969
2020-07-25,2970
2020-07-26,2972
2020-07-27,2976
2020-07-28,2976
2020-07-29,2976
2020-07-30,2979
2020-07-31,2983
2020-08-01,2985
2020-08-02,2987
2020-08-03,2990
2020-08-04,2993
2020-08-05,2995
2020-08-06,2997
2020-08-07,2998
