Datum,OpgenomenCumulatief
2020-02-27,6
2020-02-28,7
2020-02-29,8
2020-03-01,10
2020-03-02,10
2020-03-03,11
2020-03-04,14
2020-03-05,16
2020-03-06,19
2020-03-07,22
2020-03-08,28
2020-03-09,35
2020-03-10,44
2020-03-11,55
2020-03-12,78
2020-03-13,92
2020-03-14,110
2020-03-15,138
2020-03-16,171
2020-03-17,206
2020-03-18,261
2020-03-19,329
2020-03-20,416
2020-03-21,498
2020-03-22,571
2020-03-23,672
2020-03-24,784
2020-03-25,903
2020-03-26,1015
2020-03-27,1133
2020-03-28,1238
2020-03-29,1331
2020-03-30,1464
2020-03-31,1575
2020-04-01,1648
2020-04-02,1747
2020-04-03,1827
2020-04-04,1891
2020-04-05,1966
2020-04-06,2029
2020-04-07,2089
2020-04-08,2151
2020-04-09,2203
2020-04-10,2253
2020-04-11,2282
2020-04-12,2318
2020-04-13,2363
2020-04-14,2399
2020-04-15,2423
2020-04-16,2453
2020-04-17,2479
2020-04-18,2497
2020-04-19,2518
2020-04-20,2546
2020-04-21,2569
2020-04-22,2583
2020-04-23,2599
2020-04-24,2618
2020-04-25,2633
2020-04-26,2646
2020-04-27,2662
2020-04-28,2677
2020-04-29,2689
2020-04-30,2706
2020-05-01,2715
2020-05-02,2724
2020-05-03,2735
2020-05-04,2748
2020-05-05,2752
2020-05-06,2758
2020-05-07,2770
2020-05-08,2778
2020-05-09,2784
2020-05-10,2791
2020-05-11,2799
2020-05-12,2803
2020-05-13,2808
2020-05-14,2816
2020-05-15,2821
2020-05-16,2830
2020-05-17,2834
2020-05-18,2838
2020-05-19,2841
2020-05-20,2845
2020-05-21,2848
2020-05-22,2849
