Datum,OpgenomenCumulatief
2020-02-27,9
2020-02-28,10
2020-02-29,11
2020-03-01,13
2020-03-02,13
2020-03-03,15
2020-03-04,18
2020-03-05,20
2020-03-06,24
2020-03-07,27
2020-03-08,33
2020-03-09,41
2020-03-10,51
2020-03-11,61
2020-03-12,84
2020-03-13,98
2020-03-14,118
2020-03-15,147
2020-03-16,181
2020-03-17,218
2020-03-18,272
2020-03-19,338
2020-03-20,425
2020-03-21,507
2020-03-22,581
2020-03-23,684
2020-03-24,798
2020-03-25,917
2020-03-26,1031
2020-03-27,1151
2020-03-28,1256
2020-03-29,1349
2020-03-30,1481
2020-03-31,1594
2020-04-01,1668
2020-04-02,1765
2020-04-03,1844
2020-04-04,1910
2020-04-05,1989
2020-04-06,2052
2020-04-07,2112
2020-04-08,2171
2020-04-09,2222
2020-04-10,2273
2020-04-11,2302
2020-04-12,2338
2020-04-13,2383
2020-04-14,2420
2020-04-15,2445
2020-04-16,2475
2020-04-17,2501
2020-04-18,2520
2020-04-19,2540
2020-04-20,2567
2020-04-21,2589
2020-04-22,2604
2020-04-23,2620
2020-04-24,2639
2020-04-25,2653
2020-04-26,2666
2020-04-27,2680
2020-04-28,2696
2020-04-29,2708
2020-04-30,2727
2020-05-01,2736
2020-05-02,2747
2020-05-03,2758
2020-05-04,2770
2020-05-05,2773
2020-05-06,2779
2020-05-07,2790
2020-05-08,2798
2020-05-09,2803
2020-05-10,2808
2020-05-11,2816
2020-05-12,2818
2020-05-13,2822
2020-05-14,2831
2020-05-15,2836
2020-05-16,2844
2020-05-17,2848
2020-05-18,2852
2020-05-19,2854
2020-05-20,2857
2020-05-21,2859
2020-05-22,2864
2020-05-23,2867
2020-05-24,2874
2020-05-25,2875
2020-05-26,2879
2020-05-27,2883
2020-05-28,2884
2020-05-29,2887
2020-05-30,2890
2020-05-31,2894
2020-06-01,2898
2020-06-02,2899
2020-06-03,2903
2020-06-04,2909
2020-06-05,2912
2020-06-06,2914
2020-06-07,2917
2020-06-08,2918
2020-06-09,2920
2020-06-10,2922
2020-06-11,2923
2020-06-12,2926
2020-06-13,2928
2020-06-14,2928
2020-06-15,2929
2020-06-16,2931
2020-06-17,2931
2020-06-18,2932
2020-06-19,2933
2020-06-20,2935
2020-06-21,2935
2020-06-22,2938
2020-06-23,2939
2020-06-24,2940
2020-06-25,2941
2020-06-26,2941
2020-06-27,2941
2020-06-28,2941
2020-06-29,2941
2020-06-30,2943
2020-07-01,2943
2020-07-02,2946
2020-07-03,2946
2020-07-04,2947
2020-07-05,2947
2020-07-06,2948
2020-07-07,2949
2020-07-08,2951
2020-07-09,2952
2020-07-10,2953
2020-07-11,2953
2020-07-12,2954
2020-07-13,2954
2020-07-14,2954
2020-07-15,2955
2020-07-16,2956
2020-07-17,2956
2020-07-18,2956
2020-07-19,2957
2020-07-20,2958
2020-07-21,2960
2020-07-22,2961
2020-07-23,2962
2020-07-24,2964
2020-07-25,2965
2020-07-26,2967
2020-07-27,2971
2020-07-28,2971
2020-07-29,2971
2020-07-30,2974
2020-07-31,2978
2020-08-01,2980
2020-08-02,2982
2020-08-03,2985
2020-08-04,2988
2020-08-05,2990
2020-08-06,2992
2020-08-07,2993
2020-08-08,2994
2020-08-09,3000
2020-08-10,3004
2020-08-11,3007
2020-08-12,3011
2020-08-13,3015
2020-08-14,3021
2020-08-15,3022
2020-08-16,3026
2020-08-17,3035
2020-08-18,3037
2020-08-19,3040
2020-08-20,3045
2020-08-21,3051
2020-08-22,3051
2020-08-23,3056
2020-08-24,3058
2020-08-25,3061
2020-08-26,3061
2020-08-27,3064
2020-08-28,3066
2020-08-29,3069
2020-08-30,3072
2020-08-31,3073
2020-09-01,3075
2020-09-02,3076
2020-09-03,3080
2020-09-04,3084
2020-09-05,3085
2020-09-06,3089
2020-09-07,3092
2020-09-08,3096
2020-09-09,3099
2020-09-10,3104
2020-09-11,3110
2020-09-12,3116
2020-09-13,3120
2020-09-14,3130
2020-09-15,3135
2020-09-16,3136
2020-09-17,3140
2020-09-18,3147
2020-09-19,3160
2020-09-20,3175
2020-09-21,3188
2020-09-22,3200
2020-09-23,3211
2020-09-24,3222
2020-09-25,3240
2020-09-26,3252
2020-09-27,3271
2020-09-28,3286
2020-09-29,3309
2020-09-30,3325
2020-10-01,3338
2020-10-02,3352
2020-10-03,3371
2020-10-04,3394
2020-10-05,3423
2020-10-06,3456
2020-10-07,3486
2020-10-08,3509
2020-10-09,3536
2020-10-10,3563
2020-10-11,3582
2020-10-12,3624
2020-10-13,3661
2020-10-14,3697
2020-10-15,3736
2020-10-16,3792
2020-10-17,3824
2020-10-18,3865
2020-10-19,3925
2020-10-20,3976
2020-10-21,4026
2020-10-22,4069
2020-10-23,4119
2020-10-24,4161
2020-10-25,4209
2020-10-26,4267
2020-10-27,4319
2020-10-28,4373
2020-10-29,4419
2020-10-30,4464
2020-10-31,4512
2020-11-01,4555
2020-11-02,4615
2020-11-03,4650
2020-11-04,4690
2020-11-05,4729
2020-11-06,4765
2020-11-07,4805
2020-11-08,4848
2020-11-09,4891
2020-11-10,4930
2020-11-11,4964
2020-11-12,5004
2020-11-13,5033
2020-11-14,5057
