Datum,OpgenomenCumulatief
2020-02-27,6
2020-02-28,7
2020-02-29,8
2020-03-01,10
2020-03-02,10
2020-03-03,11
2020-03-04,14
2020-03-05,16
2020-03-06,19
2020-03-07,22
2020-03-08,28
2020-03-09,37
2020-03-10,48
2020-03-11,59
2020-03-12,82
2020-03-13,96
2020-03-14,114
2020-03-15,143
2020-03-16,176
2020-03-17,211
2020-03-18,266
2020-03-19,335
2020-03-20,425
2020-03-21,506
2020-03-22,579
2020-03-23,680
2020-03-24,793
2020-03-25,912
2020-03-26,1024
2020-03-27,1144
2020-03-28,1253
2020-03-29,1350
2020-03-30,1486
2020-03-31,1597
2020-04-01,1670
2020-04-02,1772
2020-04-03,1853
2020-04-04,1919
2020-04-05,1995
2020-04-06,2059
2020-04-07,2122
2020-04-08,2185
2020-04-09,2241
2020-04-10,2294
2020-04-11,2324
2020-04-12,2363
2020-04-13,2410
2020-04-14,2450
2020-04-15,2476
2020-04-16,2506
2020-04-17,2534
2020-04-18,2551
2020-04-19,2573
2020-04-20,2601
2020-04-21,2626
2020-04-22,2640
2020-04-23,2659
2020-04-24,2681
2020-04-25,2696
2020-04-26,2710
2020-04-27,2727
2020-04-28,2741
2020-04-29,2755
2020-04-30,2774
2020-05-01,2783
2020-05-02,2792
2020-05-03,2805
2020-05-04,2820
2020-05-05,2824
2020-05-06,2833
