Datum,OpgenomenCumulatief
2020-02-27,7
2020-02-28,9
2020-02-29,10
2020-03-01,12
2020-03-02,12
2020-03-03,14
2020-03-04,17
2020-03-05,19
2020-03-06,23
2020-03-07,26
2020-03-08,32
2020-03-09,39
2020-03-10,48
2020-03-11,58
2020-03-12,81
2020-03-13,95
2020-03-14,113
2020-03-15,141
2020-03-16,174
2020-03-17,210
2020-03-18,264
2020-03-19,328
2020-03-20,415
2020-03-21,496
2020-03-22,570
2020-03-23,670
2020-03-24,782
2020-03-25,901
2020-03-26,1013
2020-03-27,1131
2020-03-28,1236
2020-03-29,1329
2020-03-30,1462
2020-03-31,1572
2020-04-01,1646
2020-04-02,1744
2020-04-03,1823
2020-04-04,1888
2020-04-05,1964
2020-04-06,2026
2020-04-07,2084
2020-04-08,2144
2020-04-09,2195
2020-04-10,2244
2020-04-11,2273
2020-04-12,2308
2020-04-13,2354
2020-04-14,2390
2020-04-15,2414
2020-04-16,2443
2020-04-17,2469
2020-04-18,2487
2020-04-19,2506
2020-04-20,2533
2020-04-21,2555
2020-04-22,2570
2020-04-23,2586
2020-04-24,2605
2020-04-25,2619
2020-04-26,2632
2020-04-27,2647
2020-04-28,2662
2020-04-29,2674
2020-04-30,2692
2020-05-01,2701
2020-05-02,2710
2020-05-03,2721
2020-05-04,2733
2020-05-05,2736
2020-05-06,2742
2020-05-07,2752
2020-05-08,2759
2020-05-09,2764
2020-05-10,2769
2020-05-11,2777
2020-05-12,2780
2020-05-13,2784
2020-05-14,2794
2020-05-15,2798
2020-05-16,2807
2020-05-17,2812
2020-05-18,2816
2020-05-19,2818
2020-05-20,2821
2020-05-21,2823
2020-05-22,2828
2020-05-23,2831
2020-05-24,2838
2020-05-25,2839
2020-05-26,2843
2020-05-27,2847
2020-05-28,2848
2020-05-29,2851
2020-05-30,2853
2020-05-31,2856
2020-06-01,2860
2020-06-02,2861
2020-06-03,2866
2020-06-04,2871
2020-06-05,2874
2020-06-06,2877
2020-06-07,2880
2020-06-08,2882
2020-06-09,2884
2020-06-10,2886
2020-06-11,2887
2020-06-12,2890
2020-06-13,2891
2020-06-14,2891
2020-06-15,2892
2020-06-16,2894
2020-06-17,2894
2020-06-18,2895
2020-06-19,2896
2020-06-20,2898
2020-06-21,2898
2020-06-22,2902
2020-06-23,2903
2020-06-24,2905
2020-06-25,2906
2020-06-26,2906
2020-06-27,2906
2020-06-28,2906
2020-06-29,2906
2020-06-30,2908
2020-07-01,2908
2020-07-02,2910
2020-07-03,2910
2020-07-04,2911
2020-07-05,2911
2020-07-06,2911
2020-07-07,2912
2020-07-08,2913
2020-07-09,2915
2020-07-10,2916
2020-07-11,2917
2020-07-12,2918
2020-07-13,2918
2020-07-14,2921
2020-07-15,2922
2020-07-16,2923
2020-07-17,2923
2020-07-18,2923
2020-07-19,2924
2020-07-20,2924
2020-07-21,2926
2020-07-22,2927
2020-07-23,2928
2020-07-24,2930
2020-07-25,2931
2020-07-26,2934
2020-07-27,2938
2020-07-28,2938
2020-07-29,2938
2020-07-30,2942
2020-07-31,2947
2020-08-01,2948
2020-08-02,2955
2020-08-03,2960
