Datum,Opgenomen
2020-02-27,6
2020-02-28,7
2020-02-29,8
2020-03-01,10
2020-03-02,9
2020-03-03,10
2020-03-04,13
2020-03-05,14
2020-03-06,17
2020-03-07,19
2020-03-08,25
2020-03-09,32
2020-03-10,39
2020-03-11,49
2020-03-12,70
2020-03-13,80
2020-03-14,97
2020-03-15,122
2020-03-16,152
2020-03-17,179
2020-03-18,229
2020-03-19,290
2020-03-20,366
2020-03-21,432
2020-03-22,482
2020-03-23,575
2020-03-24,657
2020-03-25,755
2020-03-26,839
2020-03-27,927
2020-03-28,995
2020-03-29,1044
2020-03-30,1133
2020-03-31,1192
2020-04-01,1209
2020-04-02,1253
2020-04-03,1283
2020-04-04,1287
2020-04-05,1305
2020-04-06,1315
2020-04-07,1324
2020-04-08,1293
2020-04-09,1291
2020-04-10,1303
2020-04-11,1264
2020-04-12,1246
2020-04-13,1231
2020-04-14,1207
2020-04-15,1182
2020-04-16,1147
2020-04-17,1119
2020-04-18,1071
2020-04-19,1046
2020-04-20,1028
2020-04-21,993
2020-04-22,932
2020-04-23,896
2020-04-24,877
2020-04-25,846
2020-04-26,826
2020-04-27,803
2020-04-28,785
2020-04-29,754
