Datum,OpgenomenCumulatief
2020-02-27,7
2020-02-28,8
2020-02-29,9
2020-03-01,11
2020-03-02,11
2020-03-03,13
2020-03-04,16
2020-03-05,18
2020-03-06,22
2020-03-07,25
2020-03-08,31
2020-03-09,39
2020-03-10,49
2020-03-11,59
2020-03-12,82
2020-03-13,96
2020-03-14,114
2020-03-15,143
2020-03-16,176
2020-03-17,212
2020-03-18,266
2020-03-19,331
2020-03-20,418
2020-03-21,500
2020-03-22,573
2020-03-23,676
2020-03-24,788
2020-03-25,907
2020-03-26,1021
2020-03-27,1141
2020-03-28,1246
2020-03-29,1339
2020-03-30,1472
2020-03-31,1583
2020-04-01,1656
2020-04-02,1754
2020-04-03,1833
2020-04-04,1899
2020-04-05,1977
2020-04-06,2040
2020-04-07,2100
2020-04-08,2159
2020-04-09,2211
2020-04-10,2262
2020-04-11,2291
2020-04-12,2326
2020-04-13,2371
2020-04-14,2408
2020-04-15,2433
2020-04-16,2464
2020-04-17,2490
2020-04-18,2509
2020-04-19,2529
2020-04-20,2556
2020-04-21,2578
2020-04-22,2593
2020-04-23,2609
2020-04-24,2628
2020-04-25,2642
2020-04-26,2655
2020-04-27,2669
2020-04-28,2685
2020-04-29,2697
2020-04-30,2716
2020-05-01,2725
2020-05-02,2736
2020-05-03,2747
2020-05-04,2759
2020-05-05,2762
2020-05-06,2768
2020-05-07,2778
2020-05-08,2786
2020-05-09,2791
2020-05-10,2796
2020-05-11,2804
2020-05-12,2806
2020-05-13,2810
2020-05-14,2819
2020-05-15,2824
2020-05-16,2832
2020-05-17,2837
2020-05-18,2841
2020-05-19,2843
2020-05-20,2846
2020-05-21,2848
2020-05-22,2853
2020-05-23,2856
2020-05-24,2863
2020-05-25,2864
2020-05-26,2868
2020-05-27,2872
2020-05-28,2873
2020-05-29,2876
2020-05-30,2878
2020-05-31,2882
2020-06-01,2886
2020-06-02,2887
2020-06-03,2891
2020-06-04,2897
2020-06-05,2900
2020-06-06,2902
2020-06-07,2905
2020-06-08,2906
2020-06-09,2908
2020-06-10,2910
2020-06-11,2911
2020-06-12,2914
2020-06-13,2916
2020-06-14,2916
2020-06-15,2917
2020-06-16,2919
2020-06-17,2919
2020-06-18,2920
2020-06-19,2921
2020-06-20,2923
2020-06-21,2923
2020-06-22,2926
2020-06-23,2927
2020-06-24,2929
2020-06-25,2931
2020-06-26,2931
2020-06-27,2931
2020-06-28,2931
2020-06-29,2931
2020-06-30,2933
2020-07-01,2933
2020-07-02,2936
2020-07-03,2936
2020-07-04,2937
2020-07-05,2937
2020-07-06,2937
2020-07-07,2938
2020-07-08,2940
2020-07-09,2941
2020-07-10,2942
2020-07-11,2942
2020-07-12,2943
2020-07-13,2943
2020-07-14,2943
2020-07-15,2944
2020-07-16,2945
2020-07-17,2945
2020-07-18,2945
2020-07-19,2946
2020-07-20,2946
2020-07-21,2949
2020-07-22,2950
2020-07-23,2951
2020-07-24,2953
2020-07-25,2954
2020-07-26,2956
2020-07-27,2960
2020-07-28,2960
2020-07-29,2960
2020-07-30,2963
2020-07-31,2967
2020-08-01,2969
2020-08-02,2971
2020-08-03,2974
2020-08-04,2977
2020-08-05,2979
2020-08-06,2981
2020-08-07,2982
2020-08-08,2983
2020-08-09,2989
2020-08-10,2993
2020-08-11,2996
2020-08-12,3000
2020-08-13,3004
2020-08-14,3010
2020-08-15,3012
2020-08-16,3017
2020-08-17,3026
2020-08-18,3028
2020-08-19,3031
2020-08-20,3036
2020-08-21,3042
2020-08-22,3042
2020-08-23,3047
2020-08-24,3049
2020-08-25,3052
2020-08-26,3052
2020-08-27,3054
2020-08-28,3055
2020-08-29,3058
2020-08-30,3061
2020-08-31,3063
2020-09-01,3065
2020-09-02,3066
2020-09-03,3070
2020-09-04,3074
2020-09-05,3075
2020-09-06,3079
2020-09-07,3081
2020-09-08,3086
2020-09-09,3089
2020-09-10,3094
2020-09-11,3100
2020-09-12,3107
2020-09-13,3111
2020-09-14,3119
2020-09-15,3128
2020-09-16,3129
2020-09-17,3134
2020-09-18,3139
2020-09-19,3145
2020-09-20,3150
