Gemeentecode,Opgenomen,Gemeente,Provinciecode,Provincie,Datum
392,47,Haarlem,27,Noord-Holland,2020-04-09
394,46,Haarlemmermeer,27,Noord-Holland,2020-04-09
1655,9,Halderberge,30,Noord-Brabant,2020-04-09
160,17,Hardenberg,23,Overijssel,2020-04-09
243,12,Harderwijk,25,Gelderland,2020-04-09
523,1,Hardinxveld-Giessendam,28,Zuid-Holland,2020-04-09
72,2,Harlingen,21,Friesland,2020-04-09
244,9,Hattem,25,Gelderland,2020-04-09
396,20,Heemskerk,27,Noord-Holland,2020-04-09
397,8,Heemstede,27,Noord-Holland,2020-04-09
246,24,Heerde,25,Gelderland,2020-04-09
74,11,Heerenveen,21,Friesland,2020-04-09
398,22,Heerhugowaard,27,Noord-Holland,2020-04-09
917,92,Heerlen,31,Limburg,2020-04-09
1658,8,Heeze-Leende,30,Noord-Brabant,2020-04-09
399,9,Heiloo,27,Noord-Holland,2020-04-09
163,7,Hellendoorn,23,Overijssel,2020-04-09
530,11,Hellevoetsluis,28,Zuid-Holland,2020-04-09
794,59,Helmond,30,Noord-Brabant,2020-04-09
531,5,Hendrik-Ido-Ambacht,28,Zuid-Holland,2020-04-09
164,14,Hengelo,23,Overijssel,2020-04-09
1966,7,Het Hogeland,20,Groningen,2020-04-09
252,15,Heumen,25,Gelderland,2020-04-09
797,35,Heusden,30,Noord-Brabant,2020-04-09
534,5,Hillegom,28,Zuid-Holland,2020-04-09
798,6,Hilvarenbeek,30,Noord-Brabant,2020-04-09
402,18,Hilversum,27,Noord-Holland,2020-04-09
1963,60,Hoeksche Waard,28,Zuid-Holland,2020-04-09
1735,13,Hof van Twente,23,Overijssel,2020-04-09
1911,26,Hollands Kroon,27,Noord-Holland,2020-04-09
118,10,Hoogeveen,22,Drenthe,2020-04-09
405,22,Hoorn,27,Noord-Holland,2020-04-09
1507,38,Horst aan de Maas,31,Limburg,2020-04-09
321,17,Houten,26,Utrecht,2020-04-09
406,16,Huizen,27,Noord-Holland,2020-04-09
677,6,Hulst,29,Zeeland,2020-04-09
353,28,IJsselstein,26,Utrecht,2020-04-09
1884,5,Kaag en Braassem,28,Zuid-Holland,2020-04-09
166,47,Kampen,23,Overijssel,2020-04-09
678,1,Kapelle,29,Zeeland,2020-04-09
537,17,Katwijk,28,Zuid-Holland,2020-04-09
928,44,Kerkrade,31,Limburg,2020-04-09
1598,6,Koggenland,27,Noord-Holland,2020-04-09
542,5,Krimpen aan den IJssel,28,Zuid-Holland,2020-04-09
1931,35,Krimpenerwaard,28,Zuid-Holland,2020-04-09
1659,27,Laarbeek,30,Noord-Brabant,2020-04-09
1685,28,Landerd,30,Noord-Brabant,2020-04-09
882,34,Landgraaf,31,Limburg,2020-04-09
415,3,Landsmeer,27,Noord-Holland,2020-04-09
416,15,Langedijk,27,Noord-Holland,2020-04-09
1621,29,Lansingerland,28,Zuid-Holland,2020-04-09
417,8,Laren,27,Noord-Holland,2020-04-09
80,29,Leeuwarden,21,Friesland,2020-04-09
546,27,Leiden,28,Zuid-Holland,2020-04-09
547,8,Leiderdorp,28,Zuid-Holland,2020-04-09
1916,16,Leidschendam-Voorburg,28,Zuid-Holland,2020-04-09
995,37,Lelystad,24,Flevoland,2020-04-09
1640,51,Leudal,31,Limburg,2020-04-09
327,7,Leusden,26,Utrecht,2020-04-09
1705,22,Lingewaard,25,Gelderland,2020-04-09
553,5,Lisse,28,Zuid-Holland,2020-04-09
262,6,Lochem,25,Gelderland,2020-04-09
809,20,Loon op Zand,30,Noord-Brabant,2020-04-09
331,15,Lopik,26,Utrecht,2020-04-09
24,0,Loppersum,20,Groningen,2020-04-09
168,6,Losser,23,Overijssel,2020-04-09
263,14,Maasdriel,25,Gelderland,2020-04-09
1641,21,Maasgouw,31,Limburg,2020-04-09
556,13,Maassluis,28,Zuid-Holland,2020-04-09
935,116,Maastricht,31,Limburg,2020-04-09
420,14,Medemblik,27,Noord-Holland,2020-04-09
938,11,Meerssen,31,Limburg,2020-04-09
1948,160,Meierijstad,30,Noord-Brabant,2020-04-09
119,5,Meppel,22,Drenthe,2020-04-09
687,13,Middelburg,29,Zeeland,2020-04-09
1842,3,Midden-Delfland,28,Zuid-Holland,2020-04-09
1731,6,Midden-Drenthe,22,Drenthe,2020-04-09
1952,4,Midden-Groningen,20,Groningen,2020-04-09
815,9,Mill en Sint Hubert,30,Noord-Brabant,2020-04-09
1709,9,Moerdijk,30,Noord-Brabant,2020-04-09
1978,15,Molenlanden,28,Zuid-Holland,2020-04-09
1955,6,Montferland,25,Gelderland,2020-04-09
335,12,Montfoort,26,Utrecht,2020-04-09
944,4,Mook en Middelaar,31,Limburg,2020-04-09
1740,30,Neder-Betuwe,25,Gelderland,2020-04-09
946,25,Nederweert,31,Limburg,2020-04-09
356,29,Nieuwegein,26,Utrecht,2020-04-09
569,7,Nieuwkoop,28,Zuid-Holland,2020-04-09
267,19,Nijkerk,25,Gelderland,2020-04-09
268,100,Nijmegen,25,Gelderland,2020-04-09
1930,28,Nissewaard,28,Zuid-Holland,2020-04-09
1970,4,Noardeast-Fryslân,21,Friesland,2020-04-09
1695,1,Noord-Beveland,29,Zeeland,2020-04-09
1699,2,Noordenveld,22,Drenthe,2020-04-09
171,8,Noordoostpolder,24,Flevoland,2020-04-09
575,11,Noordwijk,28,Zuid-Holland,2020-04-09
820,12,"Nuenen, Gerwen en Nederwetten",30,Noord-Brabant,2020-04-09
302,26,Nunspeet,25,Gelderland,2020-04-09
579,5,Oegstgeest,28,Zuid-Holland,2020-04-09
823,9,Oirschot,30,Noord-Brabant,2020-04-09
