Gemeentecode,PositiefGetest,Gemeente,Provinciecode,Provincie,Datum
14,26,Groningen,20,Groningen,2020-09-11
34,17,Almere,24,Flevoland,2020-09-11
37,0,Stadskanaal,20,Groningen,2020-09-11
47,0,Veendam,20,Groningen,2020-09-11
50,2,Zeewolde,24,Flevoland,2020-09-11
59,1,Achtkarspelen,21,Friesland,2020-09-11
60,0,Ameland,21,Friesland,2020-09-11
72,0,Harlingen,21,Friesland,2020-09-11
74,1,Heerenveen,21,Friesland,2020-09-11
80,2,Leeuwarden,21,Friesland,2020-09-11
85,0,Ooststellingwerf,21,Friesland,2020-09-11
86,1,Opsterland,21,Friesland,2020-09-11
88,0,Schiermonnikoog,21,Friesland,2020-09-11
90,0,Smallingerland,21,Friesland,2020-09-11
93,0,Terschelling,21,Friesland,2020-09-11
96,0,Vlieland,21,Friesland,2020-09-11
98,0,Weststellingwerf,21,Friesland,2020-09-11
106,1,Assen,22,Drenthe,2020-09-11
109,0,Coevorden,22,Drenthe,2020-09-11
114,0,Emmen,22,Drenthe,2020-09-11
118,0,Hoogeveen,22,Drenthe,2020-09-11
119,0,Meppel,22,Drenthe,2020-09-11
141,2,Almelo,23,Overijssel,2020-09-11
147,0,Borne,23,Overijssel,2020-09-11
148,0,Dalfsen,23,Overijssel,2020-09-11
150,3,Deventer,23,Overijssel,2020-09-11
153,5,Enschede,23,Overijssel,2020-09-11
158,0,Haaksbergen,23,Overijssel,2020-09-11
160,0,Hardenberg,23,Overijssel,2020-09-11
163,0,Hellendoorn,23,Overijssel,2020-09-11
164,5,Hengelo,23,Overijssel,2020-09-11
166,4,Kampen,23,Overijssel,2020-09-11
168,1,Losser,23,Overijssel,2020-09-11
171,1,Noordoostpolder,24,Flevoland,2020-09-11
173,1,Oldenzaal,23,Overijssel,2020-09-11
175,0,Ommen,23,Overijssel,2020-09-11
177,1,Raalte,23,Overijssel,2020-09-11
180,0,Staphorst,23,Overijssel,2020-09-11
183,0,Tubbergen,23,Overijssel,2020-09-11
184,0,Urk,24,Flevoland,2020-09-11
189,5,Wierden,23,Overijssel,2020-09-11
193,4,Zwolle,23,Overijssel,2020-09-11
197,0,Aalten,25,Gelderland,2020-09-11
200,3,Apeldoorn,25,Gelderland,2020-09-11
202,5,Arnhem,25,Gelderland,2020-09-11
203,0,Barneveld,25,Gelderland,2020-09-11
209,0,Beuningen,25,Gelderland,2020-09-11
