Gemeentecode,PositiefGetest,Gemeente,Provinciecode,Provincie,Datum
14,36,Groningen,20,Groningen,2021-02-07
34,53,Almere,24,Flevoland,2021-02-07
37,7,Stadskanaal,20,Groningen,2021-02-07
47,5,Veendam,20,Groningen,2021-02-07
50,3,Zeewolde,24,Flevoland,2021-02-07
59,8,Achtkarspelen,21,Friesland,2021-02-07
60,0,Ameland,21,Friesland,2021-02-07
72,3,Harlingen,21,Friesland,2021-02-07
74,9,Heerenveen,21,Friesland,2021-02-07
80,42,Leeuwarden,21,Friesland,2021-02-07
85,6,Ooststellingwerf,21,Friesland,2021-02-07
86,15,Opsterland,21,Friesland,2021-02-07
88,0,Schiermonnikoog,21,Friesland,2021-02-07
90,17,Smallingerland,21,Friesland,2021-02-07
93,1,Terschelling,21,Friesland,2021-02-07
96,0,Vlieland,21,Friesland,2021-02-07
98,12,Weststellingwerf,21,Friesland,2021-02-07
106,11,Assen,22,Drenthe,2021-02-07
109,13,Coevorden,22,Drenthe,2021-02-07
114,28,Emmen,22,Drenthe,2021-02-07
118,17,Hoogeveen,22,Drenthe,2021-02-07
119,2,Meppel,22,Drenthe,2021-02-07
141,20,Almelo,23,Overijssel,2021-02-07
147,2,Borne,23,Overijssel,2021-02-07
148,2,Dalfsen,23,Overijssel,2021-02-07
150,10,Deventer,23,Overijssel,2021-02-07
153,33,Enschede,23,Overijssel,2021-02-07
158,3,Haaksbergen,23,Overijssel,2021-02-07
160,17,Hardenberg,23,Overijssel,2021-02-07
163,14,Hellendoorn,23,Overijssel,2021-02-07
164,19,Hengelo,23,Overijssel,2021-02-07
166,6,Kampen,23,Overijssel,2021-02-07
168,10,Losser,23,Overijssel,2021-02-07
171,1,Noordoostpolder,24,Flevoland,2021-02-07
173,4,Oldenzaal,23,Overijssel,2021-02-07
175,6,Ommen,23,Overijssel,2021-02-07
177,8,Raalte,23,Overijssel,2021-02-07
180,0,Staphorst,23,Overijssel,2021-02-07
183,4,Tubbergen,23,Overijssel,2021-02-07
184,1,Urk,24,Flevoland,2021-02-07
189,5,Wierden,23,Overijssel,2021-02-07
193,12,Zwolle,23,Overijssel,2021-02-07
197,3,Aalten,25,Gelderland,2021-02-07
200,24,Apeldoorn,25,Gelderland,2021-02-07
202,15,Arnhem,25,Gelderland,2021-02-07
203,14,Barneveld,25,Gelderland,2021-02-07
209,13,Beuningen,25,Gelderland,2021-02-07
213,3,Brummen,25,Gelderland,2021-02-07
