Gemeentecode,Opgenomen,Gemeente,Provinciecode,Provincie,Datum
505,0,Dordrecht,28,Zuid-Holland,2020-03-06
498,0,Drechterland,27,Noord-Holland,2020-03-06
1719,0,Drimmelen,30,Noord-Brabant,2020-03-06
303,0,Dronten,24,Flevoland,2020-03-06
225,0,Druten,25,Gelderland,2020-03-06
226,0,Duiven,25,Gelderland,2020-03-06
1711,0,Echt-Susteren,31,Limburg,2020-03-06
385,0,Edam-Volendam,27,Noord-Holland,2020-03-06
228,0,Ede,25,Gelderland,2020-03-06
317,0,Eemnes,26,Utrecht,2020-03-06
770,0,Eersel,30,Noord-Brabant,2020-03-06
1903,0,Eijsden-Margraten,31,Limburg,2020-03-06
772,4,Eindhoven,30,Noord-Brabant,2020-03-06
230,0,Elburg,25,Gelderland,2020-03-06
114,0,Emmen,22,Drenthe,2020-03-06
388,0,Enkhuizen,27,Noord-Holland,2020-03-06
153,0,Enschede,23,Overijssel,2020-03-06
232,0,Epe,25,Gelderland,2020-03-06
233,0,Ermelo,25,Gelderland,2020-03-06
777,0,Etten-Leur,30,Noord-Brabant,2020-03-06
779,0,Geertruidenberg,30,Noord-Brabant,2020-03-06
1771,0,Geldrop-Mierlo,30,Noord-Brabant,2020-03-06
1652,1,Gemert-Bakel,30,Noord-Brabant,2020-03-06
907,0,Gennep,31,Limburg,2020-03-06
784,0,Gilze en Rijen,30,Noord-Brabant,2020-03-06
1924,0,Goeree-Overflakkee,28,Zuid-Holland,2020-03-06
664,0,Goes,29,Zeeland,2020-03-06
785,0,Goirle,30,Noord-Brabant,2020-03-06
1942,2,Gooise Meren,27,Noord-Holland,2020-03-06
512,0,Gorinchem,28,Zuid-Holland,2020-03-06
513,0,Gouda,28,Zuid-Holland,2020-03-06
786,0,Grave,30,Noord-Brabant,2020-03-06
14,0,Groningen,20,Groningen,2020-03-06
1729,0,Gulpen-Wittem,31,Limburg,2020-03-06
158,0,Haaksbergen,23,Overijssel,2020-03-06
788,0,Haaren,30,Noord-Brabant,2020-03-06
392,1,Haarlem,27,Noord-Holland,2020-03-06
394,0,Haarlemmermeer,27,Noord-Holland,2020-03-06
1655,0,Halderberge,30,Noord-Brabant,2020-03-06
160,0,Hardenberg,23,Overijssel,2020-03-06
243,0,Harderwijk,25,Gelderland,2020-03-06
523,4,Hardinxveld-Giessendam,28,Zuid-Holland,2020-03-06
72,0,Harlingen,21,Friesland,2020-03-06
244,0,Hattem,25,Gelderland,2020-03-06
396,0,Heemskerk,27,Noord-Holland,2020-03-06
397,0,Heemstede,27,Noord-Holland,2020-03-06
246,0,Heerde,25,Gelderland,2020-03-06
74,0,Heerenveen,21,Friesland,2020-03-06
398,0,Heerhugowaard,27,Noord-Holland,2020-03-06
917,0,Heerlen,31,Limburg,2020-03-06
1658,0,Heeze-Leende,30,Noord-Brabant,2020-03-06
399,0,Heiloo,27,Noord-Holland,2020-03-06
163,0,Hellendoorn,23,Overijssel,2020-03-06
530,0,Hellevoetsluis,28,Zuid-Holland,2020-03-06
794,4,Helmond,30,Noord-Brabant,2020-03-06
531,0,Hendrik-Ido-Ambacht,28,Zuid-Holland,2020-03-06
164,0,Hengelo,23,Overijssel,2020-03-06
1966,0,Het Hogeland,20,Groningen,2020-03-06
252,0,Heumen,25,Gelderland,2020-03-06
797,0,Heusden,30,Noord-Brabant,2020-03-06
534,0,Hillegom,28,Zuid-Holland,2020-03-06
798,0,Hilvarenbeek,30,Noord-Brabant,2020-03-06
402,0,Hilversum,27,Noord-Holland,2020-03-06
1963,1,Hoeksche Waard,28,Zuid-Holland,2020-03-06
1735,0,Hof van Twente,23,Overijssel,2020-03-06
1911,0,Hollands Kroon,27,Noord-Holland,2020-03-06
118,0,Hoogeveen,22,Drenthe,2020-03-06
405,0,Hoorn,27,Noord-Holland,2020-03-06
1507,0,Horst aan de Maas,31,Limburg,2020-03-06
321,9,Houten,26,Utrecht,2020-03-06
406,0,Huizen,27,Noord-Holland,2020-03-06
677,0,Hulst,29,Zeeland,2020-03-06
353,0,IJsselstein,26,Utrecht,2020-03-06
1884,0,Kaag en Braassem,28,Zuid-Holland,2020-03-06
166,0,Kampen,23,Overijssel,2020-03-06
678,0,Kapelle,29,Zeeland,2020-03-06
537,0,Katwijk,28,Zuid-Holland,2020-03-06
928,0,Kerkrade,31,Limburg,2020-03-06
1598,0,Koggenland,27,Noord-Holland,2020-03-06
542,0,Krimpen aan den IJssel,28,Zuid-Holland,2020-03-06
1931,0,Krimpenerwaard,28,Zuid-Holland,2020-03-06
1659,0,Laarbeek,30,Noord-Brabant,2020-03-06
1685,0,Landerd,30,Noord-Brabant,2020-03-06
882,0,Landgraaf,31,Limburg,2020-03-06
415,0,Landsmeer,27,Noord-Holland,2020-03-06
416,0,Langedijk,27,Noord-Holland,2020-03-06
1621,1,Lansingerland,28,Zuid-Holland,2020-03-06
417,0,Laren,27,Noord-Holland,2020-03-06
80,0,Leeuwarden,21,Friesland,2020-03-06
546,0,Leiden,28,Zuid-Holland,2020-03-06
547,0,Leiderdorp,28,Zuid-Holland,2020-03-06
1916,0,Leidschendam-Voorburg,28,Zuid-Holland,2020-03-06
995,0,Lelystad,24,Flevoland,2020-03-06
1640,0,Leudal,31,Limburg,2020-03-06
327,0,Leusden,26,Utrecht,2020-03-06
1705,1,Lingewaard,25,Gelderland,2020-03-06
553,0,Lisse,28,Zuid-Holland,2020-03-06
262,0,Lochem,25,Gelderland,2020-03-06
809,5,Loon op Zand,30,Noord-Brabant,2020-03-06
331,0,Lopik,26,Utrecht,2020-03-06
24,0,Loppersum,20,Groningen,2020-03-06
168,0,Losser,23,Overijssel,2020-03-06
263,0,Maasdriel,25,Gelderland,2020-03-06
1641,0,Maasgouw,31,Limburg,2020-03-06
556,0,Maassluis,28,Zuid-Holland,2020-03-06
935,2,Maastricht,31,Limburg,2020-03-06
420,0,Medemblik,27,Noord-Holland,2020-03-06
938,0,Meerssen,31,Limburg,2020-03-06
1948,0,Meierijstad,30,Noord-Brabant,2020-03-06
119,0,Meppel,22,Drenthe,2020-03-06
687,0,Middelburg,29,Zeeland,2020-03-06
1842,0,Midden-Delfland,28,Zuid-Holland,2020-03-06
1731,0,Midden-Drenthe,22,Drenthe,2020-03-06
1952,0,Midden-Groningen,20,Groningen,2020-03-06
815,0,Mill en Sint Hubert,30,Noord-Brabant,2020-03-06
1709,0,Moerdijk,30,Noord-Brabant,2020-03-06
1978,0,Molenlanden,28,Zuid-Holland,2020-03-06
1955,0,Montferland,25,Gelderland,2020-03-06
335,0,Montfoort,26,Utrecht,2020-03-06
944,0,Mook en Middelaar,31,Limburg,2020-03-06
1740,0,Neder-Betuwe,25,Gelderland,2020-03-06
946,0,Nederweert,31,Limburg,2020-03-06
356,0,Nieuwegein,26,Utrecht,2020-03-06
569,0,Nieuwkoop,28,Zuid-Holland,2020-03-06
267,0,Nijkerk,25,Gelderland,2020-03-06
268,1,Nijmegen,25,Gelderland,2020-03-06
1930,0,Nissewaard,28,Zuid-Holland,2020-03-06
1970,0,Noardeast-Fryslân,21,Friesland,2020-03-06
1695,0,Noord-Beveland,29,Zeeland,2020-03-06
1699,0,Noordenveld,22,Drenthe,2020-03-06
171,0,Noordoostpolder,24,Flevoland,2020-03-06
575,0,Noordwijk,28,Zuid-Holland,2020-03-06
820,0,"Nuenen, Gerwen en Nederwetten",30,Noord-Brabant,2020-03-06
302,0,Nunspeet,25,Gelderland,2020-03-06
579,0,Oegstgeest,28,Zuid-Holland,2020-03-06
823,0,Oirschot,30,Noord-Brabant,2020-03-06
824,1,Oisterwijk,30,Noord-Brabant,2020-03-06
1895,0,Oldambt,20,Groningen,2020-03-06
269,0,Oldebroek,25,Gelderland,2020-03-06
173,0,Oldenzaal,23,Overijssel,2020-03-06
1773,0,Olst-Wijhe,23,Overijssel,2020-03-06
175,0,Ommen,23,Overijssel,2020-03-06
1586,0,Oost Gelre,25,Gelderland,2020-03-06
826,0,Oosterhout,30,Noord-Brabant,2020-03-06
85,0,Ooststellingwerf,21,Friesland,2020-03-06
431,0,Oostzaan,27,Noord-Holland,2020-03-06
432,0,Opmeer,27,Noord-Holland,2020-03-06
86,0,Opsterland,21,Friesland,2020-03-06
828,1,Oss,30,Noord-Brabant,2020-03-06
1509,0,Oude IJsselstreek,25,Gelderland,2020-03-06
437,0,Ouder-Amstel,27,Noord-Holland,2020-03-06
589,0,Oudewater,26,Utrecht,2020-03-06
1734,0,Overbetuwe,25,Gelderland,2020-03-06
590,0,Papendrecht,28,Zuid-Holland,2020-03-06
1894,0,Peel en Maas,31,Limburg,2020-03-06
765,0,Pekela,20,Groningen,2020-03-06
1926,2,Pijnacker-Nootdorp,28,Zuid-Holland,2020-03-06
439,0,Purmerend,27,Noord-Holland,2020-03-06
273,0,Putten,25,Gelderland,2020-03-06
177,0,Raalte,23,Overijssel,2020-03-06
703,0,Reimerswaal,29,Zeeland,2020-03-06
274,1,Renkum,25,Gelderland,2020-03-06
339,0,Renswoude,26,Utrecht,2020-03-06
1667,0,Reusel-De Mierden,30,Noord-Brabant,2020-03-06
275,0,Rheden,25,Gelderland,2020-03-06
340,0,Rhenen,26,Utrecht,2020-03-06
597,0,Ridderkerk,28,Zuid-Holland,2020-03-06
1742,0,Rijssen-Holten,23,Overijssel,2020-03-06
603,0,Rijswijk,28,Zuid-Holland,2020-03-06
1669,0,Roerdalen,31,Limburg,2020-03-06
957,0,Roermond,31,Limburg,2020-03-06
1674,0,Roosendaal,30,Noord-Brabant,2020-03-06
599,9,Rotterdam,28,Zuid-Holland,2020-03-06
277,0,Rozendaal,25,Gelderland,2020-03-06
840,0,Rucphen,30,Noord-Brabant,2020-03-06
441,0,Schagen,27,Noord-Holland,2020-03-06
279,0,Scherpenzeel,25,Gelderland,2020-03-06
606,0,Schiedam,28,Zuid-Holland,2020-03-06
88,0,Schiermonnikoog,21,Friesland,2020-03-06
1676,0,Schouwen-Duiveland,29,Zeeland,2020-03-06
518,2,'s-Gravenhage,28,Zuid-Holland,2020-03-06
796,0,'s-Hertogenbosch,30,Noord-Brabant,2020-03-06
965,2,Simpelveld,31,Limburg,2020-03-06
1702,0,Sint Anthonis,30,Noord-Brabant,2020-03-06
845,2,Sint-Michielsgestel,30,Noord-Brabant,2020-03-06
1883,4,Sittard-Geleen,31,Limburg,2020-03-06
610,0,Sliedrecht,28,Zuid-Holland,2020-03-06
1714,0,Sluis,29,Zeeland,2020-03-06
90,0,Smallingerland,21,Friesland,2020-03-06
342,6,Soest,26,Utrecht,2020-03-06
847,0,Someren,30,Noord-Brabant,2020-03-06
848,0,Son en Breugel,30,Noord-Brabant,2020-03-06
37,0,Stadskanaal,20,Groningen,2020-03-06
180,0,Staphorst,23,Overijssel,2020-03-06
532,0,Stede Broec,27,Noord-Holland,2020-03-06
851,0,Steenbergen,30,Noord-Brabant,2020-03-06
1708,0,Steenwijkerland,23,Overijssel,2020-03-06
971,0,Stein,31,Limburg,2020-03-06
1904,3,Stichtse Vecht,26,Utrecht,2020-03-06
1900,0,Súdwest-Fryslân,21,Friesland,2020-03-06
715,0,Terneuzen,29,Zeeland,2020-03-06
93,0,Terschelling,21,Friesland,2020-03-06
448,0,Texel,27,Noord-Holland,2020-03-06
1525,0,Teylingen,28,Zuid-Holland,2020-03-06
716,0,Tholen,29,Zeeland,2020-03-06
281,0,Tiel,25,Gelderland,2020-03-06
855,4,Tilburg,30,Noord-Brabant,2020-03-06
183,0,Tubbergen,23,Overijssel,2020-03-06
1700,0,Twenterand,23,Overijssel,2020-03-06
1730,0,Tynaarlo,22,Drenthe,2020-03-06
737,0,Tytsjerksteradiel,21,Friesland,2020-03-06
856,2,Uden,30,Noord-Brabant,2020-03-06
450,0,Uitgeest,27,Noord-Holland,2020-03-06
451,0,Uithoorn,27,Noord-Holland,2020-03-06
184,0,Urk,24,Flevoland,2020-03-06
344,8,Utrecht,26,Utrecht,2020-03-06
1581,1,Utrechtse Heuvelrug,26,Utrecht,2020-03-06
981,0,Vaals,31,Limburg,2020-03-06
994,0,Valkenburg aan de Geul,31,Limburg,2020-03-06
858,0,Valkenswaard,30,Noord-Brabant,2020-03-06
47,0,Veendam,20,Groningen,2020-03-06
345,0,Veenendaal,26,Utrecht,2020-03-06
717,0,Veere,29,Zeeland,2020-03-06
861,0,Veldhoven,30,Noord-Brabant,2020-03-06
453,0,Velsen,27,Noord-Holland,2020-03-06
983,0,Venlo,31,Limburg,2020-03-06
984,0,Venray,31,Limburg,2020-03-06
1961,0,Vijfheerenlanden,26,Utrecht,2020-03-06
622,0,Vlaardingen,28,Zuid-Holland,2020-03-06
96,0,Vlieland,21,Friesland,2020-03-06
718,0,Vlissingen,29,Zeeland,2020-03-06
986,0,Voerendaal,31,Limburg,2020-03-06
626,0,Voorschoten,28,Zuid-Holland,2020-03-06
285,0,Voorst,25,Gelderland,2020-03-06
865,0,Vught,30,Noord-Brabant,2020-03-06
1949,0,Waadhoeke,21,Friesland,2020-03-06
866,1,Waalre,30,Noord-Brabant,2020-03-06
867,1,Waalwijk,30,Noord-Brabant,2020-03-06
627,0,Waddinxveen,28,Zuid-Holland,2020-03-06
289,0,Wageningen,25,Gelderland,2020-03-06
629,0,Wassenaar,28,Zuid-Holland,2020-03-06
852,0,Waterland,27,Noord-Holland,2020-03-06
988,0,Weert,31,Limburg,2020-03-06
457,0,Weesp,27,Noord-Holland,2020-03-06
1960,1,West Betuwe,25,Gelderland,2020-03-06
668,1,West Maas en Waal,25,Gelderland,2020-03-06
1969,0,Westerkwartier,20,Groningen,2020-03-06
1701,0,Westerveld,22,Drenthe,2020-03-06
293,0,Westervoort,25,Gelderland,2020-03-06
1950,0,Westerwolde,20,Groningen,2020-03-06
1783,0,Westland,28,Zuid-Holland,2020-03-06
98,0,Weststellingwerf,21,Friesland,2020-03-06
614,1,Westvoorne,28,Zuid-Holland,2020-03-06
189,0,Wierden,23,Overijssel,2020-03-06
296,0,Wijchen,25,Gelderland,2020-03-06
1696,0,Wijdemeren,27,Noord-Holland,2020-03-06
352,1,Wijk bij Duurstede,26,Utrecht,2020-03-06
294,0,Winterswijk,25,Gelderland,2020-03-06
873,0,Woensdrecht,30,Noord-Brabant,2020-03-06
632,2,Woerden,26,Utrecht,2020-03-06
880,0,Wormerland,27,Noord-Holland,2020-03-06
351,0,Woudenberg,26,Utrecht,2020-03-06
479,0,Zaanstad,27,Noord-Holland,2020-03-06
297,1,Zaltbommel,25,Gelderland,2020-03-06
473,0,Zandvoort,27,Noord-Holland,2020-03-06
50,1,Zeewolde,24,Flevoland,2020-03-06
355,0,Zeist,26,Utrecht,2020-03-06
299,0,Zevenaar,25,Gelderland,2020-03-06
637,0,Zoetermeer,28,Zuid-Holland,2020-03-06
638,0,Zoeterwoude,28,Zuid-Holland,2020-03-06
1892,0,Zuidplas,28,Zuid-Holland,2020-03-06
879,0,Zundert,30,Noord-Brabant,2020-03-06
301,0,Zutphen,25,Gelderland,2020-03-06
1896,0,Zwartewaterland,23,Overijssel,2020-03-06
642,0,Zwijndrecht,28,Zuid-Holland,2020-03-06
193,0,Zwolle,23,Overijssel,2020-03-06
