Gemeentecode,PositiefGetest,Gemeente,Provinciecode,Provincie,Datum
14,6,Groningen,20,Groningen,2021-06-13
34,16,Almere,24,Flevoland,2021-06-13
37,1,Stadskanaal,20,Groningen,2021-06-13
47,2,Veendam,20,Groningen,2021-06-13
50,1,Zeewolde,24,Flevoland,2021-06-13
59,0,Achtkarspelen,21,Friesland,2021-06-13
60,0,Ameland,21,Friesland,2021-06-13
72,0,Harlingen,21,Friesland,2021-06-13
74,2,Heerenveen,21,Friesland,2021-06-13
80,1,Leeuwarden,21,Friesland,2021-06-13
85,1,Ooststellingwerf,21,Friesland,2021-06-13
86,1,Opsterland,21,Friesland,2021-06-13
88,0,Schiermonnikoog,21,Friesland,2021-06-13
90,0,Smallingerland,21,Friesland,2021-06-13
93,0,Terschelling,21,Friesland,2021-06-13
96,0,Vlieland,21,Friesland,2021-06-13
98,0,Weststellingwerf,21,Friesland,2021-06-13
106,6,Assen,22,Drenthe,2021-06-13
109,2,Coevorden,22,Drenthe,2021-06-13
114,9,Emmen,22,Drenthe,2021-06-13
118,0,Hoogeveen,22,Drenthe,2021-06-13
119,3,Meppel,22,Drenthe,2021-06-13
141,2,Almelo,23,Overijssel,2021-06-13
147,1,Borne,23,Overijssel,2021-06-13
148,0,Dalfsen,23,Overijssel,2021-06-13
150,4,Deventer,23,Overijssel,2021-06-13
153,13,Enschede,23,Overijssel,2021-06-13
158,0,Haaksbergen,23,Overijssel,2021-06-13
160,2,Hardenberg,23,Overijssel,2021-06-13
163,0,Hellendoorn,23,Overijssel,2021-06-13
164,5,Hengelo,23,Overijssel,2021-06-13
166,8,Kampen,23,Overijssel,2021-06-13
168,0,Losser,23,Overijssel,2021-06-13
171,2,Noordoostpolder,24,Flevoland,2021-06-13
173,2,Oldenzaal,23,Overijssel,2021-06-13
175,0,Ommen,23,Overijssel,2021-06-13
177,1,Raalte,23,Overijssel,2021-06-13
180,3,Staphorst,23,Overijssel,2021-06-13
183,1,Tubbergen,23,Overijssel,2021-06-13
184,1,Urk,24,Flevoland,2021-06-13
189,1,Wierden,23,Overijssel,2021-06-13
193,5,Zwolle,23,Overijssel,2021-06-13
197,2,Aalten,25,Gelderland,2021-06-13
200,4,Apeldoorn,25,Gelderland,2021-06-13
202,13,Arnhem,25,Gelderland,2021-06-13
203,17,Barneveld,25,Gelderland,2021-06-13
209,0,Beuningen,25,Gelderland,2021-06-13
213,0,Brummen,25,Gelderland,2021-06-13
214,1,Buren,25,Gelderland,2021-06-13
216,6,Culemborg,25,Gelderland,2021-06-13
221,0,Doesburg,25,Gelderland,2021-06-13
222,1,Doetinchem,25,Gelderland,2021-06-13
225,0,Druten,25,Gelderland,2021-06-13
226,1,Duiven,25,Gelderland,2021-06-13
228,15,Ede,25,Gelderland,2021-06-13
230,3,Elburg,25,Gelderland,2021-06-13
232,2,Epe,25,Gelderland,2021-06-13
233,1,Ermelo,25,Gelderland,2021-06-13
243,2,Harderwijk,25,Gelderland,2021-06-13
244,0,Hattem,25,Gelderland,2021-06-13
246,0,Heerde,25,Gelderland,2021-06-13
252,1,Heumen,25,Gelderland,2021-06-13
262,3,Lochem,25,Gelderland,2021-06-13
263,2,Maasdriel,25,Gelderland,2021-06-13
267,5,Nijkerk,25,Gelderland,2021-06-13
268,19,Nijmegen,25,Gelderland,2021-06-13
269,3,Oldebroek,25,Gelderland,2021-06-13
273,1,Putten,25,Gelderland,2021-06-13
274,0,Renkum,25,Gelderland,2021-06-13
275,2,Rheden,25,Gelderland,2021-06-13
277,0,Rozendaal,25,Gelderland,2021-06-13
279,0,Scherpenzeel,25,Gelderland,2021-06-13
281,10,Tiel,25,Gelderland,2021-06-13
285,0,Voorst,25,Gelderland,2021-06-13
289,9,Wageningen,25,Gelderland,2021-06-13
293,2,Westervoort,25,Gelderland,2021-06-13
294,0,Winterswijk,25,Gelderland,2021-06-13
296,5,Wijchen,25,Gelderland,2021-06-13
297,3,Zaltbommel,25,Gelderland,2021-06-13
299,0,Zevenaar,25,Gelderland,2021-06-13
301,0,Zutphen,25,Gelderland,2021-06-13
302,0,Nunspeet,25,Gelderland,2021-06-13
303,1,Dronten,24,Flevoland,2021-06-13
307,12,Amersfoort,26,Utrecht,2021-06-13
308,0,Baarn,26,Utrecht,2021-06-13
310,2,De Bilt,26,Utrecht,2021-06-13
312,1,Bunnik,26,Utrecht,2021-06-13
313,4,Bunschoten,26,Utrecht,2021-06-13
317,0,Eemnes,26,Utrecht,2021-06-13
321,2,Houten,26,Utrecht,2021-06-13
327,1,Leusden,26,Utrecht,2021-06-13
331,0,Lopik,26,Utrecht,2021-06-13
335,1,Montfoort,26,Utrecht,2021-06-13
339,0,Renswoude,26,Utrecht,2021-06-13
340,0,Rhenen,26,Utrecht,2021-06-13
342,0,Soest,26,Utrecht,2021-06-13
344,17,Utrecht,26,Utrecht,2021-06-13
