Gemeentecode,Opgenomen,Gemeente,Provinciecode,Provincie,Datum
-1,305,,-1,,2020-03-29
796,131,'s-Hertogenbosch,30,Noord-Brabant,2020-03-29
1680,4,Aa en Hunze,22,Drenthe,2020-03-29
358,17,Aalsmeer,27,Noord-Holland,2020-03-29
197,5,Aalten,25,Gelderland,2020-03-29
59,2,Achtkarspelen,21,Friesland,2020-03-29
482,7,Alblasserdam,28,Zuid-Holland,2020-03-29
613,24,Albrandswaard,28,Zuid-Holland,2020-03-29
361,45,Alkmaar,27,Noord-Holland,2020-03-29
141,19,Almelo,23,Overijssel,2020-03-29
34,57,Almere,24,Flevoland,2020-03-29
484,41,Alphen aan den Rijn,28,Zuid-Holland,2020-03-29
1723,24,Alphen-Chaam,30,Noord-Brabant,2020-03-29
1959,41,Altena,30,Noord-Brabant,2020-03-29
60,0,Ameland,21,Friesland,2020-03-29
307,68,Amersfoort,26,Utrecht,2020-03-29
362,75,Amstelveen,27,Noord-Holland,2020-03-29
363,530,Amsterdam,27,Noord-Holland,2020-03-29
200,53,Apeldoorn,25,Gelderland,2020-03-29
3,1,Appingedam,20,Groningen,2020-03-29
202,59,Arnhem,25,Gelderland,2020-03-29
106,12,Assen,22,Drenthe,2020-03-29
743,15,Asten,30,Noord-Brabant,2020-03-29
744,3,Baarle-Nassau,30,Noord-Brabant,2020-03-29
308,7,Baarn,26,Utrecht,2020-03-29
489,29,Barendrecht,28,Zuid-Holland,2020-03-29
203,20,Barneveld,25,Gelderland,2020-03-29
888,15,Beek,31,Limburg,2020-03-29
1954,39,Beekdaelen,31,Limburg,2020-03-29
370,4,Beemster,27,Noord-Holland,2020-03-29
889,15,Beesel,31,Limburg,2020-03-29
1945,64,Berg en Dal,25,Gelderland,2020-03-29
1724,14,Bergeijk,30,Noord-Brabant,2020-03-29
893,2,Bergen (L.),31,Limburg,2020-03-29
373,22,Bergen (NH.),27,Noord-Holland,2020-03-29
748,17,Bergen op Zoom,30,Noord-Brabant,2020-03-29
1859,5,Berkelland,25,Gelderland,2020-03-29
1721,104,Bernheze,30,Noord-Brabant,2020-03-29
753,25,Best,30,Noord-Brabant,2020-03-29
209,23,Beuningen,25,Gelderland,2020-03-29
375,20,Beverwijk,27,Noord-Holland,2020-03-29
1728,18,Bladel,30,Noord-Brabant,2020-03-29
376,6,Blaricum,27,Noord-Holland,2020-03-29
377,19,Bloemendaal,27,Noord-Holland,2020-03-29
1901,11,Bodegraven-Reeuwijk,28,Zuid-Holland,2020-03-29
755,59,Boekel,30,Noord-Brabant,2020-03-29
1681,2,Borger-Odoorn,22,Drenthe,2020-03-29
147,19,Borne,23,Overijssel,2020-03-29
654,7,Borsele,29,Zeeland,2020-03-29
756,19,Boxmeer,30,Noord-Brabant,2020-03-29
757,24,Boxtel,30,Noord-Brabant,2020-03-29
758,237,Breda,30,Noord-Brabant,2020-03-29
501,11,Brielle,28,Zuid-Holland,2020-03-29
1876,11,Bronckhorst,25,Gelderland,2020-03-29
213,8,Brummen,25,Gelderland,2020-03-29
899,26,Brunssum,31,Limburg,2020-03-29
312,10,Bunnik,26,Utrecht,2020-03-29
313,4,Bunschoten,26,Utrecht,2020-03-29
214,8,Buren,25,Gelderland,2020-03-29
502,42,Capelle aan den IJssel,28,Zuid-Holland,2020-03-29
383,20,Castricum,27,Noord-Holland,2020-03-29
109,20,Coevorden,22,Drenthe,2020-03-29
1706,55,Cranendonck,30,Noord-Brabant,2020-03-29
1684,10,Cuijk,30,Noord-Brabant,2020-03-29
216,18,Culemborg,25,Gelderland,2020-03-29
148,16,Dalfsen,23,Overijssel,2020-03-29
1891,3,Dantumadiel,21,Friesland,2020-03-29
310,39,De Bilt,26,Utrecht,2020-03-29
1940,21,De Fryske Marren,21,Friesland,2020-03-29
736,19,De Ronde Venen,26,Utrecht,2020-03-29
1690,7,De Wolden,22,Drenthe,2020-03-29
503,32,Delft,28,Zuid-Holland,2020-03-29
10,7,Delfzijl,20,Groningen,2020-03-29
400,11,Den Helder,27,Noord-Holland,2020-03-29
762,53,Deurne,30,Noord-Brabant,2020-03-29
150,46,Deventer,23,Overijssel,2020-03-29
384,8,Diemen,27,Noord-Holland,2020-03-29
1774,32,Dinkelland,23,Overijssel,2020-03-29
221,6,Doesburg,25,Gelderland,2020-03-29
222,23,Doetinchem,25,Gelderland,2020-03-29
766,18,Dongen,30,Noord-Brabant,2020-03-29
505,42,Dordrecht,28,Zuid-Holland,2020-03-29
498,5,Drechterland,27,Noord-Holland,2020-03-29
1719,30,Drimmelen,30,Noord-Brabant,2020-03-29
303,13,Dronten,24,Flevoland,2020-03-29
225,16,Druten,25,Gelderland,2020-03-29
226,6,Duiven,25,Gelderland,2020-03-29
1711,29,Echt-Susteren,31,Limburg,2020-03-29
385,14,Edam-Volendam,27,Noord-Holland,2020-03-29
228,49,Ede,25,Gelderland,2020-03-29
317,1,Eemnes,26,Utrecht,2020-03-29
770,20,Eersel,30,Noord-Brabant,2020-03-29
1903,48,Eijsden-Margraten,31,Limburg,2020-03-29
772,139,Eindhoven,30,Noord-Brabant,2020-03-29
230,16,Elburg,25,Gelderland,2020-03-29
114,14,Emmen,22,Drenthe,2020-03-29
388,17,Enkhuizen,27,Noord-Holland,2020-03-29
153,55,Enschede,23,Overijssel,2020-03-29
232,29,Epe,25,Gelderland,2020-03-29
233,20,Ermelo,25,Gelderland,2020-03-29
777,51,Etten-Leur,30,Noord-Brabant,2020-03-29
779,12,Geertruidenberg,30,Noord-Brabant,2020-03-29
1771,24,Geldrop-Mierlo,30,Noord-Brabant,2020-03-29
1652,90,Gemert-Bakel,30,Noord-Brabant,2020-03-29
907,14,Gennep,31,Limburg,2020-03-29
784,27,Gilze en Rijen,30,Noord-Brabant,2020-03-29
1924,102,Goeree-Overflakkee,28,Zuid-Holland,2020-03-29
664,16,Goes,29,Zeeland,2020-03-29
785,34,Goirle,30,Noord-Brabant,2020-03-29
1942,25,Gooise Meren,27,Noord-Holland,2020-03-29
512,17,Gorinchem,28,Zuid-Holland,2020-03-29
513,37,Gouda,28,Zuid-Holland,2020-03-29
786,22,Grave,30,Noord-Brabant,2020-03-29
14,87,Groningen,20,Groningen,2020-03-29
1729,10,Gulpen-Wittem,31,Limburg,2020-03-29
158,10,Haaksbergen,23,Overijssel,2020-03-29
788,22,Haaren,30,Noord-Brabant,2020-03-29
392,81,Haarlem,27,Noord-Holland,2020-03-29
394,53,Haarlemmermeer,27,Noord-Holland,2020-03-29
1655,13,Halderberge,30,Noord-Brabant,2020-03-29
160,20,Hardenberg,23,Overijssel,2020-03-29
243,22,Harderwijk,25,Gelderland,2020-03-29
523,7,Hardinxveld-Giessendam,28,Zuid-Holland,2020-03-29
72,4,Harlingen,21,Friesland,2020-03-29
244,10,Hattem,25,Gelderland,2020-03-29
396,22,Heemskerk,27,Noord-Holland,2020-03-29
397,27,Heemstede,27,Noord-Holland,2020-03-29
246,34,Heerde,25,Gelderland,2020-03-29
74,8,Heerenveen,21,Friesland,2020-03-29
398,27,Heerhugowaard,27,Noord-Holland,2020-03-29
917,78,Heerlen,31,Limburg,2020-03-29
1658,16,Heeze-Leende,30,Noord-Brabant,2020-03-29
399,16,Heiloo,27,Noord-Holland,2020-03-29
163,12,Hellendoorn,23,Overijssel,2020-03-29
530,15,Hellevoetsluis,28,Zuid-Holland,2020-03-29
794,100,Helmond,30,Noord-Brabant,2020-03-29
531,6,Hendrik-Ido-Ambacht,28,Zuid-Holland,2020-03-29
164,32,Hengelo,23,Overijssel,2020-03-29
1966,9,Het Hogeland,20,Groningen,2020-03-29
252,19,Heumen,25,Gelderland,2020-03-29
797,44,Heusden,30,Noord-Brabant,2020-03-29
534,5,Hillegom,28,Zuid-Holland,2020-03-29
798,13,Hilvarenbeek,30,Noord-Brabant,2020-03-29
402,24,Hilversum,27,Noord-Holland,2020-03-29
1963,60,Hoeksche Waard,28,Zuid-Holland,2020-03-29
1735,17,Hof van Twente,23,Overijssel,2020-03-29
1911,23,Hollands Kroon,27,Noord-Holland,2020-03-29
118,12,Hoogeveen,22,Drenthe,2020-03-29
405,22,Hoorn,27,Noord-Holland,2020-03-29
1507,32,Horst aan de Maas,31,Limburg,2020-03-29
321,56,Houten,26,Utrecht,2020-03-29
406,13,Huizen,27,Noord-Holland,2020-03-29
677,3,Hulst,29,Zeeland,2020-03-29
