Gemeentecode,PositiefGetest,Gemeente,Provinciecode,Provincie,Datum
14,6,Groningen,20,Groningen,2021-09-09
34,32,Almere,24,Flevoland,2021-09-09
37,1,Stadskanaal,20,Groningen,2021-09-09
47,4,Veendam,20,Groningen,2021-09-09
50,3,Zeewolde,24,Flevoland,2021-09-09
59,5,Achtkarspelen,21,Friesland,2021-09-09
60,0,Ameland,21,Friesland,2021-09-09
72,2,Harlingen,21,Friesland,2021-09-09
74,27,Heerenveen,21,Friesland,2021-09-09
80,33,Leeuwarden,21,Friesland,2021-09-09
85,0,Ooststellingwerf,21,Friesland,2021-09-09
86,3,Opsterland,21,Friesland,2021-09-09
88,0,Schiermonnikoog,21,Friesland,2021-09-09
90,18,Smallingerland,21,Friesland,2021-09-09
93,1,Terschelling,21,Friesland,2021-09-09
96,0,Vlieland,21,Friesland,2021-09-09
98,2,Weststellingwerf,21,Friesland,2021-09-09
106,6,Assen,22,Drenthe,2021-09-09
109,8,Coevorden,22,Drenthe,2021-09-09
114,22,Emmen,22,Drenthe,2021-09-09
118,4,Hoogeveen,22,Drenthe,2021-09-09
119,0,Meppel,22,Drenthe,2021-09-09
141,13,Almelo,23,Overijssel,2021-09-09
147,6,Borne,23,Overijssel,2021-09-09
148,0,Dalfsen,23,Overijssel,2021-09-09
150,14,Deventer,23,Overijssel,2021-09-09
153,29,Enschede,23,Overijssel,2021-09-09
158,2,Haaksbergen,23,Overijssel,2021-09-09
160,23,Hardenberg,23,Overijssel,2021-09-09
163,2,Hellendoorn,23,Overijssel,2021-09-09
164,14,Hengelo,23,Overijssel,2021-09-09
166,16,Kampen,23,Overijssel,2021-09-09
168,4,Losser,23,Overijssel,2021-09-09
171,12,Noordoostpolder,24,Flevoland,2021-09-09
173,3,Oldenzaal,23,Overijssel,2021-09-09
175,2,Ommen,23,Overijssel,2021-09-09
177,4,Raalte,23,Overijssel,2021-09-09
180,1,Staphorst,23,Overijssel,2021-09-09
183,0,Tubbergen,23,Overijssel,2021-09-09
184,2,Urk,24,Flevoland,2021-09-09
189,1,Wierden,23,Overijssel,2021-09-09
193,19,Zwolle,23,Overijssel,2021-09-09
197,2,Aalten,25,Gelderland,2021-09-09
200,18,Apeldoorn,25,Gelderland,2021-09-09
202,13,Arnhem,25,Gelderland,2021-09-09
203,8,Barneveld,25,Gelderland,2021-09-09
209,1,Beuningen,25,Gelderland,2021-09-09
213,0,Brummen,25,Gelderland,2021-09-09
214,3,Buren,25,Gelderland,2021-09-09
216,3,Culemborg,25,Gelderland,2021-09-09
221,2,Doesburg,25,Gelderland,2021-09-09
222,10,Doetinchem,25,Gelderland,2021-09-09
225,1,Druten,25,Gelderland,2021-09-09
226,1,Duiven,25,Gelderland,2021-09-09
228,15,Ede,25,Gelderland,2021-09-09
230,4,Elburg,25,Gelderland,2021-09-09
232,3,Epe,25,Gelderland,2021-09-09
233,1,Ermelo,25,Gelderland,2021-09-09
243,9,Harderwijk,25,Gelderland,2021-09-09
244,1,Hattem,25,Gelderland,2021-09-09
246,0,Heerde,25,Gelderland,2021-09-09
252,1,Heumen,25,Gelderland,2021-09-09
262,4,Lochem,25,Gelderland,2021-09-09
263,1,Maasdriel,25,Gelderland,2021-09-09
267,6,Nijkerk,25,Gelderland,2021-09-09
268,22,Nijmegen,25,Gelderland,2021-09-09
269,3,Oldebroek,25,Gelderland,2021-09-09
273,1,Putten,25,Gelderland,2021-09-09
274,1,Renkum,25,Gelderland,2021-09-09
275,3,Rheden,25,Gelderland,2021-09-09
277,0,Rozendaal,25,Gelderland,2021-09-09
279,3,Scherpenzeel,25,Gelderland,2021-09-09
281,4,Tiel,25,Gelderland,2021-09-09
285,2,Voorst,25,Gelderland,2021-09-09
289,6,Wageningen,25,Gelderland,2021-09-09
293,1,Westervoort,25,Gelderland,2021-09-09
294,3,Winterswijk,25,Gelderland,2021-09-09
296,3,Wijchen,25,Gelderland,2021-09-09
297,2,Zaltbommel,25,Gelderland,2021-09-09
299,3,Zevenaar,25,Gelderland,2021-09-09
301,6,Zutphen,25,Gelderland,2021-09-09
302,31,Nunspeet,25,Gelderland,2021-09-09
303,0,Dronten,24,Flevoland,2021-09-09
307,30,Amersfoort,26,Utrecht,2021-09-09
308,3,Baarn,26,Utrecht,2021-09-09
310,2,De Bilt,26,Utrecht,2021-09-09
312,0,Bunnik,26,Utrecht,2021-09-09
313,2,Bunschoten,26,Utrecht,2021-09-09
317,0,Eemnes,26,Utrecht,2021-09-09
321,10,Houten,26,Utrecht,2021-09-09
327,2,Leusden,26,Utrecht,2021-09-09
331,0,Lopik,26,Utrecht,2021-09-09
335,2,Montfoort,26,Utrecht,2021-09-09
339,4,Renswoude,26,Utrecht,2021-09-09
340,1,Rhenen,26,Utrecht,2021-09-09
342,6,Soest,26,Utrecht,2021-09-09
344,73,Utrecht,26,Utrecht,2021-09-09
345,5,Veenendaal,26,Utrecht,2021-09-09
351,2,Woudenberg,26,Utrecht,2021-09-09
352,2,Wijk bij Duurstede,26,Utrecht,2021-09-09
353,0,IJsselstein,26,Utrecht,2021-09-09
355,16,Zeist,26,Utrecht,2021-09-09
356,8,Nieuwegein,26,Utrecht,2021-09-09
358,3,Aalsmeer,27,Noord-Holland,2021-09-09
361,7,Alkmaar,27,Noord-Holland,2021-09-09
362,16,Amstelveen,27,Noord-Holland,2021-09-09
363,114,Amsterdam,27,Noord-Holland,2021-09-09
363,104,Amsterdam,27,Noord-Holland,2021-09-09
370,0,Beemster,27,Noord-Holland,2021-09-09
373,2,Bergen (NH.),27,Noord-Holland,2021-09-09
