Gemeentecode,PositiefGetest,Gemeente,Provinciecode,Provincie,Datum
14,30,Groningen,20,Groningen,2020-11-07
34,82,Almere,24,Flevoland,2020-11-07
37,13,Stadskanaal,20,Groningen,2020-11-07
47,3,Veendam,20,Groningen,2020-11-07
50,7,Zeewolde,24,Flevoland,2020-11-07
59,0,Achtkarspelen,21,Friesland,2020-11-07
60,0,Ameland,21,Friesland,2020-11-07
72,0,Harlingen,21,Friesland,2020-11-07
74,8,Heerenveen,21,Friesland,2020-11-07
80,10,Leeuwarden,21,Friesland,2020-11-07
85,5,Ooststellingwerf,21,Friesland,2020-11-07
86,2,Opsterland,21,Friesland,2020-11-07
88,0,Schiermonnikoog,21,Friesland,2020-11-07
90,3,Smallingerland,21,Friesland,2020-11-07
93,0,Terschelling,21,Friesland,2020-11-07
96,1,Vlieland,21,Friesland,2020-11-07
98,5,Weststellingwerf,21,Friesland,2020-11-07
106,8,Assen,22,Drenthe,2020-11-07
109,15,Coevorden,22,Drenthe,2020-11-07
114,38,Emmen,22,Drenthe,2020-11-07
118,10,Hoogeveen,22,Drenthe,2020-11-07
119,9,Meppel,22,Drenthe,2020-11-07
141,43,Almelo,23,Overijssel,2020-11-07
147,9,Borne,23,Overijssel,2020-11-07
148,18,Dalfsen,23,Overijssel,2020-11-07
150,25,Deventer,23,Overijssel,2020-11-07
153,84,Enschede,23,Overijssel,2020-11-07
158,10,Haaksbergen,23,Overijssel,2020-11-07
160,17,Hardenberg,23,Overijssel,2020-11-07
163,16,Hellendoorn,23,Overijssel,2020-11-07
164,37,Hengelo,23,Overijssel,2020-11-07
166,8,Kampen,23,Overijssel,2020-11-07
168,11,Losser,23,Overijssel,2020-11-07
171,9,Noordoostpolder,24,Flevoland,2020-11-07
173,8,Oldenzaal,23,Overijssel,2020-11-07
175,3,Ommen,23,Overijssel,2020-11-07
177,21,Raalte,23,Overijssel,2020-11-07
180,6,Staphorst,23,Overijssel,2020-11-07
183,12,Tubbergen,23,Overijssel,2020-11-07
184,20,Urk,24,Flevoland,2020-11-07
189,16,Wierden,23,Overijssel,2020-11-07
193,29,Zwolle,23,Overijssel,2020-11-07
197,11,Aalten,25,Gelderland,2020-11-07
200,42,Apeldoorn,25,Gelderland,2020-11-07
202,59,Arnhem,25,Gelderland,2020-11-07
203,20,Barneveld,25,Gelderland,2020-11-07
209,6,Beuningen,25,Gelderland,2020-11-07
213,5,Brummen,25,Gelderland,2020-11-07
214,11,Buren,25,Gelderland,2020-11-07
216,8,Culemborg,25,Gelderland,2020-11-07
221,4,Doesburg,25,Gelderland,2020-11-07
222,13,Doetinchem,25,Gelderland,2020-11-07
225,9,Druten,25,Gelderland,2020-11-07
226,11,Duiven,25,Gelderland,2020-11-07
228,33,Ede,25,Gelderland,2020-11-07
230,6,Elburg,25,Gelderland,2020-11-07
232,9,Epe,25,Gelderland,2020-11-07
233,6,Ermelo,25,Gelderland,2020-11-07
243,10,Harderwijk,25,Gelderland,2020-11-07
244,3,Hattem,25,Gelderland,2020-11-07
246,2,Heerde,25,Gelderland,2020-11-07
252,3,Heumen,25,Gelderland,2020-11-07
262,6,Lochem,25,Gelderland,2020-11-07
263,20,Maasdriel,25,Gelderland,2020-11-07
267,16,Nijkerk,25,Gelderland,2020-11-07
268,57,Nijmegen,25,Gelderland,2020-11-07
269,5,Oldebroek,25,Gelderland,2020-11-07
273,12,Putten,25,Gelderland,2020-11-07
274,12,Renkum,25,Gelderland,2020-11-07
275,12,Rheden,25,Gelderland,2020-11-07
277,0,Rozendaal,25,Gelderland,2020-11-07
279,1,Scherpenzeel,25,Gelderland,2020-11-07
281,23,Tiel,25,Gelderland,2020-11-07
285,5,Voorst,25,Gelderland,2020-11-07
289,9,Wageningen,25,Gelderland,2020-11-07
293,5,Westervoort,25,Gelderland,2020-11-07
294,12,Winterswijk,25,Gelderland,2020-11-07
296,13,Wijchen,25,Gelderland,2020-11-07
297,22,Zaltbommel,25,Gelderland,2020-11-07
299,14,Zevenaar,25,Gelderland,2020-11-07
301,13,Zutphen,25,Gelderland,2020-11-07
302,6,Nunspeet,25,Gelderland,2020-11-07
303,4,Dronten,24,Flevoland,2020-11-07
307,38,Amersfoort,26,Utrecht,2020-11-07
308,5,Baarn,26,Utrecht,2020-11-07
310,11,De Bilt,26,Utrecht,2020-11-07
312,5,Bunnik,26,Utrecht,2020-11-07
313,12,Bunschoten,26,Utrecht,2020-11-07
317,3,Eemnes,26,Utrecht,2020-11-07
321,11,Houten,26,Utrecht,2020-11-07
327,5,Leusden,26,Utrecht,2020-11-07
331,6,Lopik,26,Utrecht,2020-11-07
335,5,Montfoort,26,Utrecht,2020-11-07
339,0,Renswoude,26,Utrecht,2020-11-07
340,6,Rhenen,26,Utrecht,2020-11-07
342,9,Soest,26,Utrecht,2020-11-07
344,130,Utrecht,26,Utrecht,2020-11-07
345,30,Veenendaal,26,Utrecht,2020-11-07
351,4,Woudenberg,26,Utrecht,2020-11-07
352,4,Wijk bij Duurstede,26,Utrecht,2020-11-07
353,16,IJsselstein,26,Utrecht,2020-11-07
355,14,Zeist,26,Utrecht,2020-11-07
356,17,Nieuwegein,26,Utrecht,2020-11-07
358,29,Aalsmeer,27,Noord-Holland,2020-11-07
361,43,Alkmaar,27,Noord-Holland,2020-11-07
362,25,Amstelveen,27,Noord-Holland,2020-11-07
363,199,Amsterdam,27,Noord-Holland,2020-11-07
363,180,Amsterdam,27,Noord-Holland,2020-11-07
370,7,Beemster,27,Noord-Holland,2020-11-07
373,9,Bergen (NH.),27,Noord-Holland,2020-11-07
375,17,Beverwijk,27,Noord-Holland,2020-11-07
376,4,Blaricum,27,Noord-Holland,2020-11-07
377,5,Bloemendaal,27,Noord-Holland,2020-11-07
383,14,Castricum,27,Noord-Holland,2020-11-07
384,23,Diemen,27,Noord-Holland,2020-11-07
385,24,Edam-Volendam,27,Noord-Holland,2020-11-07
