Gemeentecode,PositiefGetest,Gemeente,Provinciecode,Provincie,Datum
14,7321,Groningen,20,Groningen,2021-01-18
34,12313,Almere,24,Flevoland,2021-01-18
37,1430,Stadskanaal,20,Groningen,2021-01-18
47,934,Veendam,20,Groningen,2021-01-18
50,1003,Zeewolde,24,Flevoland,2021-01-18
59,950,Achtkarspelen,21,Friesland,2021-01-18
60,133,Ameland,21,Friesland,2021-01-18
72,273,Harlingen,21,Friesland,2021-01-18
74,1236,Heerenveen,21,Friesland,2021-01-18
80,3465,Leeuwarden,21,Friesland,2021-01-18
85,605,Ooststellingwerf,21,Friesland,2021-01-18
86,700,Opsterland,21,Friesland,2021-01-18
88,8,Schiermonnikoog,21,Friesland,2021-01-18
90,1421,Smallingerland,21,Friesland,2021-01-18
93,156,Terschelling,21,Friesland,2021-01-18
96,27,Vlieland,21,Friesland,2021-01-18
98,691,Weststellingwerf,21,Friesland,2021-01-18
106,1776,Assen,22,Drenthe,2021-01-18
109,1447,Coevorden,22,Drenthe,2021-01-18
114,4342,Emmen,22,Drenthe,2021-01-18
118,2654,Hoogeveen,22,Drenthe,2021-01-18
119,1242,Meppel,22,Drenthe,2021-01-18
141,4757,Almelo,23,Overijssel,2021-01-18
147,1545,Borne,23,Overijssel,2021-01-18
148,1314,Dalfsen,23,Overijssel,2021-01-18
150,4875,Deventer,23,Overijssel,2021-01-18
153,8669,Enschede,23,Overijssel,2021-01-18
158,1907,Haaksbergen,23,Overijssel,2021-01-18
160,3261,Hardenberg,23,Overijssel,2021-01-18
163,2450,Hellendoorn,23,Overijssel,2021-01-18
164,4802,Hengelo,23,Overijssel,2021-01-18
166,2053,Kampen,23,Overijssel,2021-01-18
168,1746,Losser,23,Overijssel,2021-01-18
171,2159,Noordoostpolder,24,Flevoland,2021-01-18
173,2117,Oldenzaal,23,Overijssel,2021-01-18
175,777,Ommen,23,Overijssel,2021-01-18
177,2146,Raalte,23,Overijssel,2021-01-18
180,1355,Staphorst,23,Overijssel,2021-01-18
183,1845,Tubbergen,23,Overijssel,2021-01-18
184,1822,Urk,24,Flevoland,2021-01-18
189,2112,Wierden,23,Overijssel,2021-01-18
193,4285,Zwolle,23,Overijssel,2021-01-18
197,1235,Aalten,25,Gelderland,2021-01-18
200,6659,Apeldoorn,25,Gelderland,2021-01-18
202,7779,Arnhem,25,Gelderland,2021-01-18
203,4962,Barneveld,25,Gelderland,2021-01-18
209,1200,Beuningen,25,Gelderland,2021-01-18
213,801,Brummen,25,Gelderland,2021-01-18
214,1344,Buren,25,Gelderland,2021-01-18
216,1556,Culemborg,25,Gelderland,2021-01-18
221,466,Doesburg,25,Gelderland,2021-01-18
222,2497,Doetinchem,25,Gelderland,2021-01-18
225,977,Druten,25,Gelderland,2021-01-18
226,1263,Duiven,25,Gelderland,2021-01-18
228,7474,Ede,25,Gelderland,2021-01-18
230,1152,Elburg,25,Gelderland,2021-01-18
232,1432,Epe,25,Gelderland,2021-01-18
233,1587,Ermelo,25,Gelderland,2021-01-18
243,2484,Harderwijk,25,Gelderland,2021-01-18
244,468,Hattem,25,Gelderland,2021-01-18
246,698,Heerde,25,Gelderland,2021-01-18
252,840,Heumen,25,Gelderland,2021-01-18
262,1230,Lochem,25,Gelderland,2021-01-18
263,1427,Maasdriel,25,Gelderland,2021-01-18
267,2924,Nijkerk,25,Gelderland,2021-01-18
268,8480,Nijmegen,25,Gelderland,2021-01-18
269,1194,Oldebroek,25,Gelderland,2021-01-18
273,1580,Putten,25,Gelderland,2021-01-18
274,1265,Renkum,25,Gelderland,2021-01-18
275,2097,Rheden,25,Gelderland,2021-01-18
277,67,Rozendaal,25,Gelderland,2021-01-18
279,685,Scherpenzeel,25,Gelderland,2021-01-18
281,2267,Tiel,25,Gelderland,2021-01-18
285,1034,Voorst,25,Gelderland,2021-01-18
289,1733,Wageningen,25,Gelderland,2021-01-18
293,688,Westervoort,25,Gelderland,2021-01-18
294,1153,Winterswijk,25,Gelderland,2021-01-18
296,2247,Wijchen,25,Gelderland,2021-01-18
297,2036,Zaltbommel,25,Gelderland,2021-01-18
299,1737,Zevenaar,25,Gelderland,2021-01-18
301,1675,Zutphen,25,Gelderland,2021-01-18
302,1287,Nunspeet,25,Gelderland,2021-01-18
303,1818,Dronten,24,Flevoland,2021-01-18
307,8554,Amersfoort,26,Utrecht,2021-01-18
308,1256,Baarn,26,Utrecht,2021-01-18
310,2209,De Bilt,26,Utrecht,2021-01-18
312,689,Bunnik,26,Utrecht,2021-01-18
313,2722,Bunschoten,26,Utrecht,2021-01-18
317,519,Eemnes,26,Utrecht,2021-01-18
321,2412,Houten,26,Utrecht,2021-01-18
327,1394,Leusden,26,Utrecht,2021-01-18
331,807,Lopik,26,Utrecht,2021-01-18
335,783,Montfoort,26,Utrecht,2021-01-18
339,371,Renswoude,26,Utrecht,2021-01-18
340,1472,Rhenen,26,Utrecht,2021-01-18
342,2498,Soest,26,Utrecht,2021-01-18
344,19530,Utrecht,26,Utrecht,2021-01-18
345,5200,Veenendaal,26,Utrecht,2021-01-18
351,965,Woudenberg,26,Utrecht,2021-01-18
352,1021,Wijk bij Duurstede,26,Utrecht,2021-01-18
353,1674,IJsselstein,26,Utrecht,2021-01-18
355,3075,Zeist,26,Utrecht,2021-01-18
356,2852,Nieuwegein,26,Utrecht,2021-01-18
358,1629,Aalsmeer,27,Noord-Holland,2021-01-18
361,4791,Alkmaar,27,Noord-Holland,2021-01-18
362,4360,Amstelveen,27,Noord-Holland,2021-01-18
363,55807,Amsterdam,27,Noord-Holland,2021-01-18
370,381,Beemster,27,Noord-Holland,2021-01-18
373,1337,Bergen (NH.),27,Noord-Holland,2021-01-18
375,2011,Beverwijk,27,Noord-Holland,2021-01-18
376,552,Blaricum,27,Noord-Holland,2021-01-18
377,929,Bloemendaal,27,Noord-Holland,2021-01-18
383,1528,Castricum,27,Noord-Holland,2021-01-18
384,1971,Diemen,27,Noord-Holland,2021-01-18
385,2056,Edam-Volendam,27,Noord-Holland,2021-01-18
388,1190,Enkhuizen,27,Noord-Holland,2021-01-18
392,7295,Haarlem,27,Noord-Holland,2021-01-18
394,7868,Haarlemmermeer,27,Noord-Holland,2021-01-18
396,2000,Heemskerk,27,Noord-Holland,2021-01-18
397,1119,Heemstede,27,Noord-Holland,2021-01-18
398,2735,Heerhugowaard,27,Noord-Holland,2021-01-18
399,948,Heiloo,27,Noord-Holland,2021-01-18
400,2159,Den Helder,27,Noord-Holland,2021-01-18
402,3888,Hilversum,27,Noord-Holland,2021-01-18
405,3948,Hoorn,27,Noord-Holland,2021-01-18
406,2525,Huizen,27,Noord-Holland,2021-01-18
415,615,Landsmeer,27,Noord-Holland,2021-01-18
416,1377,Langedijk,27,Noord-Holland,2021-01-18
417,590,Laren,27,Noord-Holland,2021-01-18
420,2671,Medemblik,27,Noord-Holland,2021-01-18
431,609,Oostzaan,27,Noord-Holland,2021-01-18
432,609,Opmeer,27,Noord-Holland,2021-01-18
437,809,Ouder-Amstel,27,Noord-Holland,2021-01-18
439,3680,Purmerend,27,Noord-Holland,2021-01-18
441,2249,Schagen,27,Noord-Holland,2021-01-18
448,297,Texel,27,Noord-Holland,2021-01-18
450,790,Uitgeest,27,Noord-Holland,2021-01-18
451,1389,Uithoorn,27,Noord-Holland,2021-01-18
453,3580,Velsen,27,Noord-Holland,2021-01-18
457,1296,Weesp,27,Noord-Holland,2021-01-18
473,765,Zandvoort,27,Noord-Holland,2021-01-18
479,9039,Zaanstad,27,Noord-Holland,2021-01-18
482,1477,Alblasserdam,28,Zuid-Holland,2021-01-18
484,6692,Alphen aan den Rijn,28,Zuid-Holland,2021-01-18
489,3009,Barendrecht,28,Zuid-Holland,2021-01-18
498,1177,Drechterland,27,Noord-Holland,2021-01-18
501,808,Brielle,28,Zuid-Holland,2021-01-18
502,4191,Capelle aan den IJssel,28,Zuid-Holland,2021-01-18
503,5454,Delft,28,Zuid-Holland,2021-01-18
505,7676,Dordrecht,28,Zuid-Holland,2021-01-18
512,2373,Gorinchem,28,Zuid-Holland,2021-01-18
513,4584,Gouda,28,Zuid-Holland,2021-01-18
518,31181,'s-Gravenhage,28,Zuid-Holland,2021-01-18
523,1425,Hardinxveld-Giessendam,28,Zuid-Holland,2021-01-18
530,1834,Hellevoetsluis,28,Zuid-Holland,2021-01-18
531,1975,Hendrik-Ido-Ambacht,28,Zuid-Holland,2021-01-18
532,1311,Stede Broec,27,Noord-Holland,2021-01-18
534,1011,Hillegom,28,Zuid-Holland,2021-01-18
537,4833,Katwijk,28,Zuid-Holland,2021-01-18
542,2156,Krimpen aan den IJssel,28,Zuid-Holland,2021-01-18
546,6066,Leiden,28,Zuid-Holland,2021-01-18
547,1344,Leiderdorp,28,Zuid-Holland,2021-01-18
553,1214,Lisse,28,Zuid-Holland,2021-01-18
556,2076,Maassluis,28,Zuid-Holland,2021-01-18
569,1580,Nieuwkoop,28,Zuid-Holland,2021-01-18
575,2294,Noordwijk,28,Zuid-Holland,2021-01-18
579,1214,Oegstgeest,28,Zuid-Holland,2021-01-18
589,583,Oudewater,26,Utrecht,2021-01-18
590,1850,Papendrecht,28,Zuid-Holland,2021-01-18
597,2905,Ridderkerk,28,Zuid-Holland,2021-01-18
599,45008,Rotterdam,28,Zuid-Holland,2021-01-18
603,2939,Rijswijk,28,Zuid-Holland,2021-01-18
606,5408,Schiedam,28,Zuid-Holland,2021-01-18
610,1883,Sliedrecht,28,Zuid-Holland,2021-01-18
613,1840,Albrandswaard,28,Zuid-Holland,2021-01-18
614,605,Westvoorne,28,Zuid-Holland,2021-01-18
622,4936,Vlaardingen,28,Zuid-Holland,2021-01-18
626,1096,Voorschoten,28,Zuid-Holland,2021-01-18
627,1675,Waddinxveen,28,Zuid-Holland,2021-01-18
629,1172,Wassenaar,28,Zuid-Holland,2021-01-18
632,2841,Woerden,26,Utrecht,2021-01-18
637,6660,Zoetermeer,28,Zuid-Holland,2021-01-18
638,422,Zoeterwoude,28,Zuid-Holland,2021-01-18
642,2843,Zwijndrecht,28,Zuid-Holland,2021-01-18
654,677,Borsele,29,Zeeland,2021-01-18
664,1152,Goes,29,Zeeland,2021-01-18
668,957,West Maas en Waal,25,Gelderland,2021-01-18
677,1003,Hulst,29,Zeeland,2021-01-18
678,379,Kapelle,29,Zeeland,2021-01-18
687,1345,Middelburg,29,Zeeland,2021-01-18
703,1146,Reimerswaal,29,Zeeland,2021-01-18
715,2190,Terneuzen,29,Zeeland,2021-01-18
716,1242,Tholen,29,Zeeland,2021-01-18
717,587,Veere,29,Zeeland,2021-01-18
718,1194,Vlissingen,29,Zeeland,2021-01-18
736,2279,De Ronde Venen,26,Utrecht,2021-01-18
737,821,Tytsjerksteradiel,21,Friesland,2021-01-18
743,852,Asten,30,Noord-Brabant,2021-01-18
744,290,Baarle-Nassau,30,Noord-Brabant,2021-01-18
748,3818,Bergen op Zoom,30,Noord-Brabant,2021-01-18
753,1678,Best,30,Noord-Brabant,2021-01-18
755,610,Boekel,30,Noord-Brabant,2021-01-18
756,1942,Boxmeer,30,Noord-Brabant,2021-01-18
757,1780,Boxtel,30,Noord-Brabant,2021-01-18
758,9518,Breda,30,Noord-Brabant,2021-01-18
762,1817,Deurne,30,Noord-Brabant,2021-01-18
765,362,Pekela,20,Groningen,2021-01-18
766,1728,Dongen,30,Noord-Brabant,2021-01-18
770,1276,Eersel,30,Noord-Brabant,2021-01-18
772,11162,Eindhoven,30,Noord-Brabant,2021-01-18
777,2288,Etten-Leur,30,Noord-Brabant,2021-01-18
779,1241,Geertruidenberg,30,Noord-Brabant,2021-01-18
784,1431,Gilze en Rijen,30,Noord-Brabant,2021-01-18
785,1332,Goirle,30,Noord-Brabant,2021-01-18
786,848,Grave,30,Noord-Brabant,2021-01-18
794,5233,Helmond,30,Noord-Brabant,2021-01-18
796,8340,'s-Hertogenbosch,30,Noord-Brabant,2021-01-18
797,2549,Heusden,30,Noord-Brabant,2021-01-18
798,971,Hilvarenbeek,30,Noord-Brabant,2021-01-18
809,1543,Loon op Zand,30,Noord-Brabant,2021-01-18
815,679,Mill en Sint Hubert,30,Noord-Brabant,2021-01-18
820,1122,"Nuenen, Gerwen en Nederwetten",30,Noord-Brabant,2021-01-18
823,1160,Oirschot,30,Noord-Brabant,2021-01-18
824,1701,Oisterwijk,30,Noord-Brabant,2021-01-18
826,3063,Oosterhout,30,Noord-Brabant,2021-01-18
828,5085,Oss,30,Noord-Brabant,2021-01-18
840,1286,Rucphen,30,Noord-Brabant,2021-01-18
845,1692,Sint-Michielsgestel,30,Noord-Brabant,2021-01-18
847,1132,Someren,30,Noord-Brabant,2021-01-18
848,753,Son en Breugel,30,Noord-Brabant,2021-01-18
851,1161,Steenbergen,30,Noord-Brabant,2021-01-18
852,991,Waterland,27,Noord-Holland,2021-01-18
855,12396,Tilburg,30,Noord-Brabant,2021-01-18
856,1945,Uden,30,Noord-Brabant,2021-01-18
