Gemeentecode,Aantal,Gemeente,Provinciecode,Provincie,Datum
-2,0,,-1,,2020-03-19
-1,90,,-1,,2020-03-19
518,27,'s-Gravenhage,28,Zuid-Holland,2020-03-19
796,35,'s-Hertogenbosch,30,Noord-Brabant,2020-03-19
1680,0,Aa en Hunze,22,Drenthe,2020-03-19
358,4,Aalsmeer,27,Noord-Holland,2020-03-19
197,0,Aalten,25,Gelderland,2020-03-19
59,0,Achtkarspelen,21,Friesland,2020-03-19
482,2,Alblasserdam,28,Zuid-Holland,2020-03-19
613,4,Albrandswaard,28,Zuid-Holland,2020-03-19
361,9,Alkmaar,27,Noord-Holland,2020-03-19
141,2,Almelo,23,Overijssel,2020-03-19
34,5,Almere,24,Flevoland,2020-03-19
484,10,Alphen aan den Rijn,28,Zuid-Holland,2020-03-19
1723,6,Alphen-Chaam,30,Noord-Brabant,2020-03-19
1959,19,Altena,30,Noord-Brabant,2020-03-19
60,0,Ameland,21,Friesland,2020-03-19
307,30,Amersfoort,26,Utrecht,2020-03-19
362,13,Amstelveen,27,Noord-Holland,2020-03-19
363,85,Amsterdam,27,Noord-Holland,2020-03-19
200,11,Apeldoorn,25,Gelderland,2020-03-19
3,0,Appingedam,20,Groningen,2020-03-19
202,10,Arnhem,25,Gelderland,2020-03-19
106,0,Assen,22,Drenthe,2020-03-19
743,2,Asten,30,Noord-Brabant,2020-03-19
744,0,Baarle-Nassau,30,Noord-Brabant,2020-03-19
308,2,Baarn,26,Utrecht,2020-03-19
489,4,Barendrecht,28,Zuid-Holland,2020-03-19
203,6,Barneveld,25,Gelderland,2020-03-19
888,3,Beek,31,Limburg,2020-03-19
1954,18,Beekdaelen,31,Limburg,2020-03-19
370,0,Beemster,27,Noord-Holland,2020-03-19
889,0,Beesel,31,Limburg,2020-03-19
1945,18,Berg en Dal,25,Gelderland,2020-03-19
1724,1,Bergeijk,30,Noord-Brabant,2020-03-19
893,1,Bergen (L.),31,Limburg,2020-03-19
373,4,Bergen (NH.),27,Noord-Holland,2020-03-19
748,6,Bergen op Zoom,30,Noord-Brabant,2020-03-19
1859,1,Berkelland,25,Gelderland,2020-03-19
1721,30,Bernheze,30,Noord-Brabant,2020-03-19
753,6,Best,30,Noord-Brabant,2020-03-19
209,6,Beuningen,25,Gelderland,2020-03-19
375,6,Beverwijk,27,Noord-Holland,2020-03-19
1728,3,Bladel,30,Noord-Brabant,2020-03-19
376,2,Blaricum,27,Noord-Holland,2020-03-19
377,3,Bloemendaal,27,Noord-Holland,2020-03-19
1901,1,Bodegraven-Reeuwijk,28,Zuid-Holland,2020-03-19
755,20,Boekel,30,Noord-Brabant,2020-03-19
1681,0,Borger-Odoorn,22,Drenthe,2020-03-19
147,3,Borne,23,Overijssel,2020-03-19
654,3,Borsele,29,Zeeland,2020-03-19
756,2,Boxmeer,30,Noord-Brabant,2020-03-19
757,6,Boxtel,30,Noord-Brabant,2020-03-19
758,113,Breda,30,Noord-Brabant,2020-03-19
501,1,Brielle,28,Zuid-Holland,2020-03-19
1876,3,Bronckhorst,25,Gelderland,2020-03-19
213,1,Brummen,25,Gelderland,2020-03-19
899,4,Brunssum,31,Limburg,2020-03-19
312,1,Bunnik,26,Utrecht,2020-03-19
313,0,Bunschoten,26,Utrecht,2020-03-19
214,5,Buren,25,Gelderland,2020-03-19
502,2,Capelle aan den IJssel,28,Zuid-Holland,2020-03-19
383,6,Castricum,27,Noord-Holland,2020-03-19
109,12,Coevorden,22,Drenthe,2020-03-19
1706,6,Cranendonck,30,Noord-Brabant,2020-03-19
1684,4,Cuijk,30,Noord-Brabant,2020-03-19
216,4,Culemborg,25,Gelderland,2020-03-19
148,1,Dalfsen,23,Overijssel,2020-03-19
1891,0,Dantumadiel,21,Friesland,2020-03-19
310,16,De Bilt,26,Utrecht,2020-03-19
1940,5,De Fryske Marren,21,Friesland,2020-03-19
