Gemeentecode,PositiefGetest,Gemeente,Provinciecode,Provincie,Datum
14,335,Groningen,20,Groningen,2022-03-27
34,291,Almere,24,Flevoland,2022-03-27
37,58,Stadskanaal,20,Groningen,2022-03-27
47,59,Veendam,20,Groningen,2022-03-27
50,28,Zeewolde,24,Flevoland,2022-03-27
59,26,Achtkarspelen,21,Friesland,2022-03-27
60,11,Ameland,21,Friesland,2022-03-27
72,24,Harlingen,21,Friesland,2022-03-27
74,51,Heerenveen,21,Friesland,2022-03-27
80,177,Leeuwarden,21,Friesland,2022-03-27
85,39,Ooststellingwerf,21,Friesland,2022-03-27
86,44,Opsterland,21,Friesland,2022-03-27
88,0,Schiermonnikoog,21,Friesland,2022-03-27
90,90,Smallingerland,21,Friesland,2022-03-27
93,7,Terschelling,21,Friesland,2022-03-27
96,0,Vlieland,21,Friesland,2022-03-27
98,33,Weststellingwerf,21,Friesland,2022-03-27
106,127,Assen,22,Drenthe,2022-03-27
109,61,Coevorden,22,Drenthe,2022-03-27
114,171,Emmen,22,Drenthe,2022-03-27
118,91,Hoogeveen,22,Drenthe,2022-03-27
119,70,Meppel,22,Drenthe,2022-03-27
141,131,Almelo,23,Overijssel,2022-03-27
147,49,Borne,23,Overijssel,2022-03-27
148,55,Dalfsen,23,Overijssel,2022-03-27
150,129,Deventer,23,Overijssel,2022-03-27
153,239,Enschede,23,Overijssel,2022-03-27
158,48,Haaksbergen,23,Overijssel,2022-03-27
160,114,Hardenberg,23,Overijssel,2022-03-27
163,135,Hellendoorn,23,Overijssel,2022-03-27
164,155,Hengelo,23,Overijssel,2022-03-27
166,98,Kampen,23,Overijssel,2022-03-27
168,40,Losser,23,Overijssel,2022-03-27
171,60,Noordoostpolder,24,Flevoland,2022-03-27
173,52,Oldenzaal,23,Overijssel,2022-03-27
175,46,Ommen,23,Overijssel,2022-03-27
177,76,Raalte,23,Overijssel,2022-03-27
180,27,Staphorst,23,Overijssel,2022-03-27
183,20,Tubbergen,23,Overijssel,2022-03-27
184,4,Urk,24,Flevoland,2022-03-27
189,55,Wierden,23,Overijssel,2022-03-27
193,227,Zwolle,23,Overijssel,2022-03-27
197,52,Aalten,25,Gelderland,2022-03-27
200,336,Apeldoorn,25,Gelderland,2022-03-27
202,247,Arnhem,25,Gelderland,2022-03-27
203,90,Barneveld,25,Gelderland,2022-03-27
209,46,Beuningen,25,Gelderland,2022-03-27
213,47,Brummen,25,Gelderland,2022-03-27
214,31,Buren,25,Gelderland,2022-03-27
216,45,Culemborg,25,Gelderland,2022-03-27
221,21,Doesburg,25,Gelderland,2022-03-27
222,97,Doetinchem,25,Gelderland,2022-03-27
225,28,Druten,25,Gelderland,2022-03-27
226,50,Duiven,25,Gelderland,2022-03-27
228,192,Ede,25,Gelderland,2022-03-27
230,39,Elburg,25,Gelderland,2022-03-27
232,46,Epe,25,Gelderland,2022-03-27
233,50,Ermelo,25,Gelderland,2022-03-27
243,87,Harderwijk,25,Gelderland,2022-03-27
244,29,Hattem,25,Gelderland,2022-03-27
246,36,Heerde,25,Gelderland,2022-03-27
252,24,Heumen,25,Gelderland,2022-03-27
262,79,Lochem,25,Gelderland,2022-03-27
263,25,Maasdriel,25,Gelderland,2022-03-27
267,75,Nijkerk,25,Gelderland,2022-03-27
268,307,Nijmegen,25,Gelderland,2022-03-27
269,48,Oldebroek,25,Gelderland,2022-03-27
273,44,Putten,25,Gelderland,2022-03-27
274,47,Renkum,25,Gelderland,2022-03-27
275,82,Rheden,25,Gelderland,2022-03-27
277,2,Rozendaal,25,Gelderland,2022-03-27
279,13,Scherpenzeel,25,Gelderland,2022-03-27
281,75,Tiel,25,Gelderland,2022-03-27
285,42,Voorst,25,Gelderland,2022-03-27
289,61,Wageningen,25,Gelderland,2022-03-27
293,20,Westervoort,25,Gelderland,2022-03-27
294,70,Winterswijk,25,Gelderland,2022-03-27
296,88,Wijchen,25,Gelderland,2022-03-27
297,38,Zaltbommel,25,Gelderland,2022-03-27
299,69,Zevenaar,25,Gelderland,2022-03-27
301,120,Zutphen,25,Gelderland,2022-03-27
302,55,Nunspeet,25,Gelderland,2022-03-27
303,66,Dronten,24,Flevoland,2022-03-27
307,277,Amersfoort,26,Utrecht,2022-03-27
308,28,Baarn,26,Utrecht,2022-03-27
310,67,De Bilt,26,Utrecht,2022-03-27
312,24,Bunnik,26,Utrecht,2022-03-27
313,21,Bunschoten,26,Utrecht,2022-03-27
317,12,Eemnes,26,Utrecht,2022-03-27
321,71,Houten,26,Utrecht,2022-03-27
327,52,Leusden,26,Utrecht,2022-03-27
331,21,Lopik,26,Utrecht,2022-03-27
335,17,Montfoort,26,Utrecht,2022-03-27
339,14,Renswoude,26,Utrecht,2022-03-27
340,29,Rhenen,26,Utrecht,2022-03-27
342,62,Soest,26,Utrecht,2022-03-27
344,438,Utrecht,26,Utrecht,2022-03-27
345,84,Veenendaal,26,Utrecht,2022-03-27
351,24,Woudenberg,26,Utrecht,2022-03-27
352,56,Wijk bij Duurstede,26,Utrecht,2022-03-27
353,58,IJsselstein,26,Utrecht,2022-03-27
355,80,Zeist,26,Utrecht,2022-03-27
356,90,Nieuwegein,26,Utrecht,2022-03-27
358,47,Aalsmeer,27,Noord-Holland,2022-03-27
361,157,Alkmaar,27,Noord-Holland,2022-03-27
362,129,Amstelveen,27,Noord-Holland,2022-03-27
363,602,Amsterdam,27,Noord-Holland,2022-03-27
363,477,Amsterdam,27,Noord-Holland,2022-03-27
373,33,Bergen (NH.),27,Noord-Holland,2022-03-27
375,51,Beverwijk,27,Noord-Holland,2022-03-27
376,16,Blaricum,27,Noord-Holland,2022-03-27
377,45,Bloemendaal,27,Noord-Holland,2022-03-27
383,39,Castricum,27,Noord-Holland,2022-03-27
384,61,Diemen,27,Noord-Holland,2022-03-27
385,35,Edam-Volendam,27,Noord-Holland,2022-03-27
388,20,Enkhuizen,27,Noord-Holland,2022-03-27
392,208,Haarlem,27,Noord-Holland,2022-03-27
394,203,Haarlemmermeer,27,Noord-Holland,2022-03-27
396,54,Heemskerk,27,Noord-Holland,2022-03-27
397,46,Heemstede,27,Noord-Holland,2022-03-27
399,33,Heiloo,27,Noord-Holland,2022-03-27
400,74,Den Helder,27,Noord-Holland,2022-03-27
402,131,Hilversum,27,Noord-Holland,2022-03-27
405,59,Hoorn,27,Noord-Holland,2022-03-27
406,63,Huizen,27,Noord-Holland,2022-03-27
415,22,Landsmeer,27,Noord-Holland,2022-03-27
417,23,Laren,27,Noord-Holland,2022-03-27
420,48,Medemblik,27,Noord-Holland,2022-03-27
431,12,Oostzaan,27,Noord-Holland,2022-03-27
432,14,Opmeer,27,Noord-Holland,2022-03-27
437,20,Ouder-Amstel,27,Noord-Holland,2022-03-27
439,16,Purmerend,27,Noord-Holland,2022-03-27
439,141,Purmerend,27,Noord-Holland,2022-03-27
441,50,Schagen,27,Noord-Holland,2022-03-27
448,6,Texel,27,Noord-Holland,2022-03-27
450,19,Uitgeest,27,Noord-Holland,2022-03-27
451,48,Uithoorn,27,Noord-Holland,2022-03-27
453,92,Velsen,27,Noord-Holland,2022-03-27
473,16,Zandvoort,27,Noord-Holland,2022-03-27
479,161,Zaanstad,27,Noord-Holland,2022-03-27
482,36,Alblasserdam,28,Zuid-Holland,2022-03-27
484,127,Alphen aan den Rijn,28,Zuid-Holland,2022-03-27
489,74,Barendrecht,28,Zuid-Holland,2022-03-27
498,30,Drechterland,27,Noord-Holland,2022-03-27
501,48,Brielle,28,Zuid-Holland,2022-03-27
502,104,Capelle aan den IJssel,28,Zuid-Holland,2022-03-27
503,164,Delft,28,Zuid-Holland,2022-03-27
505,190,Dordrecht,28,Zuid-Holland,2022-03-27
512,41,Gorinchem,28,Zuid-Holland,2022-03-27
513,108,Gouda,28,Zuid-Holland,2022-03-27
518,654,'s-Gravenhage,28,Zuid-Holland,2022-03-27
523,29,Hardinxveld-Giessendam,28,Zuid-Holland,2022-03-27
530,85,Hellevoetsluis,28,Zuid-Holland,2022-03-27
531,54,Hendrik-Ido-Ambacht,28,Zuid-Holland,2022-03-27
532,32,Stede Broec,27,Noord-Holland,2022-03-27
534,53,Hillegom,28,Zuid-Holland,2022-03-27
537,77,Katwijk,28,Zuid-Holland,2022-03-27
542,38,Krimpen aan den IJssel,28,Zuid-Holland,2022-03-27
546,173,Leiden,28,Zuid-Holland,2022-03-27
547,30,Leiderdorp,28,Zuid-Holland,2022-03-27
553,37,Lisse,28,Zuid-Holland,2022-03-27
556,51,Maassluis,28,Zuid-Holland,2022-03-27
569,53,Nieuwkoop,28,Zuid-Holland,2022-03-27
575,41,Noordwijk,28,Zuid-Holland,2022-03-27
579,42,Oegstgeest,28,Zuid-Holland,2022-03-27
589,17,Oudewater,26,Utrecht,2022-03-27
590,39,Papendrecht,28,Zuid-Holland,2022-03-27
597,68,Ridderkerk,28,Zuid-Holland,2022-03-27
599,807,Rotterdam,28,Zuid-Holland,2022-03-27
603,87,Rijswijk,28,Zuid-Holland,2022-03-27
606,134,Schiedam,28,Zuid-Holland,2022-03-27
