Gemeentecode,PositiefGetest,Gemeente,Provinciecode,Provincie,Datum
14,68,Groningen,20,Groningen,2021-03-25
34,88,Almere,24,Flevoland,2021-03-25
37,7,Stadskanaal,20,Groningen,2021-03-25
47,11,Veendam,20,Groningen,2021-03-25
50,8,Zeewolde,24,Flevoland,2021-03-25
59,6,Achtkarspelen,21,Friesland,2021-03-25
60,0,Ameland,21,Friesland,2021-03-25
72,2,Harlingen,21,Friesland,2021-03-25
74,23,Heerenveen,21,Friesland,2021-03-25
80,41,Leeuwarden,21,Friesland,2021-03-25
85,17,Ooststellingwerf,21,Friesland,2021-03-25
86,11,Opsterland,21,Friesland,2021-03-25
88,0,Schiermonnikoog,21,Friesland,2021-03-25
90,22,Smallingerland,21,Friesland,2021-03-25
93,2,Terschelling,21,Friesland,2021-03-25
96,0,Vlieland,21,Friesland,2021-03-25
98,19,Weststellingwerf,21,Friesland,2021-03-25
106,23,Assen,22,Drenthe,2021-03-25
109,16,Coevorden,22,Drenthe,2021-03-25
114,77,Emmen,22,Drenthe,2021-03-25
118,19,Hoogeveen,22,Drenthe,2021-03-25
119,12,Meppel,22,Drenthe,2021-03-25
141,18,Almelo,23,Overijssel,2021-03-25
147,4,Borne,23,Overijssel,2021-03-25
148,15,Dalfsen,23,Overijssel,2021-03-25
150,49,Deventer,23,Overijssel,2021-03-25
153,47,Enschede,23,Overijssel,2021-03-25
158,6,Haaksbergen,23,Overijssel,2021-03-25
160,23,Hardenberg,23,Overijssel,2021-03-25
163,14,Hellendoorn,23,Overijssel,2021-03-25
164,16,Hengelo,23,Overijssel,2021-03-25
166,13,Kampen,23,Overijssel,2021-03-25
168,10,Losser,23,Overijssel,2021-03-25
171,12,Noordoostpolder,24,Flevoland,2021-03-25
173,7,Oldenzaal,23,Overijssel,2021-03-25
175,2,Ommen,23,Overijssel,2021-03-25
177,7,Raalte,23,Overijssel,2021-03-25
180,8,Staphorst,23,Overijssel,2021-03-25
183,16,Tubbergen,23,Overijssel,2021-03-25
184,9,Urk,24,Flevoland,2021-03-25
189,10,Wierden,23,Overijssel,2021-03-25
193,67,Zwolle,23,Overijssel,2021-03-25
197,17,Aalten,25,Gelderland,2021-03-25
200,62,Apeldoorn,25,Gelderland,2021-03-25
202,65,Arnhem,25,Gelderland,2021-03-25
203,26,Barneveld,25,Gelderland,2021-03-25
209,4,Beuningen,25,Gelderland,2021-03-25
213,5,Brummen,25,Gelderland,2021-03-25
214,6,Buren,25,Gelderland,2021-03-25
216,5,Culemborg,25,Gelderland,2021-03-25
221,5,Doesburg,25,Gelderland,2021-03-25
222,26,Doetinchem,25,Gelderland,2021-03-25
225,2,Druten,25,Gelderland,2021-03-25
226,7,Duiven,25,Gelderland,2021-03-25
228,57,Ede,25,Gelderland,2021-03-25
230,9,Elburg,25,Gelderland,2021-03-25
232,18,Epe,25,Gelderland,2021-03-25
233,6,Ermelo,25,Gelderland,2021-03-25
243,25,Harderwijk,25,Gelderland,2021-03-25
244,8,Hattem,25,Gelderland,2021-03-25
246,21,Heerde,25,Gelderland,2021-03-25
252,4,Heumen,25,Gelderland,2021-03-25
262,5,Lochem,25,Gelderland,2021-03-25
263,16,Maasdriel,25,Gelderland,2021-03-25
267,14,Nijkerk,25,Gelderland,2021-03-25
268,61,Nijmegen,25,Gelderland,2021-03-25
269,15,Oldebroek,25,Gelderland,2021-03-25
273,10,Putten,25,Gelderland,2021-03-25
274,6,Renkum,25,Gelderland,2021-03-25
275,22,Rheden,25,Gelderland,2021-03-25
277,0,Rozendaal,25,Gelderland,2021-03-25
279,9,Scherpenzeel,25,Gelderland,2021-03-25
281,12,Tiel,25,Gelderland,2021-03-25
285,9,Voorst,25,Gelderland,2021-03-25
289,15,Wageningen,25,Gelderland,2021-03-25
293,5,Westervoort,25,Gelderland,2021-03-25
294,8,Winterswijk,25,Gelderland,2021-03-25
296,7,Wijchen,25,Gelderland,2021-03-25
297,12,Zaltbommel,25,Gelderland,2021-03-25
299,15,Zevenaar,25,Gelderland,2021-03-25
301,21,Zutphen,25,Gelderland,2021-03-25
302,15,Nunspeet,25,Gelderland,2021-03-25
303,14,Dronten,24,Flevoland,2021-03-25
307,78,Amersfoort,26,Utrecht,2021-03-25
308,15,Baarn,26,Utrecht,2021-03-25
310,21,De Bilt,26,Utrecht,2021-03-25
312,6,Bunnik,26,Utrecht,2021-03-25
313,18,Bunschoten,26,Utrecht,2021-03-25
317,1,Eemnes,26,Utrecht,2021-03-25
321,14,Houten,26,Utrecht,2021-03-25
327,16,Leusden,26,Utrecht,2021-03-25
331,17,Lopik,26,Utrecht,2021-03-25
335,3,Montfoort,26,Utrecht,2021-03-25
339,6,Renswoude,26,Utrecht,2021-03-25
340,12,Rhenen,26,Utrecht,2021-03-25
342,14,Soest,26,Utrecht,2021-03-25
344,110,Utrecht,26,Utrecht,2021-03-25
345,34,Veenendaal,26,Utrecht,2021-03-25
351,5,Woudenberg,26,Utrecht,2021-03-25
352,7,Wijk bij Duurstede,26,Utrecht,2021-03-25
353,17,IJsselstein,26,Utrecht,2021-03-25
355,8,Zeist,26,Utrecht,2021-03-25
356,26,Nieuwegein,26,Utrecht,2021-03-25
358,18,Aalsmeer,27,Noord-Holland,2021-03-25
361,56,Alkmaar,27,Noord-Holland,2021-03-25
362,26,Amstelveen,27,Noord-Holland,2021-03-25
363,189,Amsterdam,27,Noord-Holland,2021-03-25
363,114,Amsterdam,27,Noord-Holland,2021-03-25
370,4,Beemster,27,Noord-Holland,2021-03-25
373,17,Bergen (NH.),27,Noord-Holland,2021-03-25
375,22,Beverwijk,27,Noord-Holland,2021-03-25
376,11,Blaricum,27,Noord-Holland,2021-03-25
377,3,Bloemendaal,27,Noord-Holland,2021-03-25
383,43,Castricum,27,Noord-Holland,2021-03-25
384,5,Diemen,27,Noord-Holland,2021-03-25
385,40,Edam-Volendam,27,Noord-Holland,2021-03-25
388,5,Enkhuizen,27,Noord-Holland,2021-03-25
392,73,Haarlem,27,Noord-Holland,2021-03-25
394,69,Haarlemmermeer,27,Noord-Holland,2021-03-25
396,18,Heemskerk,27,Noord-Holland,2021-03-25
397,8,Heemstede,27,Noord-Holland,2021-03-25
398,49,Heerhugowaard,27,Noord-Holland,2021-03-25
399,11,Heiloo,27,Noord-Holland,2021-03-25
400,30,Den Helder,27,Noord-Holland,2021-03-25
402,20,Hilversum,27,Noord-Holland,2021-03-25
405,36,Hoorn,27,Noord-Holland,2021-03-25
406,22,Huizen,27,Noord-Holland,2021-03-25
415,2,Landsmeer,27,Noord-Holland,2021-03-25
416,8,Langedijk,27,Noord-Holland,2021-03-25
417,2,Laren,27,Noord-Holland,2021-03-25
420,38,Medemblik,27,Noord-Holland,2021-03-25
431,4,Oostzaan,27,Noord-Holland,2021-03-25
432,11,Opmeer,27,Noord-Holland,2021-03-25
437,4,Ouder-Amstel,27,Noord-Holland,2021-03-25
439,46,Purmerend,27,Noord-Holland,2021-03-25
441,23,Schagen,27,Noord-Holland,2021-03-25
448,2,Texel,27,Noord-Holland,2021-03-25
450,1,Uitgeest,27,Noord-Holland,2021-03-25
451,10,Uithoorn,27,Noord-Holland,2021-03-25
453,32,Velsen,27,Noord-Holland,2021-03-25
457,19,Weesp,27,Noord-Holland,2021-03-25
473,4,Zandvoort,27,Noord-Holland,2021-03-25
479,51,Zaanstad,27,Noord-Holland,2021-03-25
482,8,Alblasserdam,28,Zuid-Holland,2021-03-25
484,47,Alphen aan den Rijn,28,Zuid-Holland,2021-03-25
489,33,Barendrecht,28,Zuid-Holland,2021-03-25
498,11,Drechterland,27,Noord-Holland,2021-03-25
501,8,Brielle,28,Zuid-Holland,2021-03-25
