Gemeentecode,Aantal,Gemeente,Provinciecode,Provincie,Datum
1680,0,Aa en Hunze,22,Drenthe,2020-03-01
358,0,Aalsmeer,27,Noord-Holland,2020-03-01
197,0,Aalten,25,Gelderland,2020-03-01
59,0,Achtkarspelen,21,Friesland,2020-03-01
482,0,Alblasserdam,28,Zuid-Holland,2020-03-01
613,0,Albrandswaard,28,Zuid-Holland,2020-03-01
361,0,Alkmaar,27,Noord-Holland,2020-03-01
141,0,Almelo,23,Overijssel,2020-03-01
34,0,Almere,24,Flevoland,2020-03-01
484,0,Alphen aan den Rijn,28,Zuid-Holland,2020-03-01
1723,0,Alphen-Chaam,30,Noord-Brabant,2020-03-01
1959,1,Altena,30,Noord-Brabant,2020-03-01
60,0,Ameland,21,Friesland,2020-03-01
307,0,Amersfoort,26,Utrecht,2020-03-01
362,0,Amstelveen,27,Noord-Holland,2020-03-01
363,0,Amsterdam,27,Noord-Holland,2020-03-01
200,0,Apeldoorn,25,Gelderland,2020-03-01
3,0,Appingedam,20,Groningen,2020-03-01
202,0,Arnhem,25,Gelderland,2020-03-01
106,0,Assen,22,Drenthe,2020-03-01
743,0,Asten,30,Noord-Brabant,2020-03-01
744,0,Baarle-Nassau,30,Noord-Brabant,2020-03-01
308,0,Baarn,26,Utrecht,2020-03-01
489,0,Barendrecht,28,Zuid-Holland,2020-03-01
203,0,Barneveld,25,Gelderland,2020-03-01
888,0,Beek,31,Limburg,2020-03-01
1954,0,Beekdaelen,31,Limburg,2020-03-01
370,0,Beemster,27,Noord-Holland,2020-03-01
889,0,Beesel,31,Limburg,2020-03-01
1945,0,Berg en Dal,25,Gelderland,2020-03-01
1724,0,Bergeijk,30,Noord-Brabant,2020-03-01
893,0,Bergen (L.),31,Limburg,2020-03-01
373,0,Bergen (NH.),27,Noord-Holland,2020-03-01
748,0,Bergen op Zoom,30,Noord-Brabant,2020-03-01
1859,0,Berkelland,25,Gelderland,2020-03-01
1721,0,Bernheze,30,Noord-Brabant,2020-03-01
753,0,Best,30,Noord-Brabant,2020-03-01
209,0,Beuningen,25,Gelderland,2020-03-01
375,0,Beverwijk,27,Noord-Holland,2020-03-01
1728,0,Bladel,30,Noord-Brabant,2020-03-01
376,0,Blaricum,27,Noord-Holland,2020-03-01
377,0,Bloemendaal,27,Noord-Holland,2020-03-01
1901,0,Bodegraven-Reeuwijk,28,Zuid-Holland,2020-03-01
755,0,Boekel,30,Noord-Brabant,2020-03-01
1681,0,Borger-Odoorn,22,Drenthe,2020-03-01
147,0,Borne,23,Overijssel,2020-03-01
654,0,Borsele,29,Zeeland,2020-03-01
756,0,Boxmeer,30,Noord-Brabant,2020-03-01
757,0,Boxtel,30,Noord-Brabant,2020-03-01
758,0,Breda,30,Noord-Brabant,2020-03-01
501,0,Brielle,28,Zuid-Holland,2020-03-01
1876,0,Bronckhorst,25,Gelderland,2020-03-01
213,0,Brummen,25,Gelderland,2020-03-01
899,0,Brunssum,31,Limburg,2020-03-01
312,0,Bunnik,26,Utrecht,2020-03-01
313,0,Bunschoten,26,Utrecht,2020-03-01
214,0,Buren,25,Gelderland,2020-03-01
502,0,Capelle aan den IJssel,28,Zuid-Holland,2020-03-01
383,0,Castricum,27,Noord-Holland,2020-03-01
109,1,Coevorden,22,Drenthe,2020-03-01
1706,0,Cranendonck,30,Noord-Brabant,2020-03-01
1684,0,Cuijk,30,Noord-Brabant,2020-03-01
216,0,Culemborg,25,Gelderland,2020-03-01
148,0,Dalfsen,23,Overijssel,2020-03-01
1891,0,Dantumadiel,21,Friesland,2020-03-01
310,0,De Bilt,26,Utrecht,2020-03-01
1940,0,De Fryske Marren,21,Friesland,2020-03-01
736,0,De Ronde Venen,26,Utrecht,2020-03-01
1690,0,De Wolden,22,Drenthe,2020-03-01
503,1,Delft,28,Zuid-Holland,2020-03-01
10,0,Delfzijl,20,Groningen,2020-03-01
400,0,Den Helder,27,Noord-Holland,2020-03-01
762,0,Deurne,30,Noord-Brabant,2020-03-01
150,0,Deventer,23,Overijssel,2020-03-01
384,3,Diemen,27,Noord-Holland,2020-03-01
1774,0,Dinkelland,23,Overijssel,2020-03-01
221,0,Doesburg,25,Gelderland,2020-03-01
222,0,Doetinchem,25,Gelderland,2020-03-01
766,0,Dongen,30,Noord-Brabant,2020-03-01
505,0,Dordrecht,28,Zuid-Holland,2020-03-01
498,0,Drechterland,27,Noord-Holland,2020-03-01
1719,0,Drimmelen,30,Noord-Brabant,2020-03-01
303,0,Dronten,24,Flevoland,2020-03-01
225,0,Druten,25,Gelderland,2020-03-01
226,0,Duiven,25,Gelderland,2020-03-01
1711,0,Echt-Susteren,31,Limburg,2020-03-01
385,0,Edam-Volendam,27,Noord-Holland,2020-03-01
228,0,Ede,25,Gelderland,2020-03-01
317,0,Eemnes,26,Utrecht,2020-03-01
770,0,Eersel,30,Noord-Brabant,2020-03-01
1903,0,Eijsden-Margraten,31,Limburg,2020-03-01
772,0,Eindhoven,30,Noord-Brabant,2020-03-01
230,0,Elburg,25,Gelderland,2020-03-01
114,0,Emmen,22,Drenthe,2020-03-01
388,0,Enkhuizen,27,Noord-Holland,2020-03-01
153,0,Enschede,23,Overijssel,2020-03-01
232,0,Epe,25,Gelderland,2020-03-01
233,0,Ermelo,25,Gelderland,2020-03-01
777,0,Etten-Leur,30,Noord-Brabant,2020-03-01
779,0,Geertruidenberg,30,Noord-Brabant,2020-03-01
1771,0,Geldrop-Mierlo,30,Noord-Brabant,2020-03-01
1652,0,Gemert-Bakel,30,Noord-Brabant,2020-03-01
907,0,Gennep,31,Limburg,2020-03-01
784,0,Gilze en Rijen,30,Noord-Brabant,2020-03-01
1924,0,Goeree-Overflakkee,28,Zuid-Holland,2020-03-01
664,0,Goes,29,Zeeland,2020-03-01
785,0,Goirle,30,Noord-Brabant,2020-03-01
1942,0,Gooise Meren,27,Noord-Holland,2020-03-01
512,0,Gorinchem,28,Zuid-Holland,2020-03-01
513,0,Gouda,28,Zuid-Holland,2020-03-01
786,0,Grave,30,Noord-Brabant,2020-03-01
14,0,Groningen,20,Groningen,2020-03-01
1729,0,Gulpen-Wittem,31,Limburg,2020-03-01
158,0,Haaksbergen,23,Overijssel,2020-03-01
788,0,Haaren,30,Noord-Brabant,2020-03-01
392,0,Haarlem,27,Noord-Holland,2020-03-01
394,0,Haarlemmermeer,27,Noord-Holland,2020-03-01
1655,0,Halderberge,30,Noord-Brabant,2020-03-01
160,0,Hardenberg,23,Overijssel,2020-03-01
243,0,Harderwijk,25,Gelderland,2020-03-01
523,0,Hardinxveld-Giessendam,28,Zuid-Holland,2020-03-01
72,0,Harlingen,21,Friesland,2020-03-01
244,0,Hattem,25,Gelderland,2020-03-01
396,0,Heemskerk,27,Noord-Holland,2020-03-01
397,0,Heemstede,27,Noord-Holland,2020-03-01
246,0,Heerde,25,Gelderland,2020-03-01
74,0,Heerenveen,21,Friesland,2020-03-01
398,0,Heerhugowaard,27,Noord-Holland,2020-03-01
917,0,Heerlen,31,Limburg,2020-03-01
1658,0,Heeze-Leende,30,Noord-Brabant,2020-03-01
399,0,Heiloo,27,Noord-Holland,2020-03-01
163,0,Hellendoorn,23,Overijssel,2020-03-01
530,0,Hellevoetsluis,28,Zuid-Holland,2020-03-01
794,0,Helmond,30,Noord-Brabant,2020-03-01
531,0,Hendrik-Ido-Ambacht,28,Zuid-Holland,2020-03-01
164,0,Hengelo,23,Overijssel,2020-03-01
1966,0,Het Hogeland,20,Groningen,2020-03-01
252,0,Heumen,25,Gelderland,2020-03-01
797,0,Heusden,30,Noord-Brabant,2020-03-01
534,0,Hillegom,28,Zuid-Holland,2020-03-01
798,0,Hilvarenbeek,30,Noord-Brabant,2020-03-01
402,0,Hilversum,27,Noord-Holland,2020-03-01
1963,0,Hoeksche Waard,28,Zuid-Holland,2020-03-01
1735,0,Hof van Twente,23,Overijssel,2020-03-01
1911,0,Hollands Kroon,27,Noord-Holland,2020-03-01
118,0,Hoogeveen,22,Drenthe,2020-03-01
405,0,Hoorn,27,Noord-Holland,2020-03-01
1507,0,Horst aan de Maas,31,Limburg,2020-03-01
321,0,Houten,26,Utrecht,2020-03-01
406,0,Huizen,27,Noord-Holland,2020-03-01
677,0,Hulst,29,Zeeland,2020-03-01
353,0,IJsselstein,26,Utrecht,2020-03-01
1884,0,Kaag en Braassem,28,Zuid-Holland,2020-03-01
166,0,Kampen,23,Overijssel,2020-03-01
678,0,Kapelle,29,Zeeland,2020-03-01
537,0,Katwijk,28,Zuid-Holland,2020-03-01
928,0,Kerkrade,31,Limburg,2020-03-01
1598,0,Koggenland,27,Noord-Holland,2020-03-01
542,0,Krimpen aan den IJssel,28,Zuid-Holland,2020-03-01
1931,0,Krimpenerwaard,28,Zuid-Holland,2020-03-01
1659,0,Laarbeek,30,Noord-Brabant,2020-03-01
1685,0,Landerd,30,Noord-Brabant,2020-03-01
882,0,Landgraaf,31,Limburg,2020-03-01
415,0,Landsmeer,27,Noord-Holland,2020-03-01
416,0,Langedijk,27,Noord-Holland,2020-03-01
1621,0,Lansingerland,28,Zuid-Holland,2020-03-01
417,0,Laren,27,Noord-Holland,2020-03-01
80,0,Leeuwarden,21,Friesland,2020-03-01
546,0,Leiden,28,Zuid-Holland,2020-03-01
547,0,Leiderdorp,28,Zuid-Holland,2020-03-01
1916,0,Leidschendam-Voorburg,28,Zuid-Holland,2020-03-01
995,0,Lelystad,24,Flevoland,2020-03-01
1640,0,Leudal,31,Limburg,2020-03-01
327,0,Leusden,26,Utrecht,2020-03-01
1705,0,Lingewaard,25,Gelderland,2020-03-01
553,0,Lisse,28,Zuid-Holland,2020-03-01
262,0,Lochem,25,Gelderland,2020-03-01
809,0,Loon op Zand,30,Noord-Brabant,2020-03-01
331,0,Lopik,26,Utrecht,2020-03-01
24,0,Loppersum,20,Groningen,2020-03-01
168,0,Losser,23,Overijssel,2020-03-01
263,0,Maasdriel,25,Gelderland,2020-03-01
1641,0,Maasgouw,31,Limburg,2020-03-01
556,0,Maassluis,28,Zuid-Holland,2020-03-01
935,0,Maastricht,31,Limburg,2020-03-01
420,0,Medemblik,27,Noord-Holland,2020-03-01
938,0,Meerssen,31,Limburg,2020-03-01
1948,0,Meierijstad,30,Noord-Brabant,2020-03-01
119,0,Meppel,22,Drenthe,2020-03-01
687,0,Middelburg,29,Zeeland,2020-03-01
1842,0,Midden-Delfland,28,Zuid-Holland,2020-03-01
1731,0,Midden-Drenthe,22,Drenthe,2020-03-01
1952,0,Midden-Groningen,20,Groningen,2020-03-01
815,0,Mill en Sint Hubert,30,Noord-Brabant,2020-03-01
1709,0,Moerdijk,30,Noord-Brabant,2020-03-01
1978,0,Molenlanden,28,Zuid-Holland,2020-03-01
1955,0,Montferland,25,Gelderland,2020-03-01
335,0,Montfoort,26,Utrecht,2020-03-01
