Gemeentecode,PositiefGetest,Gemeente,Provinciecode,Provincie,Datum
3,289,Appingedam,20,Groningen,2020-12-30
10,673,Delfzijl,20,Groningen,2020-12-30
14,6265,Groningen,20,Groningen,2020-12-30
24,191,Loppersum,20,Groningen,2020-12-30
34,10478,Almere,24,Flevoland,2020-12-30
37,1195,Stadskanaal,20,Groningen,2020-12-30
47,638,Veendam,20,Groningen,2020-12-30
50,808,Zeewolde,24,Flevoland,2020-12-30
59,591,Achtkarspelen,21,Friesland,2020-12-30
60,112,Ameland,21,Friesland,2020-12-30
72,216,Harlingen,21,Friesland,2020-12-30
74,899,Heerenveen,21,Friesland,2020-12-30
80,2835,Leeuwarden,21,Friesland,2020-12-30
85,495,Ooststellingwerf,21,Friesland,2020-12-30
86,496,Opsterland,21,Friesland,2020-12-30
88,7,Schiermonnikoog,21,Friesland,2020-12-30
90,1009,Smallingerland,21,Friesland,2020-12-30
93,84,Terschelling,21,Friesland,2020-12-30
96,21,Vlieland,21,Friesland,2020-12-30
98,583,Weststellingwerf,21,Friesland,2020-12-30
106,1481,Assen,22,Drenthe,2020-12-30
109,1065,Coevorden,22,Drenthe,2020-12-30
114,3579,Emmen,22,Drenthe,2020-12-30
118,1953,Hoogeveen,22,Drenthe,2020-12-30
119,930,Meppel,22,Drenthe,2020-12-30
141,4068,Almelo,23,Overijssel,2020-12-30
147,1230,Borne,23,Overijssel,2020-12-30
148,1051,Dalfsen,23,Overijssel,2020-12-30
150,4182,Deventer,23,Overijssel,2020-12-30
153,7263,Enschede,23,Overijssel,2020-12-30
158,1524,Haaksbergen,23,Overijssel,2020-12-30
160,2228,Hardenberg,23,Overijssel,2020-12-30
163,2005,Hellendoorn,23,Overijssel,2020-12-30
164,3924,Hengelo,23,Overijssel,2020-12-30
166,1767,Kampen,23,Overijssel,2020-12-30
168,1357,Losser,23,Overijssel,2020-12-30
171,1806,Noordoostpolder,24,Flevoland,2020-12-30
173,1751,Oldenzaal,23,Overijssel,2020-12-30
175,555,Ommen,23,Overijssel,2020-12-30
177,1759,Raalte,23,Overijssel,2020-12-30
180,970,Staphorst,23,Overijssel,2020-12-30
183,1472,Tubbergen,23,Overijssel,2020-12-30
184,1628,Urk,24,Flevoland,2020-12-30
189,1814,Wierden,23,Overijssel,2020-12-30
193,3683,Zwolle,23,Overijssel,2020-12-30
197,1015,Aalten,25,Gelderland,2020-12-30
200,5649,Apeldoorn,25,Gelderland,2020-12-30
202,6643,Arnhem,25,Gelderland,2020-12-30
203,3896,Barneveld,25,Gelderland,2020-12-30
209,1013,Beuningen,25,Gelderland,2020-12-30
213,705,Brummen,25,Gelderland,2020-12-30
214,1128,Buren,25,Gelderland,2020-12-30
216,1311,Culemborg,25,Gelderland,2020-12-30
221,378,Doesburg,25,Gelderland,2020-12-30
222,2052,Doetinchem,25,Gelderland,2020-12-30
225,808,Druten,25,Gelderland,2020-12-30
226,1101,Duiven,25,Gelderland,2020-12-30
228,6089,Ede,25,Gelderland,2020-12-30
230,948,Elburg,25,Gelderland,2020-12-30
232,1171,Epe,25,Gelderland,2020-12-30
233,1310,Ermelo,25,Gelderland,2020-12-30
243,1971,Harderwijk,25,Gelderland,2020-12-30
244,385,Hattem,25,Gelderland,2020-12-30
246,588,Heerde,25,Gelderland,2020-12-30
252,742,Heumen,25,Gelderland,2020-12-30
262,1061,Lochem,25,Gelderland,2020-12-30
263,1195,Maasdriel,25,Gelderland,2020-12-30
267,2207,Nijkerk,25,Gelderland,2020-12-30
268,7351,Nijmegen,25,Gelderland,2020-12-30
269,925,Oldebroek,25,Gelderland,2020-12-30
273,1256,Putten,25,Gelderland,2020-12-30
