Gemeentecode,PositiefGetest,Gemeente,Provinciecode,Provincie,Datum
3,6,Appingedam,20,Groningen,2020-08-21
10,40,Delfzijl,20,Groningen,2020-08-21
14,281,Groningen,20,Groningen,2020-08-21
24,2,Loppersum,20,Groningen,2020-08-21
34,650,Almere,24,Flevoland,2020-08-21
37,13,Stadskanaal,20,Groningen,2020-08-21
47,18,Veendam,20,Groningen,2020-08-21
50,51,Zeewolde,24,Flevoland,2020-08-21
59,20,Achtkarspelen,21,Friesland,2020-08-21
60,0,Ameland,21,Friesland,2020-08-21
72,20,Harlingen,21,Friesland,2020-08-21
74,100,Heerenveen,21,Friesland,2020-08-21
80,94,Leeuwarden,21,Friesland,2020-08-21
85,8,Ooststellingwerf,21,Friesland,2020-08-21
86,24,Opsterland,21,Friesland,2020-08-21
88,0,Schiermonnikoog,21,Friesland,2020-08-21
90,61,Smallingerland,21,Friesland,2020-08-21
93,2,Terschelling,21,Friesland,2020-08-21
96,0,Vlieland,21,Friesland,2020-08-21
98,29,Weststellingwerf,21,Friesland,2020-08-21
106,55,Assen,22,Drenthe,2020-08-21
109,62,Coevorden,22,Drenthe,2020-08-21
114,115,Emmen,22,Drenthe,2020-08-21
118,105,Hoogeveen,22,Drenthe,2020-08-21
119,54,Meppel,22,Drenthe,2020-08-21
141,100,Almelo,23,Overijssel,2020-08-21
147,52,Borne,23,Overijssel,2020-08-21
148,87,Dalfsen,23,Overijssel,2020-08-21
150,377,Deventer,23,Overijssel,2020-08-21
153,321,Enschede,23,Overijssel,2020-08-21
158,59,Haaksbergen,23,Overijssel,2020-08-21
160,186,Hardenberg,23,Overijssel,2020-08-21
163,99,Hellendoorn,23,Overijssel,2020-08-21
164,145,Hengelo,23,Overijssel,2020-08-21
166,350,Kampen,23,Overijssel,2020-08-21
168,28,Losser,23,Overijssel,2020-08-21
171,85,Noordoostpolder,24,Flevoland,2020-08-21
173,60,Oldenzaal,23,Overijssel,2020-08-21
175,53,Ommen,23,Overijssel,2020-08-21
177,159,Raalte,23,Overijssel,2020-08-21
180,62,Staphorst,23,Overijssel,2020-08-21
183,81,Tubbergen,23,Overijssel,2020-08-21
184,86,Urk,24,Flevoland,2020-08-21
189,54,Wierden,23,Overijssel,2020-08-21
193,390,Zwolle,23,Overijssel,2020-08-21
197,62,Aalten,25,Gelderland,2020-08-21
200,497,Apeldoorn,25,Gelderland,2020-08-21
202,491,Arnhem,25,Gelderland,2020-08-21
203,164,Barneveld,25,Gelderland,2020-08-21
209,86,Beuningen,25,Gelderland,2020-08-21
213,44,Brummen,25,Gelderland,2020-08-21
214,63,Buren,25,Gelderland,2020-08-21
216,95,Culemborg,25,Gelderland,2020-08-21
221,34,Doesburg,25,Gelderland,2020-08-21
222,117,Doetinchem,25,Gelderland,2020-08-21
225,115,Druten,25,Gelderland,2020-08-21
226,55,Duiven,25,Gelderland,2020-08-21
228,260,Ede,25,Gelderland,2020-08-21
230,151,Elburg,25,Gelderland,2020-08-21
232,139,Epe,25,Gelderland,2020-08-21
233,152,Ermelo,25,Gelderland,2020-08-21
243,196,Harderwijk,25,Gelderland,2020-08-21
244,43,Hattem,25,Gelderland,2020-08-21
246,194,Heerde,25,Gelderland,2020-08-21
252,79,Heumen,25,Gelderland,2020-08-21
262,102,Lochem,25,Gelderland,2020-08-21
263,66,Maasdriel,25,Gelderland,2020-08-21
267,74,Nijkerk,25,Gelderland,2020-08-21
268,750,Nijmegen,25,Gelderland,2020-08-21
269,176,Oldebroek,25,Gelderland,2020-08-21
273,45,Putten,25,Gelderland,2020-08-21
274,90,Renkum,25,Gelderland,2020-08-21
275,155,Rheden,25,Gelderland,2020-08-21
277,3,Rozendaal,25,Gelderland,2020-08-21
279,36,Scherpenzeel,25,Gelderland,2020-08-21
281,158,Tiel,25,Gelderland,2020-08-21
285,97,Voorst,25,Gelderland,2020-08-21
289,71,Wageningen,25,Gelderland,2020-08-21
293,48,Westervoort,25,Gelderland,2020-08-21
294,58,Winterswijk,25,Gelderland,2020-08-21
296,160,Wijchen,25,Gelderland,2020-08-21
297,111,Zaltbommel,25,Gelderland,2020-08-21
299,124,Zevenaar,25,Gelderland,2020-08-21
301,120,Zutphen,25,Gelderland,2020-08-21
302,225,Nunspeet,25,Gelderland,2020-08-21
303,128,Dronten,24,Flevoland,2020-08-21
307,331,Amersfoort,26,Utrecht,2020-08-21
308,67,Baarn,26,Utrecht,2020-08-21
310,203,De Bilt,26,Utrecht,2020-08-21
312,49,Bunnik,26,Utrecht,2020-08-21
313,80,Bunschoten,26,Utrecht,2020-08-21
