Gemeentecode,Aantal,Gemeente,Provinciecode,Provincie,Datum
392,32,Haarlem,27,Noord-Holland,2020-04-02
394,34,Haarlemmermeer,27,Noord-Holland,2020-04-02
1655,9,Halderberge,30,Noord-Brabant,2020-04-02
160,10,Hardenberg,23,Overijssel,2020-04-02
243,8,Harderwijk,25,Gelderland,2020-04-02
523,1,Hardinxveld-Giessendam,28,Zuid-Holland,2020-04-02
72,1,Harlingen,21,Friesland,2020-04-02
244,5,Hattem,25,Gelderland,2020-04-02
396,17,Heemskerk,27,Noord-Holland,2020-04-02
397,5,Heemstede,27,Noord-Holland,2020-04-02
246,19,Heerde,25,Gelderland,2020-04-02
74,7,Heerenveen,21,Friesland,2020-04-02
398,19,Heerhugowaard,27,Noord-Holland,2020-04-02
917,66,Heerlen,31,Limburg,2020-04-02
1658,6,Heeze-Leende,30,Noord-Brabant,2020-04-02
399,5,Heiloo,27,Noord-Holland,2020-04-02
163,4,Hellendoorn,23,Overijssel,2020-04-02
530,6,Hellevoetsluis,28,Zuid-Holland,2020-04-02
794,45,Helmond,30,Noord-Brabant,2020-04-02
531,3,Hendrik-Ido-Ambacht,28,Zuid-Holland,2020-04-02
164,8,Hengelo,23,Overijssel,2020-04-02
1966,4,Het Hogeland,20,Groningen,2020-04-02
252,10,Heumen,25,Gelderland,2020-04-02
797,29,Heusden,30,Noord-Brabant,2020-04-02
534,4,Hillegom,28,Zuid-Holland,2020-04-02
798,5,Hilvarenbeek,30,Noord-Brabant,2020-04-02
402,16,Hilversum,27,Noord-Holland,2020-04-02
1963,35,Hoeksche Waard,28,Zuid-Holland,2020-04-02
1735,10,Hof van Twente,23,Overijssel,2020-04-02
1911,21,Hollands Kroon,27,Noord-Holland,2020-04-02
118,5,Hoogeveen,22,Drenthe,2020-04-02
405,16,Hoorn,27,Noord-Holland,2020-04-02
1507,29,Horst aan de Maas,31,Limburg,2020-04-02
321,12,Houten,26,Utrecht,2020-04-02
406,12,Huizen,27,Noord-Holland,2020-04-02
677,4,Hulst,29,Zeeland,2020-04-02
353,21,IJsselstein,26,Utrecht,2020-04-02
1884,4,Kaag en Braassem,28,Zuid-Holland,2020-04-02
166,38,Kampen,23,Overijssel,2020-04-02
678,1,Kapelle,29,Zeeland,2020-04-02
537,11,Katwijk,28,Zuid-Holland,2020-04-02
928,30,Kerkrade,31,Limburg,2020-04-02
1598,6,Koggenland,27,Noord-Holland,2020-04-02
542,4,Krimpen aan den IJssel,28,Zuid-Holland,2020-04-02
1931,28,Krimpenerwaard,28,Zuid-Holland,2020-04-02
1659,24,Laarbeek,30,Noord-Brabant,2020-04-02
1685,22,Landerd,30,Noord-Brabant,2020-04-02
882,22,Landgraaf,31,Limburg,2020-04-02
415,3,Landsmeer,27,Noord-Holland,2020-04-02
416,8,Langedijk,27,Noord-Holland,2020-04-02
1621,18,Lansingerland,28,Zuid-Holland,2020-04-02
417,7,Laren,27,Noord-Holland,2020-04-02
80,21,Leeuwarden,21,Friesland,2020-04-02
546,18,Leiden,28,Zuid-Holland,2020-04-02
547,5,Leiderdorp,28,Zuid-Holland,2020-04-02
1916,8,Leidschendam-Voorburg,28,Zuid-Holland,2020-04-02
995,27,Lelystad,24,Flevoland,2020-04-02
1640,35,Leudal,31,Limburg,2020-04-02
327,5,Leusden,26,Utrecht,2020-04-02
1705,18,Lingewaard,25,Gelderland,2020-04-02
553,3,Lisse,28,Zuid-Holland,2020-04-02
262,3,Lochem,25,Gelderland,2020-04-02
809,15,Loon op Zand,30,Noord-Brabant,2020-04-02
331,10,Lopik,26,Utrecht,2020-04-02
24,0,Loppersum,20,Groningen,2020-04-02
168,3,Losser,23,Overijssel,2020-04-02
263,11,Maasdriel,25,Gelderland,2020-04-02
1641,13,Maasgouw,31,Limburg,2020-04-02
556,9,Maassluis,28,Zuid-Holland,2020-04-02
935,77,Maastricht,31,Limburg,2020-04-02
420,10,Medemblik,27,Noord-Holland,2020-04-02
938,7,Meerssen,31,Limburg,2020-04-02
1948,124,Meierijstad,30,Noord-Brabant,2020-04-02
119,4,Meppel,22,Drenthe,2020-04-02
687,12,Middelburg,29,Zeeland,2020-04-02
1842,3,Midden-Delfland,28,Zuid-Holland,2020-04-02
1731,4,Midden-Drenthe,22,Drenthe,2020-04-02
1952,4,Midden-Groningen,20,Groningen,2020-04-02
815,6,Mill en Sint Hubert,30,Noord-Brabant,2020-04-02
1709,6,Moerdijk,30,Noord-Brabant,2020-04-02
1978,10,Molenlanden,28,Zuid-Holland,2020-04-02
1955,4,Montferland,25,Gelderland,2020-04-02
335,9,Montfoort,26,Utrecht,2020-04-02
944,3,Mook en Middelaar,31,Limburg,2020-04-02
1740,26,Neder-Betuwe,25,Gelderland,2020-04-02
946,24,Nederweert,31,Limburg,2020-04-02
356,20,Nieuwegein,26,Utrecht,2020-04-02
569,5,Nieuwkoop,28,Zuid-Holland,2020-04-02
267,14,Nijkerk,25,Gelderland,2020-04-02
268,83,Nijmegen,25,Gelderland,2020-04-02
1930,22,Nissewaard,28,Zuid-Holland,2020-04-02
1970,4,Noardeast-Fryslân,21,Friesland,2020-04-02
1695,0,Noord-Beveland,29,Zeeland,2020-04-02
1699,1,Noordenveld,22,Drenthe,2020-04-02
171,7,Noordoostpolder,24,Flevoland,2020-04-02
575,8,Noordwijk,28,Zuid-Holland,2020-04-02
820,11,"Nuenen, Gerwen en Nederwetten",30,Noord-Brabant,2020-04-02
302,19,Nunspeet,25,Gelderland,2020-04-02
579,3,Oegstgeest,28,Zuid-Holland,2020-04-02
823,6,Oirschot,30,Noord-Brabant,2020-04-02
824,10,Oisterwijk,30,Noord-Brabant,2020-04-02
1895,1,Oldambt,20,Groningen,2020-04-02
269,8,Oldebroek,25,Gelderland,2020-04-02
173,10,Oldenzaal,23,Overijssel,2020-04-02
