Gemeentecode,Aantal,Gemeente,Provinciecode,Provincie,Datum
-2,0,,-1,,2020-03-15
-1,59,,-1,,2020-03-15
358,3,Aalsmeer,27,Noord-Holland,2020-03-15
613,1,Albrandswaard,28,Zuid-Holland,2020-03-15
361,1,Alkmaar,27,Noord-Holland,2020-03-15
141,1,Almelo,23,Overijssel,2020-03-15
34,2,Almere,24,Flevoland,2020-03-15
484,6,Alphen aan den Rijn,28,Zuid-Holland,2020-03-15
1723,1,Alphen-Chaam,30,Noord-Brabant,2020-03-15
1959,10,Altena,30,Noord-Brabant,2020-03-15
307,10,Amersfoort,26,Utrecht,2020-03-15
362,3,Amstelveen,27,Noord-Holland,2020-03-15
363,31,Amsterdam,27,Noord-Holland,2020-03-15
200,3,Apeldoorn,25,Gelderland,2020-03-15
202,7,Arnhem,25,Gelderland,2020-03-15
743,1,Asten,30,Noord-Brabant,2020-03-15
489,3,Barendrecht,28,Zuid-Holland,2020-03-15
203,2,Barneveld,25,Gelderland,2020-03-15
888,3,Beek,31,Limburg,2020-03-15
1954,12,Beekdaelen,31,Limburg,2020-03-15
1945,6,Berg en Dal,25,Gelderland,2020-03-15
1724,1,Bergeijk,30,Noord-Brabant,2020-03-15
373,1,Bergen (NH.),27,Noord-Holland,2020-03-15
748,4,Bergen op Zoom,30,Noord-Brabant,2020-03-15
1721,16,Bernheze,30,Noord-Brabant,2020-03-15
753,3,Best,30,Noord-Brabant,2020-03-15
209,4,Beuningen,25,Gelderland,2020-03-15
375,5,Beverwijk,27,Noord-Holland,2020-03-15
1728,1,Bladel,30,Noord-Brabant,2020-03-15
376,1,Blaricum,27,Noord-Holland,2020-03-15
377,1,Bloemendaal,27,Noord-Holland,2020-03-15
1901,1,Bodegraven-Reeuwijk,28,Zuid-Holland,2020-03-15
755,12,Boekel,30,Noord-Brabant,2020-03-15
147,3,Borne,23,Overijssel,2020-03-15
654,1,Borsele,29,Zeeland,2020-03-15
756,1,Boxmeer,30,Noord-Brabant,2020-03-15
757,2,Boxtel,30,Noord-Brabant,2020-03-15
758,71,Breda,30,Noord-Brabant,2020-03-15
1876,2,Bronckhorst,25,Gelderland,2020-03-15
214,2,Buren,25,Gelderland,2020-03-15
383,5,Castricum,27,Noord-Holland,2020-03-15
109,11,Coevorden,22,Drenthe,2020-03-15
1706,2,Cranendonck,30,Noord-Brabant,2020-03-15
1684,2,Cuijk,30,Noord-Brabant,2020-03-15
