Gemeentecode,Opgenomen,Gemeente,Provinciecode,Provincie,Datum
-2,0,,-1,,2020-03-12
-1,13,,-1,,2020-03-12
518,7,'s-Gravenhage,28,Zuid-Holland,2020-03-12
796,8,'s-Hertogenbosch,30,Noord-Brabant,2020-03-12
358,2,Aalsmeer,27,Noord-Holland,2020-03-12
613,1,Albrandswaard,28,Zuid-Holland,2020-03-12
361,1,Alkmaar,27,Noord-Holland,2020-03-12
141,1,Almelo,23,Overijssel,2020-03-12
34,1,Almere,24,Flevoland,2020-03-12
484,3,Alphen aan den Rijn,28,Zuid-Holland,2020-03-12
1959,5,Altena,30,Noord-Brabant,2020-03-12
307,4,Amersfoort,26,Utrecht,2020-03-12
362,2,Amstelveen,27,Noord-Holland,2020-03-12
363,11,Amsterdam,27,Noord-Holland,2020-03-12
200,2,Apeldoorn,25,Gelderland,2020-03-12
202,4,Arnhem,25,Gelderland,2020-03-12
489,1,Barendrecht,28,Zuid-Holland,2020-03-12
1954,8,Beekdaelen,31,Limburg,2020-03-12
1945,3,Berg en Dal,25,Gelderland,2020-03-12
1724,1,Bergeijk,30,Noord-Brabant,2020-03-12
748,1,Bergen op Zoom,30,Noord-Brabant,2020-03-12
1721,4,Bernheze,30,Noord-Brabant,2020-03-12
753,3,Best,30,Noord-Brabant,2020-03-12
209,3,Beuningen,25,Gelderland,2020-03-12
375,5,Beverwijk,27,Noord-Holland,2020-03-12
376,1,Blaricum,27,Noord-Holland,2020-03-12
377,1,Bloemendaal,27,Noord-Holland,2020-03-12
1901,1,Bodegraven-Reeuwijk,28,Zuid-Holland,2020-03-12
755,8,Boekel,30,Noord-Brabant,2020-03-12
147,2,Borne,23,Overijssel,2020-03-12
654,1,Borsele,29,Zeeland,2020-03-12
757,1,Boxtel,30,Noord-Brabant,2020-03-12
758,42,Breda,30,Noord-Brabant,2020-03-12
1876,2,Bronckhorst,25,Gelderland,2020-03-12
214,1,Buren,25,Gelderland,2020-03-12
109,11,Coevorden,22,Drenthe,2020-03-12
1706,1,Cranendonck,30,Noord-Brabant,2020-03-12
1684,1,Cuijk,30,Noord-Brabant,2020-03-12
216,1,Culemborg,25,Gelderland,2020-03-12
310,11,De Bilt,26,Utrecht,2020-03-12
1940,1,De Fryske Marren,21,Friesland,2020-03-12
503,1,Delft,28,Zuid-Holland,2020-03-12
400,1,Den Helder,27,Noord-Holland,2020-03-12
762,3,Deurne,30,Noord-Brabant,2020-03-12
384,2,Diemen,27,Noord-Holland,2020-03-12
1774,1,Dinkelland,23,Overijssel,2020-03-12
766,4,Dongen,30,Noord-Brabant,2020-03-12
1719,3,Drimmelen,30,Noord-Brabant,2020-03-12
770,1,Eersel,30,Noord-Brabant,2020-03-12
772,8,Eindhoven,30,Noord-Brabant,2020-03-12
114,1,Emmen,22,Drenthe,2020-03-12
153,3,Enschede,23,Overijssel,2020-03-12
233,3,Ermelo,25,Gelderland,2020-03-12
777,5,Etten-Leur,30,Noord-Brabant,2020-03-12
779,1,Geertruidenberg,30,Noord-Brabant,2020-03-12
1771,1,Geldrop-Mierlo,30,Noord-Brabant,2020-03-12
1652,7,Gemert-Bakel,30,Noord-Brabant,2020-03-12
664,2,Goes,29,Zeeland,2020-03-12
785,6,Goirle,30,Noord-Brabant,2020-03-12
1942,3,Gooise Meren,27,Noord-Holland,2020-03-12
513,2,Gouda,28,Zuid-Holland,2020-03-12
14,2,Groningen,20,Groningen,2020-03-12
788,6,Haaren,30,Noord-Brabant,2020-03-12
392,1,Haarlem,27,Noord-Holland,2020-03-12
243,2,Harderwijk,25,Gelderland,2020-03-12
523,5,Hardinxveld-Giessendam,28,Zuid-Holland,2020-03-12
397,2,Heemstede,27,Noord-Holland,2020-03-12
917,2,Heerlen,31,Limburg,2020-03-12
1658,1,Heeze-Leende,30,Noord-Brabant,2020-03-12
163,2,Hellendoorn,23,Overijssel,2020-03-12
530,1,Hellevoetsluis,28,Zuid-Holland,2020-03-12
794,14,Helmond,30,Noord-Brabant,2020-03-12
797,2,Heusden,30,Noord-Brabant,2020-03-12
798,3,Hilvarenbeek,30,Noord-Brabant,2020-03-12
1963,1,Hoeksche Waard,28,Zuid-Holland,2020-03-12
118,1,Hoogeveen,22,Drenthe,2020-03-12
321,13,Houten,26,Utrecht,2020-03-12
406,1,Huizen,27,Noord-Holland,2020-03-12
353,1,IJsselstein,26,Utrecht,2020-03-12
537,1,Katwijk,28,Zuid-Holland,2020-03-12
542,1,Krimpen aan den IJssel,28,Zuid-Holland,2020-03-12
1931,3,Krimpenerwaard,28,Zuid-Holland,2020-03-12
1685,2,Landerd,30,Noord-Brabant,2020-03-12
882,1,Landgraaf,31,Limburg,2020-03-12
415,2,Landsmeer,27,Noord-Holland,2020-03-12
416,1,Langedijk,27,Noord-Holland,2020-03-12
1621,4,Lansingerland,28,Zuid-Holland,2020-03-12
80,1,Leeuwarden,21,Friesland,2020-03-12
546,1,Leiden,28,Zuid-Holland,2020-03-12
1916,2,Leidschendam-Voorburg,28,Zuid-Holland,2020-03-12
995,1,Lelystad,24,Flevoland,2020-03-12
1640,4,Leudal,31,Limburg,2020-03-12
1705,2,Lingewaard,25,Gelderland,2020-03-12
809,6,Loon op Zand,30,Noord-Brabant,2020-03-12
935,8,Maastricht,31,Limburg,2020-03-12
1948,18,Meierijstad,30,Noord-Brabant,2020-03-12
1740,1,Neder-Betuwe,25,Gelderland,2020-03-12
569,1,Nieuwkoop,28,Zuid-Holland,2020-03-12
268,6,Nijmegen,25,Gelderland,2020-03-12
1930,1,Nissewaard,28,Zuid-Holland,2020-03-12
575,2,Noordwijk,28,Zuid-Holland,2020-03-12
820,1,"Nuenen, Gerwen en Nederwetten",30,Noord-Brabant,2020-03-12
579,2,Oegstgeest,28,Zuid-Holland,2020-03-12
824,5,Oisterwijk,30,Noord-Brabant,2020-03-12
826,1,Oosterhout,30,Noord-Brabant,2020-03-12
86,2,Opsterland,21,Friesland,2020-03-12
828,3,Oss,30,Noord-Brabant,2020-03-12
1894,4,Peel en Maas,31,Limburg,2020-03-12
765,1,Pekela,20,Groningen,2020-03-12
1926,5,Pijnacker-Nootdorp,28,Zuid-Holland,2020-03-12
439,1,Purmerend,27,Noord-Holland,2020-03-12
177,1,Raalte,23,Overijssel,2020-03-12
703,1,Reimerswaal,29,Zeeland,2020-03-12
274,7,Renkum,25,Gelderland,2020-03-12
275,1,Rheden,25,Gelderland,2020-03-12
597,1,Ridderkerk,28,Zuid-Holland,2020-03-12
957,1,Roermond,31,Limburg,2020-03-12
1674,1,Roosendaal,30,Noord-Brabant,2020-03-12
599,15,Rotterdam,28,Zuid-Holland,2020-03-12
441,1,Schagen,27,Noord-Holland,2020-03-12
1676,2,Schouwen-Duiveland,29,Zeeland,2020-03-12
965,2,Simpelveld,31,Limburg,2020-03-12
845,5,Sint-Michielsgestel,30,Noord-Brabant,2020-03-12
