Gemeentecode,PositiefGetest,Gemeente,Provinciecode,Provincie,Datum
796,461,'s-Hertogenbosch,30,Noord-Brabant,2020-05-14
1680,14,Aa en Hunze,22,Drenthe,2020-05-14
358,38,Aalsmeer,27,Noord-Holland,2020-05-14
197,55,Aalten,25,Gelderland,2020-05-14
59,11,Achtkarspelen,21,Friesland,2020-05-14
482,42,Alblasserdam,28,Zuid-Holland,2020-05-14
613,92,Albrandswaard,28,Zuid-Holland,2020-05-14
361,233,Alkmaar,27,Noord-Holland,2020-05-14
141,89,Almelo,23,Overijssel,2020-05-14
34,396,Almere,24,Flevoland,2020-05-14
484,184,Alphen aan den Rijn,28,Zuid-Holland,2020-05-14
1723,46,Alphen-Chaam,30,Noord-Brabant,2020-05-14
1959,123,Altena,30,Noord-Brabant,2020-05-14
60,0,Ameland,21,Friesland,2020-05-14
307,199,Amersfoort,26,Utrecht,2020-05-14
362,300,Amstelveen,27,Noord-Holland,2020-05-14
363,2223,Amsterdam,27,Noord-Holland,2020-05-14
200,380,Apeldoorn,25,Gelderland,2020-05-14
3,5,Appingedam,20,Groningen,2020-05-14
202,274,Arnhem,25,Gelderland,2020-05-14
106,42,Assen,22,Drenthe,2020-05-14
743,73,Asten,30,Noord-Brabant,2020-05-14
744,23,Baarle-Nassau,30,Noord-Brabant,2020-05-14
308,56,Baarn,26,Utrecht,2020-05-14
489,120,Barendrecht,28,Zuid-Holland,2020-05-14
203,119,Barneveld,25,Gelderland,2020-05-14
888,43,Beek,31,Limburg,2020-05-14
1954,161,Beekdaelen,31,Limburg,2020-05-14
370,9,Beemster,27,Noord-Holland,2020-05-14
889,41,Beesel,31,Limburg,2020-05-14
1945,152,Berg en Dal,25,Gelderland,2020-05-14
1724,54,Bergeijk,30,Noord-Brabant,2020-05-14
893,23,Bergen (L.),31,Limburg,2020-05-14
373,64,Bergen (NH.),27,Noord-Holland,2020-05-14
748,124,Bergen op Zoom,30,Noord-Brabant,2020-05-14
1859,72,Berkelland,25,Gelderland,2020-05-14
1721,265,Bernheze,30,Noord-Brabant,2020-05-14
753,71,Best,30,Noord-Brabant,2020-05-14
209,65,Beuningen,25,Gelderland,2020-05-14
375,73,Beverwijk,27,Noord-Holland,2020-05-14
1728,62,Bladel,30,Noord-Brabant,2020-05-14
376,26,Blaricum,27,Noord-Holland,2020-05-14
377,48,Bloemendaal,27,Noord-Holland,2020-05-14
1901,53,Bodegraven-Reeuwijk,28,Zuid-Holland,2020-05-14
755,88,Boekel,30,Noord-Brabant,2020-05-14
1681,9,Borger-Odoorn,22,Drenthe,2020-05-14
147,49,Borne,23,Overijssel,2020-05-14
654,22,Borsele,29,Zeeland,2020-05-14
756,113,Boxmeer,30,Noord-Brabant,2020-05-14
757,80,Boxtel,30,Noord-Brabant,2020-05-14
758,463,Breda,30,Noord-Brabant,2020-05-14
501,31,Brielle,28,Zuid-Holland,2020-05-14
1876,69,Bronckhorst,25,Gelderland,2020-05-14
213,35,Brummen,25,Gelderland,2020-05-14
899,91,Brunssum,31,Limburg,2020-05-14
312,39,Bunnik,26,Utrecht,2020-05-14
313,61,Bunschoten,26,Utrecht,2020-05-14
214,47,Buren,25,Gelderland,2020-05-14
502,272,Capelle aan den IJssel,28,Zuid-Holland,2020-05-14
383,76,Castricum,27,Noord-Holland,2020-05-14
109,56,Coevorden,22,Drenthe,2020-05-14
1706,166,Cranendonck,30,Noord-Brabant,2020-05-14
1684,70,Cuijk,30,Noord-Brabant,2020-05-14
216,59,Culemborg,25,Gelderland,2020-05-14
148,77,Dalfsen,23,Overijssel,2020-05-14
1891,6,Dantumadiel,21,Friesland,2020-05-14
310,149,De Bilt,26,Utrecht,2020-05-14
1940,61,De Fryske Marren,21,Friesland,2020-05-14
736,91,De Ronde Venen,26,Utrecht,2020-05-14
1690,44,De Wolden,22,Drenthe,2020-05-14
503,134,Delft,28,Zuid-Holland,2020-05-14
10,17,Delfzijl,20,Groningen,2020-05-14
400,37,Den Helder,27,Noord-Holland,2020-05-14
762,155,Deurne,30,Noord-Brabant,2020-05-14
150,249,Deventer,23,Overijssel,2020-05-14
384,98,Diemen,27,Noord-Holland,2020-05-14
1774,71,Dinkelland,23,Overijssel,2020-05-14
221,32,Doesburg,25,Gelderland,2020-05-14
222,94,Doetinchem,25,Gelderland,2020-05-14
766,75,Dongen,30,Noord-Brabant,2020-05-14
505,361,Dordrecht,28,Zuid-Holland,2020-05-14
498,43,Drechterland,27,Noord-Holland,2020-05-14
1719,65,Drimmelen,30,Noord-Brabant,2020-05-14
303,111,Dronten,24,Flevoland,2020-05-14
225,111,Druten,25,Gelderland,2020-05-14
226,46,Duiven,25,Gelderland,2020-05-14
1711,88,Echt-Susteren,31,Limburg,2020-05-14
385,89,Edam-Volendam,27,Noord-Holland,2020-05-14
228,199,Ede,25,Gelderland,2020-05-14
317,17,Eemnes,26,Utrecht,2020-05-14
770,64,Eersel,30,Noord-Brabant,2020-05-14
1903,157,Eijsden-Margraten,31,Limburg,2020-05-14
772,481,Eindhoven,30,Noord-Brabant,2020-05-14
230,123,Elburg,25,Gelderland,2020-05-14
114,101,Emmen,22,Drenthe,2020-05-14
388,29,Enkhuizen,27,Noord-Holland,2020-05-14
153,211,Enschede,23,Overijssel,2020-05-14
232,131,Epe,25,Gelderland,2020-05-14
233,120,Ermelo,25,Gelderland,2020-05-14
777,173,Etten-Leur,30,Noord-Brabant,2020-05-14
779,42,Geertruidenberg,30,Noord-Brabant,2020-05-14
1771,104,Geldrop-Mierlo,30,Noord-Brabant,2020-05-14
1652,173,Gemert-Bakel,30,Noord-Brabant,2020-05-14
907,55,Gennep,31,Limburg,2020-05-14
784,73,Gilze en Rijen,30,Noord-Brabant,2020-05-14
1924,252,Goeree-Overflakkee,28,Zuid-Holland,2020-05-14
664,69,Goes,29,Zeeland,2020-05-14
785,70,Goirle,30,Noord-Brabant,2020-05-14
1942,102,Gooise Meren,27,Noord-Holland,2020-05-14
512,147,Gorinchem,28,Zuid-Holland,2020-05-14
513,237,Gouda,28,Zuid-Holland,2020-05-14
786,69,Grave,30,Noord-Brabant,2020-05-14
14,164,Groningen,20,Groningen,2020-05-14
1729,74,Gulpen-Wittem,31,Limburg,2020-05-14
158,54,Haaksbergen,23,Overijssel,2020-05-14
788,49,Haaren,30,Noord-Brabant,2020-05-14
392,266,Haarlem,27,Noord-Holland,2020-05-14
394,258,Haarlemmermeer,27,Noord-Holland,2020-05-14
1655,55,Halderberge,30,Noord-Brabant,2020-05-14
160,170,Hardenberg,23,Overijssel,2020-05-14
243,140,Harderwijk,25,Gelderland,2020-05-14
523,33,Hardinxveld-Giessendam,28,Zuid-Holland,2020-05-14
72,17,Harlingen,21,Friesland,2020-05-14
244,41,Hattem,25,Gelderland,2020-05-14
396,79,Heemskerk,27,Noord-Holland,2020-05-14
397,88,Heemstede,27,Noord-Holland,2020-05-14
246,189,Heerde,25,Gelderland,2020-05-14
74,88,Heerenveen,21,Friesland,2020-05-14
398,138,Heerhugowaard,27,Noord-Holland,2020-05-14
917,349,Heerlen,31,Limburg,2020-05-14
1658,59,Heeze-Leende,30,Noord-Brabant,2020-05-14
399,47,Heiloo,27,Noord-Holland,2020-05-14
163,94,Hellendoorn,23,Overijssel,2020-05-14
530,62,Hellevoetsluis,28,Zuid-Holland,2020-05-14
794,342,Helmond,30,Noord-Brabant,2020-05-14
531,45,Hendrik-Ido-Ambacht,28,Zuid-Holland,2020-05-14
164,119,Hengelo,23,Overijssel,2020-05-14
1966,29,Het Hogeland,20,Groningen,2020-05-14
252,70,Heumen,25,Gelderland,2020-05-14
797,135,Heusden,30,Noord-Brabant,2020-05-14
534,32,Hillegom,28,Zuid-Holland,2020-05-14
798,41,Hilvarenbeek,30,Noord-Brabant,2020-05-14
402,188,Hilversum,27,Noord-Holland,2020-05-14
1963,291,Hoeksche Waard,28,Zuid-Holland,2020-05-14
1735,62,Hof van Twente,23,Overijssel,2020-05-14
1911,62,Hollands Kroon,27,Noord-Holland,2020-05-14
118,89,Hoogeveen,22,Drenthe,2020-05-14
405,87,Hoorn,27,Noord-Holland,2020-05-14
1507,121,Horst aan de Maas,31,Limburg,2020-05-14
321,124,Houten,26,Utrecht,2020-05-14
406,123,Huizen,27,Noord-Holland,2020-05-14
677,29,Hulst,29,Zeeland,2020-05-14
353,132,IJsselstein,26,Utrecht,2020-05-14
1884,27,Kaag en Braassem,28,Zuid-Holland,2020-05-14
166,328,Kampen,23,Overijssel,2020-05-14
678,22,Kapelle,29,Zeeland,2020-05-14
537,187,Katwijk,28,Zuid-Holland,2020-05-14
928,194,Kerkrade,31,Limburg,2020-05-14
1598,34,Koggenland,27,Noord-Holland,2020-05-14
542,73,Krimpen aan den IJssel,28,Zuid-Holland,2020-05-14
1931,152,Krimpenerwaard,28,Zuid-Holland,2020-05-14
1659,114,Laarbeek,30,Noord-Brabant,2020-05-14
1685,138,Landerd,30,Noord-Brabant,2020-05-14
882,132,Landgraaf,31,Limburg,2020-05-14
415,23,Landsmeer,27,Noord-Holland,2020-05-14
416,44,Langedijk,27,Noord-Holland,2020-05-14
1621,173,Lansingerland,28,Zuid-Holland,2020-05-14
417,24,Laren,27,Noord-Holland,2020-05-14
80,57,Leeuwarden,21,Friesland,2020-05-14
546,142,Leiden,28,Zuid-Holland,2020-05-14
547,31,Leiderdorp,28,Zuid-Holland,2020-05-14
1916,106,Leidschendam-Voorburg,28,Zuid-Holland,2020-05-14
995,162,Lelystad,24,Flevoland,2020-05-14
1640,177,Leudal,31,Limburg,2020-05-14
327,47,Leusden,26,Utrecht,2020-05-14
1705,109,Lingewaard,25,Gelderland,2020-05-14
553,26,Lisse,28,Zuid-Holland,2020-05-14
262,85,Lochem,25,Gelderland,2020-05-14
809,55,Loon op Zand,30,Noord-Brabant,2020-05-14
331,63,Lopik,26,Utrecht,2020-05-14
24,2,Loppersum,20,Groningen,2020-05-14
168,23,Losser,23,Overijssel,2020-05-14
263,48,Maasdriel,25,Gelderland,2020-05-14
1641,101,Maasgouw,31,Limburg,2020-05-14
556,56,Maassluis,28,Zuid-Holland,2020-05-14
935,805,Maastricht,31,Limburg,2020-05-14
420,69,Medemblik,27,Noord-Holland,2020-05-14
938,99,Meerssen,31,Limburg,2020-05-14
1948,536,Meierijstad,30,Noord-Brabant,2020-05-14
119,32,Meppel,22,Drenthe,2020-05-14
687,58,Middelburg,29,Zeeland,2020-05-14
1842,18,Midden-Delfland,28,Zuid-Holland,2020-05-14
1731,22,Midden-Drenthe,22,Drenthe,2020-05-14
1952,31,Midden-Groningen,20,Groningen,2020-05-14
