Gemeentecode,PositiefGetest,Gemeente,Provinciecode,Provincie,Datum
3,3,Appingedam,20,Groningen,2020-04-21
10,15,Delfzijl,20,Groningen,2020-04-21
14,150,Groningen,20,Groningen,2020-04-21
24,2,Loppersum,20,Groningen,2020-04-21
34,255,Almere,24,Flevoland,2020-04-21
37,5,Stadskanaal,20,Groningen,2020-04-21
47,8,Veendam,20,Groningen,2020-04-21
50,28,Zeewolde,24,Flevoland,2020-04-21
59,8,Achtkarspelen,21,Friesland,2020-04-21
60,0,Ameland,21,Friesland,2020-04-21
72,15,Harlingen,21,Friesland,2020-04-21
74,77,Heerenveen,21,Friesland,2020-04-21
80,50,Leeuwarden,21,Friesland,2020-04-21
85,5,Ooststellingwerf,21,Friesland,2020-04-21
86,21,Opsterland,21,Friesland,2020-04-21
88,0,Schiermonnikoog,21,Friesland,2020-04-21
90,39,Smallingerland,21,Friesland,2020-04-21
93,2,Terschelling,21,Friesland,2020-04-21
96,0,Vlieland,21,Friesland,2020-04-21
98,22,Weststellingwerf,21,Friesland,2020-04-21
106,35,Assen,22,Drenthe,2020-04-21
109,46,Coevorden,22,Drenthe,2020-04-21
114,74,Emmen,22,Drenthe,2020-04-21
118,64,Hoogeveen,22,Drenthe,2020-04-21
119,28,Meppel,22,Drenthe,2020-04-21
141,82,Almelo,23,Overijssel,2020-04-21
147,43,Borne,23,Overijssel,2020-04-21
148,68,Dalfsen,23,Overijssel,2020-04-21
150,180,Deventer,23,Overijssel,2020-04-21
153,158,Enschede,23,Overijssel,2020-04-21
158,49,Haaksbergen,23,Overijssel,2020-04-21
160,153,Hardenberg,23,Overijssel,2020-04-21
163,54,Hellendoorn,23,Overijssel,2020-04-21
164,110,Hengelo,23,Overijssel,2020-04-21
166,288,Kampen,23,Overijssel,2020-04-21
168,20,Losser,23,Overijssel,2020-04-21
171,53,Noordoostpolder,24,Flevoland,2020-04-21
173,46,Oldenzaal,23,Overijssel,2020-04-21
175,46,Ommen,23,Overijssel,2020-04-21
177,112,Raalte,23,Overijssel,2020-04-21
180,52,Staphorst,23,Overijssel,2020-04-21
183,72,Tubbergen,23,Overijssel,2020-04-21
184,57,Urk,24,Flevoland,2020-04-21
189,37,Wierden,23,Overijssel,2020-04-21
193,295,Zwolle,23,Overijssel,2020-04-21
197,46,Aalten,25,Gelderland,2020-04-21
200,277,Apeldoorn,25,Gelderland,2020-04-21
202,213,Arnhem,25,Gelderland,2020-04-21
203,95,Barneveld,25,Gelderland,2020-04-21
209,51,Beuningen,25,Gelderland,2020-04-21
213,28,Brummen,25,Gelderland,2020-04-21
214,33,Buren,25,Gelderland,2020-04-21
216,51,Culemborg,25,Gelderland,2020-04-21
221,21,Doesburg,25,Gelderland,2020-04-21
222,70,Doetinchem,25,Gelderland,2020-04-21
225,102,Druten,25,Gelderland,2020-04-21
226,36,Duiven,25,Gelderland,2020-04-21
228,165,Ede,25,Gelderland,2020-04-21
230,97,Elburg,25,Gelderland,2020-04-21
232,106,Epe,25,Gelderland,2020-04-21
233,86,Ermelo,25,Gelderland,2020-04-21
243,91,Harderwijk,25,Gelderland,2020-04-21
244,39,Hattem,25,Gelderland,2020-04-21
246,143,Heerde,25,Gelderland,2020-04-21
252,56,Heumen,25,Gelderland,2020-04-21
262,65,Lochem,25,Gelderland,2020-04-21
263,30,Maasdriel,25,Gelderland,2020-04-21
267,47,Nijkerk,25,Gelderland,2020-04-21
268,501,Nijmegen,25,Gelderland,2020-04-21
269,105,Oldebroek,25,Gelderland,2020-04-21
273,17,Putten,25,Gelderland,2020-04-21
274,55,Renkum,25,Gelderland,2020-04-21
275,64,Rheden,25,Gelderland,2020-04-21
277,3,Rozendaal,25,Gelderland,2020-04-21
279,18,Scherpenzeel,25,Gelderland,2020-04-21
281,85,Tiel,25,Gelderland,2020-04-21
285,45,Voorst,25,Gelderland,2020-04-21
289,40,Wageningen,25,Gelderland,2020-04-21
293,30,Westervoort,25,Gelderland,2020-04-21
294,28,Winterswijk,25,Gelderland,2020-04-21
296,118,Wijchen,25,Gelderland,2020-04-21
297,60,Zaltbommel,25,Gelderland,2020-04-21
299,79,Zevenaar,25,Gelderland,2020-04-21
301,59,Zutphen,25,Gelderland,2020-04-21
302,155,Nunspeet,25,Gelderland,2020-04-21
303,91,Dronten,24,Flevoland,2020-04-21
307,146,Amersfoort,26,Utrecht,2020-04-21
308,36,Baarn,26,Utrecht,2020-04-21
310,93,De Bilt,26,Utrecht,2020-04-21
312,23,Bunnik,26,Utrecht,2020-04-21
313,48,Bunschoten,26,Utrecht,2020-04-21
317,14,Eemnes,26,Utrecht,2020-04-21
321,96,Houten,26,Utrecht,2020-04-21
327,34,Leusden,26,Utrecht,2020-04-21
331,44,Lopik,26,Utrecht,2020-04-21
335,32,Montfoort,26,Utrecht,2020-04-21
339,16,Renswoude,26,Utrecht,2020-04-21
340,20,Rhenen,26,Utrecht,2020-04-21
342,69,Soest,26,Utrecht,2020-04-21
344,675,Utrecht,26,Utrecht,2020-04-21
345,115,Veenendaal,26,Utrecht,2020-04-21
351,24,Woudenberg,26,Utrecht,2020-04-21
352,25,Wijk bij Duurstede,26,Utrecht,2020-04-21
353,94,IJsselstein,26,Utrecht,2020-04-21
355,115,Zeist,26,Utrecht,2020-04-21
356,84,Nieuwegein,26,Utrecht,2020-04-21
358,36,Aalsmeer,27,Noord-Holland,2020-04-21
361,198,Alkmaar,27,Noord-Holland,2020-04-21
362,259,Amstelveen,27,Noord-Holland,2020-04-21
363,1608,Amsterdam,27,Noord-Holland,2020-04-21
370,8,Beemster,27,Noord-Holland,2020-04-21
373,49,Bergen (NH.),27,Noord-Holland,2020-04-21
375,68,Beverwijk,27,Noord-Holland,2020-04-21
376,23,Blaricum,27,Noord-Holland,2020-04-21
377,40,Bloemendaal,27,Noord-Holland,2020-04-21
383,71,Castricum,27,Noord-Holland,2020-04-21
384,63,Diemen,27,Noord-Holland,2020-04-21
385,71,Edam-Volendam,27,Noord-Holland,2020-04-21
388,27,Enkhuizen,27,Noord-Holland,2020-04-21
392,228,Haarlem,27,Noord-Holland,2020-04-21
394,181,Haarlemmermeer,27,Noord-Holland,2020-04-21
396,75,Heemskerk,27,Noord-Holland,2020-04-21
397,87,Heemstede,27,Noord-Holland,2020-04-21
398,117,Heerhugowaard,27,Noord-Holland,2020-04-21
399,41,Heiloo,27,Noord-Holland,2020-04-21
400,35,Den Helder,27,Noord-Holland,2020-04-21
402,111,Hilversum,27,Noord-Holland,2020-04-21
405,82,Hoorn,27,Noord-Holland,2020-04-21
406,73,Huizen,27,Noord-Holland,2020-04-21
415,20,Landsmeer,27,Noord-Holland,2020-04-21
416,41,Langedijk,27,Noord-Holland,2020-04-21
417,22,Laren,27,Noord-Holland,2020-04-21
420,59,Medemblik,27,Noord-Holland,2020-04-21
431,23,Oostzaan,27,Noord-Holland,2020-04-21
432,7,Opmeer,27,Noord-Holland,2020-04-21
437,25,Ouder-Amstel,27,Noord-Holland,2020-04-21
439,171,Purmerend,27,Noord-Holland,2020-04-21
441,66,Schagen,27,Noord-Holland,2020-04-21
448,11,Texel,27,Noord-Holland,2020-04-21
450,21,Uitgeest,27,Noord-Holland,2020-04-21
451,42,Uithoorn,27,Noord-Holland,2020-04-21
453,224,Velsen,27,Noord-Holland,2020-04-21
457,37,Weesp,27,Noord-Holland,2020-04-21
473,29,Zandvoort,27,Noord-Holland,2020-04-21
479,287,Zaanstad,27,Noord-Holland,2020-04-21
482,36,Alblasserdam,28,Zuid-Holland,2020-04-21
484,141,Alphen aan den Rijn,28,Zuid-Holland,2020-04-21
489,91,Barendrecht,28,Zuid-Holland,2020-04-21
498,39,Drechterland,27,Noord-Holland,2020-04-21
501,26,Brielle,28,Zuid-Holland,2020-04-21
502,217,Capelle aan den IJssel,28,Zuid-Holland,2020-04-21
503,103,Delft,28,Zuid-Holland,2020-04-21
505,222,Dordrecht,28,Zuid-Holland,2020-04-21
512,127,Gorinchem,28,Zuid-Holland,2020-04-21
513,198,Gouda,28,Zuid-Holland,2020-04-21
518,888,'s-Gravenhage,28,Zuid-Holland,2020-04-21
523,27,Hardinxveld-Giessendam,28,Zuid-Holland,2020-04-21
530,56,Hellevoetsluis,28,Zuid-Holland,2020-04-21
531,27,Hendrik-Ido-Ambacht,28,Zuid-Holland,2020-04-21
532,45,Stede Broec,27,Noord-Holland,2020-04-21
534,28,Hillegom,28,Zuid-Holland,2020-04-21
537,137,Katwijk,28,Zuid-Holland,2020-04-21
542,56,Krimpen aan den IJssel,28,Zuid-Holland,2020-04-21
546,111,Leiden,28,Zuid-Holland,2020-04-21
547,23,Leiderdorp,28,Zuid-Holland,2020-04-21
553,20,Lisse,28,Zuid-Holland,2020-04-21
556,45,Maassluis,28,Zuid-Holland,2020-04-21
569,44,Nieuwkoop,28,Zuid-Holland,2020-04-21
575,37,Noordwijk,28,Zuid-Holland,2020-04-21
579,34,Oegstgeest,28,Zuid-Holland,2020-04-21
589,46,Oudewater,26,Utrecht,2020-04-21
590,43,Papendrecht,28,Zuid-Holland,2020-04-21
597,88,Ridderkerk,28,Zuid-Holland,2020-04-21
599,1620,Rotterdam,28,Zuid-Holland,2020-04-21
603,82,Rijswijk,28,Zuid-Holland,2020-04-21
606,150,Schiedam,28,Zuid-Holland,2020-04-21
610,35,Sliedrecht,28,Zuid-Holland,2020-04-21
613,75,Albrandswaard,28,Zuid-Holland,2020-04-21
614,22,Westvoorne,28,Zuid-Holland,2020-04-21
622,170,Vlaardingen,28,Zuid-Holland,2020-04-21
626,31,Voorschoten,28,Zuid-Holland,2020-04-21
627,44,Waddinxveen,28,Zuid-Holland,2020-04-21
629,39,Wassenaar,28,Zuid-Holland,2020-04-21
632,122,Woerden,26,Utrecht,2020-04-21
637,146,Zoetermeer,28,Zuid-Holland,2020-04-21
638,7,Zoeterwoude,28,Zuid-Holland,2020-04-21
642,96,Zwijndrecht,28,Zuid-Holland,2020-04-21
654,21,Borsele,29,Zeeland,2020-04-21
664,65,Goes,29,Zeeland,2020-04-21
668,70,West Maas en Waal,25,Gelderland,2020-04-21
677,26,Hulst,29,Zeeland,2020-04-21
678,17,Kapelle,29,Zeeland,2020-04-21
687,41,Middelburg,29,Zeeland,2020-04-21
703,24,Reimerswaal,29,Zeeland,2020-04-21
715,91,Terneuzen,29,Zeeland,2020-04-21
716,125,Tholen,29,Zeeland,2020-04-21
717,25,Veere,29,Zeeland,2020-04-21
718,46,Vlissingen,29,Zeeland,2020-04-21
736,72,De Ronde Venen,26,Utrecht,2020-04-21
737,15,Tytsjerksteradiel,21,Friesland,2020-04-21
743,60,Asten,30,Noord-Brabant,2020-04-21
744,18,Baarle-Nassau,30,Noord-Brabant,2020-04-21
748,82,Bergen op Zoom,30,Noord-Brabant,2020-04-21
753,48,Best,30,Noord-Brabant,2020-04-21
755,85,Boekel,30,Noord-Brabant,2020-04-21
756,90,Boxmeer,30,Noord-Brabant,2020-04-21
757,51,Boxtel,30,Noord-Brabant,2020-04-21
758,398,Breda,30,Noord-Brabant,2020-04-21
762,125,Deurne,30,Noord-Brabant,2020-04-21
765,5,Pekela,20,Groningen,2020-04-21
766,61,Dongen,30,Noord-Brabant,2020-04-21
770,56,Eersel,30,Noord-Brabant,2020-04-21
772,374,Eindhoven,30,Noord-Brabant,2020-04-21
777,140,Etten-Leur,30,Noord-Brabant,2020-04-21
779,32,Geertruidenberg,30,Noord-Brabant,2020-04-21
784,63,Gilze en Rijen,30,Noord-Brabant,2020-04-21
785,63,Goirle,30,Noord-Brabant,2020-04-21
786,52,Grave,30,Noord-Brabant,2020-04-21
788,36,Haaren,30,Noord-Brabant,2020-04-21
794,259,Helmond,30,Noord-Brabant,2020-04-21
796,374,'s-Hertogenbosch,30,Noord-Brabant,2020-04-21
797,109,Heusden,30,Noord-Brabant,2020-04-21
798,31,Hilvarenbeek,30,Noord-Brabant,2020-04-21
809,49,Loon op Zand,30,Noord-Brabant,2020-04-21
815,28,Mill en Sint Hubert,30,Noord-Brabant,2020-04-21
820,41,"Nuenen, Gerwen en Nederwetten",30,Noord-Brabant,2020-04-21
823,48,Oirschot,30,Noord-Brabant,2020-04-21
824,54,Oisterwijk,30,Noord-Brabant,2020-04-21
826,82,Oosterhout,30,Noord-Brabant,2020-04-21
828,384,Oss,30,Noord-Brabant,2020-04-21
840,44,Rucphen,30,Noord-Brabant,2020-04-21
845,77,Sint-Michielsgestel,30,Noord-Brabant,2020-04-21
847,79,Someren,30,Noord-Brabant,2020-04-21
848,64,Son en Breugel,30,Noord-Brabant,2020-04-21
851,57,Steenbergen,30,Noord-Brabant,2020-04-21
852,26,Waterland,27,Noord-Holland,2020-04-21
855,597,Tilburg,30,Noord-Brabant,2020-04-21
856,232,Uden,30,Noord-Brabant,2020-04-21
858,118,Valkenswaard,30,Noord-Brabant,2020-04-21
861,107,Veldhoven,30,Noord-Brabant,2020-04-21
865,88,Vught,30,Noord-Brabant,2020-04-21
866,25,Waalre,30,Noord-Brabant,2020-04-21
867,123,Waalwijk,30,Noord-Brabant,2020-04-21
873,50,Woensdrecht,30,Noord-Brabant,2020-04-21
879,60,Zundert,30,Noord-Brabant,2020-04-21
880,35,Wormerland,27,Noord-Holland,2020-04-21
882,109,Landgraaf,31,Limburg,2020-04-21
888,36,Beek,31,Limburg,2020-04-21
889,38,Beesel,31,Limburg,2020-04-21
893,17,Bergen (L.),31,Limburg,2020-04-21
899,69,Brunssum,31,Limburg,2020-04-21
907,48,Gennep,31,Limburg,2020-04-21
917,266,Heerlen,31,Limburg,2020-04-21
928,130,Kerkrade,31,Limburg,2020-04-21
935,550,Maastricht,31,Limburg,2020-04-21
938,74,Meerssen,31,Limburg,2020-04-21
944,31,Mook en Middelaar,31,Limburg,2020-04-21
946,43,Nederweert,31,Limburg,2020-04-21
957,115,Roermond,31,Limburg,2020-04-21
965,37,Simpelveld,31,Limburg,2020-04-21
971,91,Stein,31,Limburg,2020-04-21
981,27,Vaals,31,Limburg,2020-04-21
983,255,Venlo,31,Limburg,2020-04-21
984,92,Venray,31,Limburg,2020-04-21
986,38,Voerendaal,31,Limburg,2020-04-21
988,106,Weert,31,Limburg,2020-04-21
994,61,Valkenburg aan de Geul,31,Limburg,2020-04-21
995,115,Lelystad,24,Flevoland,2020-04-21
1507,102,Horst aan de Maas,31,Limburg,2020-04-21
1509,55,Oude IJsselstreek,25,Gelderland,2020-04-21
1525,40,Teylingen,28,Zuid-Holland,2020-04-21
1581,82,Utrechtse Heuvelrug,26,Utrecht,2020-04-21
1586,45,Oost Gelre,25,Gelderland,2020-04-21
1598,30,Koggenland,27,Noord-Holland,2020-04-21
1621,149,Lansingerland,28,Zuid-Holland,2020-04-21
1640,161,Leudal,31,Limburg,2020-04-21
1641,70,Maasgouw,31,Limburg,2020-04-21
1652,154,Gemert-Bakel,30,Noord-Brabant,2020-04-21
1655,51,Halderberge,30,Noord-Brabant,2020-04-21
1658,51,Heeze-Leende,30,Noord-Brabant,2020-04-21
1659,90,Laarbeek,30,Noord-Brabant,2020-04-21
1667,21,Reusel-De Mierden,30,Noord-Brabant,2020-04-21
1669,43,Roerdalen,31,Limburg,2020-04-21
1674,168,Roosendaal,30,Noord-Brabant,2020-04-21
1676,30,Schouwen-Duiveland,29,Zeeland,2020-04-21
1680,13,Aa en Hunze,22,Drenthe,2020-04-21
1681,6,Borger-Odoorn,22,Drenthe,2020-04-21
1684,48,Cuijk,30,Noord-Brabant,2020-04-21
1685,113,Landerd,30,Noord-Brabant,2020-04-21
1690,35,De Wolden,22,Drenthe,2020-04-21
1695,5,Noord-Beveland,29,Zeeland,2020-04-21
1696,20,Wijdemeren,27,Noord-Holland,2020-04-21
1699,17,Noordenveld,22,Drenthe,2020-04-21
1700,47,Twenterand,23,Overijssel,2020-04-21
1701,28,Westerveld,22,Drenthe,2020-04-21
1702,56,Sint Anthonis,30,Noord-Brabant,2020-04-21
1705,83,Lingewaard,25,Gelderland,2020-04-21
1706,152,Cranendonck,30,Noord-Brabant,2020-04-21
1708,76,Steenwijkerland,23,Overijssel,2020-04-21
1709,53,Moerdijk,30,Noord-Brabant,2020-04-21
1711,75,Echt-Susteren,31,Limburg,2020-04-21
1714,16,Sluis,29,Zeeland,2020-04-21
1719,53,Drimmelen,30,Noord-Brabant,2020-04-21
1721,233,Bernheze,30,Noord-Brabant,2020-04-21
1723,43,Alphen-Chaam,30,Noord-Brabant,2020-04-21
1724,47,Bergeijk,30,Noord-Brabant,2020-04-21
1728,48,Bladel,30,Noord-Brabant,2020-04-21
1729,59,Gulpen-Wittem,31,Limburg,2020-04-21
1730,36,Tynaarlo,22,Drenthe,2020-04-21
1731,18,Midden-Drenthe,22,Drenthe,2020-04-21
1734,108,Overbetuwe,25,Gelderland,2020-04-21
1735,57,Hof van Twente,23,Overijssel,2020-04-21
1740,85,Neder-Betuwe,25,Gelderland,2020-04-21
1742,103,Rijssen-Holten,23,Overijssel,2020-04-21
1771,86,Geldrop-Mierlo,30,Noord-Brabant,2020-04-21
1773,40,Olst-Wijhe,23,Overijssel,2020-04-21
1774,66,Dinkelland,23,Overijssel,2020-04-21
1783,211,Westland,28,Zuid-Holland,2020-04-21
1842,14,Midden-Delfland,28,Zuid-Holland,2020-04-21
1859,52,Berkelland,25,Gelderland,2020-04-21
1876,51,Bronckhorst,25,Gelderland,2020-04-21
1883,306,Sittard-Geleen,31,Limburg,2020-04-21
1884,21,Kaag en Braassem,28,Zuid-Holland,2020-04-21
