Gemeentecode,PositiefGetest,Gemeente,Provinciecode,Provincie,Datum
796,462,'s-Hertogenbosch,30,Noord-Brabant,2020-05-17
1680,14,Aa en Hunze,22,Drenthe,2020-05-17
358,38,Aalsmeer,27,Noord-Holland,2020-05-17
197,55,Aalten,25,Gelderland,2020-05-17
59,11,Achtkarspelen,21,Friesland,2020-05-17
482,40,Alblasserdam,28,Zuid-Holland,2020-05-17
613,94,Albrandswaard,28,Zuid-Holland,2020-05-17
361,239,Alkmaar,27,Noord-Holland,2020-05-17
141,90,Almelo,23,Overijssel,2020-05-17
34,405,Almere,24,Flevoland,2020-05-17
484,190,Alphen aan den Rijn,28,Zuid-Holland,2020-05-17
1723,46,Alphen-Chaam,30,Noord-Brabant,2020-05-17
1959,123,Altena,30,Noord-Brabant,2020-05-17
60,0,Ameland,21,Friesland,2020-05-17
307,201,Amersfoort,26,Utrecht,2020-05-17
362,302,Amstelveen,27,Noord-Holland,2020-05-17
363,2256,Amsterdam,27,Noord-Holland,2020-05-17
200,384,Apeldoorn,25,Gelderland,2020-05-17
3,5,Appingedam,20,Groningen,2020-05-17
202,277,Arnhem,25,Gelderland,2020-05-17
106,42,Assen,22,Drenthe,2020-05-17
743,73,Asten,30,Noord-Brabant,2020-05-17
744,25,Baarle-Nassau,30,Noord-Brabant,2020-05-17
308,56,Baarn,26,Utrecht,2020-05-17
489,121,Barendrecht,28,Zuid-Holland,2020-05-17
203,122,Barneveld,25,Gelderland,2020-05-17
888,43,Beek,31,Limburg,2020-05-17
1954,163,Beekdaelen,31,Limburg,2020-05-17
370,9,Beemster,27,Noord-Holland,2020-05-17
889,41,Beesel,31,Limburg,2020-05-17
1945,153,Berg en Dal,25,Gelderland,2020-05-17
1724,55,Bergeijk,30,Noord-Brabant,2020-05-17
893,23,Bergen (L.),31,Limburg,2020-05-17
373,69,Bergen (NH.),27,Noord-Holland,2020-05-17
748,129,Bergen op Zoom,30,Noord-Brabant,2020-05-17
1859,73,Berkelland,25,Gelderland,2020-05-17
1721,266,Bernheze,30,Noord-Brabant,2020-05-17
753,72,Best,30,Noord-Brabant,2020-05-17
209,68,Beuningen,25,Gelderland,2020-05-17
375,74,Beverwijk,27,Noord-Holland,2020-05-17
1728,62,Bladel,30,Noord-Brabant,2020-05-17
376,26,Blaricum,27,Noord-Holland,2020-05-17
377,48,Bloemendaal,27,Noord-Holland,2020-05-17
1901,55,Bodegraven-Reeuwijk,28,Zuid-Holland,2020-05-17
755,89,Boekel,30,Noord-Brabant,2020-05-17
1681,9,Borger-Odoorn,22,Drenthe,2020-05-17
147,50,Borne,23,Overijssel,2020-05-17
654,25,Borsele,29,Zeeland,2020-05-17
756,113,Boxmeer,30,Noord-Brabant,2020-05-17
757,81,Boxtel,30,Noord-Brabant,2020-05-17
758,467,Breda,30,Noord-Brabant,2020-05-17
501,32,Brielle,28,Zuid-Holland,2020-05-17
1876,70,Bronckhorst,25,Gelderland,2020-05-17
213,35,Brummen,25,Gelderland,2020-05-17
899,95,Brunssum,31,Limburg,2020-05-17
312,41,Bunnik,26,Utrecht,2020-05-17
313,61,Bunschoten,26,Utrecht,2020-05-17
214,47,Buren,25,Gelderland,2020-05-17
502,273,Capelle aan den IJssel,28,Zuid-Holland,2020-05-17
383,76,Castricum,27,Noord-Holland,2020-05-17
109,56,Coevorden,22,Drenthe,2020-05-17
1706,166,Cranendonck,30,Noord-Brabant,2020-05-17
1684,70,Cuijk,30,Noord-Brabant,2020-05-17
216,60,Culemborg,25,Gelderland,2020-05-17
148,77,Dalfsen,23,Overijssel,2020-05-17
1891,6,Dantumadiel,21,Friesland,2020-05-17
310,154,De Bilt,26,Utrecht,2020-05-17
1940,62,De Fryske Marren,21,Friesland,2020-05-17
736,91,De Ronde Venen,26,Utrecht,2020-05-17
1690,44,De Wolden,22,Drenthe,2020-05-17
503,136,Delft,28,Zuid-Holland,2020-05-17
10,17,Delfzijl,20,Groningen,2020-05-17
400,37,Den Helder,27,Noord-Holland,2020-05-17
762,162,Deurne,30,Noord-Brabant,2020-05-17
150,251,Deventer,23,Overijssel,2020-05-17
384,98,Diemen,27,Noord-Holland,2020-05-17
1774,71,Dinkelland,23,Overijssel,2020-05-17
221,32,Doesburg,25,Gelderland,2020-05-17
222,94,Doetinchem,25,Gelderland,2020-05-17
766,76,Dongen,30,Noord-Brabant,2020-05-17
505,373,Dordrecht,28,Zuid-Holland,2020-05-17
498,43,Drechterland,27,Noord-Holland,2020-05-17
1719,65,Drimmelen,30,Noord-Brabant,2020-05-17
303,113,Dronten,24,Flevoland,2020-05-17
225,111,Druten,25,Gelderland,2020-05-17
226,46,Duiven,25,Gelderland,2020-05-17
1711,88,Echt-Susteren,31,Limburg,2020-05-17
385,95,Edam-Volendam,27,Noord-Holland,2020-05-17
228,202,Ede,25,Gelderland,2020-05-17
317,17,Eemnes,26,Utrecht,2020-05-17
770,64,Eersel,30,Noord-Brabant,2020-05-17
1903,159,Eijsden-Margraten,31,Limburg,2020-05-17
772,485,Eindhoven,30,Noord-Brabant,2020-05-17
230,126,Elburg,25,Gelderland,2020-05-17
114,101,Emmen,22,Drenthe,2020-05-17
388,29,Enkhuizen,27,Noord-Holland,2020-05-17
153,214,Enschede,23,Overijssel,2020-05-17
232,133,Epe,25,Gelderland,2020-05-17
233,120,Ermelo,25,Gelderland,2020-05-17
777,173,Etten-Leur,30,Noord-Brabant,2020-05-17
779,42,Geertruidenberg,30,Noord-Brabant,2020-05-17
1771,106,Geldrop-Mierlo,30,Noord-Brabant,2020-05-17
1652,175,Gemert-Bakel,30,Noord-Brabant,2020-05-17
907,55,Gennep,31,Limburg,2020-05-17
784,73,Gilze en Rijen,30,Noord-Brabant,2020-05-17
1924,255,Goeree-Overflakkee,28,Zuid-Holland,2020-05-17
664,69,Goes,29,Zeeland,2020-05-17
785,71,Goirle,30,Noord-Brabant,2020-05-17
1942,104,Gooise Meren,27,Noord-Holland,2020-05-17
512,146,Gorinchem,28,Zuid-Holland,2020-05-17
513,237,Gouda,28,Zuid-Holland,2020-05-17
786,69,Grave,30,Noord-Brabant,2020-05-17
14,164,Groningen,20,Groningen,2020-05-17
1729,75,Gulpen-Wittem,31,Limburg,2020-05-17
158,54,Haaksbergen,23,Overijssel,2020-05-17
788,49,Haaren,30,Noord-Brabant,2020-05-17
392,269,Haarlem,27,Noord-Holland,2020-05-17
394,262,Haarlemmermeer,27,Noord-Holland,2020-05-17
1655,55,Halderberge,30,Noord-Brabant,2020-05-17
160,170,Hardenberg,23,Overijssel,2020-05-17
243,145,Harderwijk,25,Gelderland,2020-05-17
523,33,Hardinxveld-Giessendam,28,Zuid-Holland,2020-05-17
72,17,Harlingen,21,Friesland,2020-05-17
244,41,Hattem,25,Gelderland,2020-05-17
396,79,Heemskerk,27,Noord-Holland,2020-05-17
397,88,Heemstede,27,Noord-Holland,2020-05-17
246,188,Heerde,25,Gelderland,2020-05-17
74,89,Heerenveen,21,Friesland,2020-05-17
398,139,Heerhugowaard,27,Noord-Holland,2020-05-17
917,356,Heerlen,31,Limburg,2020-05-17
1658,60,Heeze-Leende,30,Noord-Brabant,2020-05-17
399,48,Heiloo,27,Noord-Holland,2020-05-17
163,94,Hellendoorn,23,Overijssel,2020-05-17
530,63,Hellevoetsluis,28,Zuid-Holland,2020-05-17
794,345,Helmond,30,Noord-Brabant,2020-05-17
531,46,Hendrik-Ido-Ambacht,28,Zuid-Holland,2020-05-17
164,119,Hengelo,23,Overijssel,2020-05-17
1966,29,Het Hogeland,20,Groningen,2020-05-17
252,70,Heumen,25,Gelderland,2020-05-17
797,135,Heusden,30,Noord-Brabant,2020-05-17
534,33,Hillegom,28,Zuid-Holland,2020-05-17
798,41,Hilvarenbeek,30,Noord-Brabant,2020-05-17
402,188,Hilversum,27,Noord-Holland,2020-05-17
1963,285,Hoeksche Waard,28,Zuid-Holland,2020-05-17
1735,62,Hof van Twente,23,Overijssel,2020-05-17
1911,62,Hollands Kroon,27,Noord-Holland,2020-05-17
118,89,Hoogeveen,22,Drenthe,2020-05-17
