Gemeentecode,PositiefGetest,Gemeente,Provinciecode,Provincie,Datum
3,5,Appingedam,20,Groningen,2020-08-07
10,18,Delfzijl,20,Groningen,2020-08-07
14,217,Groningen,20,Groningen,2020-08-07
24,2,Loppersum,20,Groningen,2020-08-07
34,511,Almere,24,Flevoland,2020-08-07
37,9,Stadskanaal,20,Groningen,2020-08-07
47,8,Veendam,20,Groningen,2020-08-07
50,51,Zeewolde,24,Flevoland,2020-08-07
59,15,Achtkarspelen,21,Friesland,2020-08-07
60,0,Ameland,21,Friesland,2020-08-07
72,17,Harlingen,21,Friesland,2020-08-07
74,95,Heerenveen,21,Friesland,2020-08-07
80,72,Leeuwarden,21,Friesland,2020-08-07
85,8,Ooststellingwerf,21,Friesland,2020-08-07
86,24,Opsterland,21,Friesland,2020-08-07
88,0,Schiermonnikoog,21,Friesland,2020-08-07
90,59,Smallingerland,21,Friesland,2020-08-07
93,2,Terschelling,21,Friesland,2020-08-07
96,0,Vlieland,21,Friesland,2020-08-07
98,29,Weststellingwerf,21,Friesland,2020-08-07
106,52,Assen,22,Drenthe,2020-08-07
109,57,Coevorden,22,Drenthe,2020-08-07
114,106,Emmen,22,Drenthe,2020-08-07
118,102,Hoogeveen,22,Drenthe,2020-08-07
119,51,Meppel,22,Drenthe,2020-08-07
141,96,Almelo,23,Overijssel,2020-08-07
147,51,Borne,23,Overijssel,2020-08-07
148,84,Dalfsen,23,Overijssel,2020-08-07
150,354,Deventer,23,Overijssel,2020-08-07
153,268,Enschede,23,Overijssel,2020-08-07
158,56,Haaksbergen,23,Overijssel,2020-08-07
160,174,Hardenberg,23,Overijssel,2020-08-07
163,97,Hellendoorn,23,Overijssel,2020-08-07
164,136,Hengelo,23,Overijssel,2020-08-07
166,346,Kampen,23,Overijssel,2020-08-07
168,26,Losser,23,Overijssel,2020-08-07
171,82,Noordoostpolder,24,Flevoland,2020-08-07
173,50,Oldenzaal,23,Overijssel,2020-08-07
175,54,Ommen,23,Overijssel,2020-08-07
177,158,Raalte,23,Overijssel,2020-08-07
180,61,Staphorst,23,Overijssel,2020-08-07
183,81,Tubbergen,23,Overijssel,2020-08-07
184,84,Urk,24,Flevoland,2020-08-07
189,51,Wierden,23,Overijssel,2020-08-07
193,368,Zwolle,23,Overijssel,2020-08-07
197,60,Aalten,25,Gelderland,2020-08-07
200,479,Apeldoorn,25,Gelderland,2020-08-07
202,439,Arnhem,25,Gelderland,2020-08-07
203,143,Barneveld,25,Gelderland,2020-08-07
209,80,Beuningen,25,Gelderland,2020-08-07
213,41,Brummen,25,Gelderland,2020-08-07
214,63,Buren,25,Gelderland,2020-08-07
216,85,Culemborg,25,Gelderland,2020-08-07
221,32,Doesburg,25,Gelderland,2020-08-07
222,104,Doetinchem,25,Gelderland,2020-08-07
225,115,Druten,25,Gelderland,2020-08-07
226,54,Duiven,25,Gelderland,2020-08-07
228,241,Ede,25,Gelderland,2020-08-07
230,151,Elburg,25,Gelderland,2020-08-07
232,138,Epe,25,Gelderland,2020-08-07
233,150,Ermelo,25,Gelderland,2020-08-07
243,182,Harderwijk,25,Gelderland,2020-08-07
244,42,Hattem,25,Gelderland,2020-08-07
246,192,Heerde,25,Gelderland,2020-08-07
252,76,Heumen,25,Gelderland,2020-08-07
262,98,Lochem,25,Gelderland,2020-08-07
263,62,Maasdriel,25,Gelderland,2020-08-07
267,70,Nijkerk,25,Gelderland,2020-08-07
268,701,Nijmegen,25,Gelderland,2020-08-07
269,175,Oldebroek,25,Gelderland,2020-08-07
273,35,Putten,25,Gelderland,2020-08-07
274,81,Renkum,25,Gelderland,2020-08-07
275,147,Rheden,25,Gelderland,2020-08-07
277,3,Rozendaal,25,Gelderland,2020-08-07
279,33,Scherpenzeel,25,Gelderland,2020-08-07
281,151,Tiel,25,Gelderland,2020-08-07
285,84,Voorst,25,Gelderland,2020-08-07
289,56,Wageningen,25,Gelderland,2020-08-07
293,43,Westervoort,25,Gelderland,2020-08-07
294,48,Winterswijk,25,Gelderland,2020-08-07
296,150,Wijchen,25,Gelderland,2020-08-07
297,107,Zaltbommel,25,Gelderland,2020-08-07
299,123,Zevenaar,25,Gelderland,2020-08-07
301,112,Zutphen,25,Gelderland,2020-08-07
302,224,Nunspeet,25,Gelderland,2020-08-07
303,124,Dronten,24,Flevoland,2020-08-07
307,280,Amersfoort,26,Utrecht,2020-08-07
308,66,Baarn,26,Utrecht,2020-08-07
310,193,De Bilt,26,Utrecht,2020-08-07
312,47,Bunnik,26,Utrecht,2020-08-07
313,73,Bunschoten,26,Utrecht,2020-08-07
317,23,Eemnes,26,Utrecht,2020-08-07
321,161,Houten,26,Utrecht,2020-08-07
327,62,Leusden,26,Utrecht,2020-08-07
331,70,Lopik,26,Utrecht,2020-08-07
335,49,Montfoort,26,Utrecht,2020-08-07
339,19,Renswoude,26,Utrecht,2020-08-07
340,49,Rhenen,26,Utrecht,2020-08-07
342,97,Soest,26,Utrecht,2020-08-07
344,1604,Utrecht,26,Utrecht,2020-08-07
345,198,Veenendaal,26,Utrecht,2020-08-07
351,33,Woudenberg,26,Utrecht,2020-08-07
352,43,Wijk bij Duurstede,26,Utrecht,2020-08-07
353,164,IJsselstein,26,Utrecht,2020-08-07
355,230,Zeist,26,Utrecht,2020-08-07
356,187,Nieuwegein,26,Utrecht,2020-08-07
358,50,Aalsmeer,27,Noord-Holland,2020-08-07
361,270,Alkmaar,27,Noord-Holland,2020-08-07
362,375,Amstelveen,27,Noord-Holland,2020-08-07
363,3733,Amsterdam,27,Noord-Holland,2020-08-07
370,19,Beemster,27,Noord-Holland,2020-08-07
373,102,Bergen (NH.),27,Noord-Holland,2020-08-07
375,87,Beverwijk,27,Noord-Holland,2020-08-07
376,40,Blaricum,27,Noord-Holland,2020-08-07
377,57,Bloemendaal,27,Noord-Holland,2020-08-07
383,84,Castricum,27,Noord-Holland,2020-08-07
384,123,Diemen,27,Noord-Holland,2020-08-07
385,126,Edam-Volendam,27,Noord-Holland,2020-08-07
388,32,Enkhuizen,27,Noord-Holland,2020-08-07
392,350,Haarlem,27,Noord-Holland,2020-08-07
394,379,Haarlemmermeer,27,Noord-Holland,2020-08-07
396,94,Heemskerk,27,Noord-Holland,2020-08-07
397,102,Heemstede,27,Noord-Holland,2020-08-07
398,163,Heerhugowaard,27,Noord-Holland,2020-08-07
399,51,Heiloo,27,Noord-Holland,2020-08-07
400,49,Den Helder,27,Noord-Holland,2020-08-07
402,252,Hilversum,27,Noord-Holland,2020-08-07
405,122,Hoorn,27,Noord-Holland,2020-08-07
406,171,Huizen,27,Noord-Holland,2020-08-07
415,24,Landsmeer,27,Noord-Holland,2020-08-07
416,54,Langedijk,27,Noord-Holland,2020-08-07
417,29,Laren,27,Noord-Holland,2020-08-07
420,74,Medemblik,27,Noord-Holland,2020-08-07
431,31,Oostzaan,27,Noord-Holland,2020-08-07
432,9,Opmeer,27,Noord-Holland,2020-08-07
437,48,Ouder-Amstel,27,Noord-Holland,2020-08-07
439,243,Purmerend,27,Noord-Holland,2020-08-07
441,78,Schagen,27,Noord-Holland,2020-08-07
448,11,Texel,27,Noord-Holland,2020-08-07
450,27,Uitgeest,27,Noord-Holland,2020-08-07
451,65,Uithoorn,27,Noord-Holland,2020-08-07
453,290,Velsen,27,Noord-Holland,2020-08-07
457,88,Weesp,27,Noord-Holland,2020-08-07
473,42,Zandvoort,27,Noord-Holland,2020-08-07
479,502,Zaanstad,27,Noord-Holland,2020-08-07
482,49,Alblasserdam,28,Zuid-Holland,2020-08-07
484,243,Alphen aan den Rijn,28,Zuid-Holland,2020-08-07
489,168,Barendrecht,28,Zuid-Holland,2020-08-07
498,46,Drechterland,27,Noord-Holland,2020-08-07
501,36,Brielle,28,Zuid-Holland,2020-08-07
502,380,Capelle aan den IJssel,28,Zuid-Holland,2020-08-07
503,197,Delft,28,Zuid-Holland,2020-08-07
505,601,Dordrecht,28,Zuid-Holland,2020-08-07
512,190,Gorinchem,28,Zuid-Holland,2020-08-07
513,361,Gouda,28,Zuid-Holland,2020-08-07
518,2337,'s-Gravenhage,28,Zuid-Holland,2020-08-07
523,42,Hardinxveld-Giessendam,28,Zuid-Holland,2020-08-07
530,94,Hellevoetsluis,28,Zuid-Holland,2020-08-07
531,85,Hendrik-Ido-Ambacht,28,Zuid-Holland,2020-08-07
532,51,Stede Broec,27,Noord-Holland,2020-08-07
534,80,Hillegom,28,Zuid-Holland,2020-08-07
537,289,Katwijk,28,Zuid-Holland,2020-08-07
542,94,Krimpen aan den IJssel,28,Zuid-Holland,2020-08-07
546,213,Leiden,28,Zuid-Holland,2020-08-07
547,46,Leiderdorp,28,Zuid-Holland,2020-08-07
553,40,Lisse,28,Zuid-Holland,2020-08-07
556,114,Maassluis,28,Zuid-Holland,2020-08-07
569,57,Nieuwkoop,28,Zuid-Holland,2020-08-07
575,63,Noordwijk,28,Zuid-Holland,2020-08-07
579,48,Oegstgeest,28,Zuid-Holland,2020-08-07
589,63,Oudewater,26,Utrecht,2020-08-07
590,86,Papendrecht,28,Zuid-Holland,2020-08-07
597,185,Ridderkerk,28,Zuid-Holland,2020-08-07
599,4046,Rotterdam,28,Zuid-Holland,2020-08-07
603,190,Rijswijk,28,Zuid-Holland,2020-08-07
606,360,Schiedam,28,Zuid-Holland,2020-08-07
610,73,Sliedrecht,28,Zuid-Holland,2020-08-07
613,125,Albrandswaard,28,Zuid-Holland,2020-08-07
614,31,Westvoorne,28,Zuid-Holland,2020-08-07
622,369,Vlaardingen,28,Zuid-Holland,2020-08-07
626,71,Voorschoten,28,Zuid-Holland,2020-08-07
627,126,Waddinxveen,28,Zuid-Holland,2020-08-07
629,62,Wassenaar,28,Zuid-Holland,2020-08-07
632,191,Woerden,26,Utrecht,2020-08-07
637,279,Zoetermeer,28,Zuid-Holland,2020-08-07
638,17,Zoeterwoude,28,Zuid-Holland,2020-08-07
642,178,Zwijndrecht,28,Zuid-Holland,2020-08-07
654,29,Borsele,29,Zeeland,2020-08-07
664,147,Goes,29,Zeeland,2020-08-07
668,85,West Maas en Waal,25,Gelderland,2020-08-07
677,35,Hulst,29,Zeeland,2020-08-07
678,27,Kapelle,29,Zeeland,2020-08-07
687,85,Middelburg,29,Zeeland,2020-08-07
703,37,Reimerswaal,29,Zeeland,2020-08-07
715,122,Terneuzen,29,Zeeland,2020-08-07
716,173,Tholen,29,Zeeland,2020-08-07
717,39,Veere,29,Zeeland,2020-08-07
718,80,Vlissingen,29,Zeeland,2020-08-07
736,113,De Ronde Venen,26,Utrecht,2020-08-07
737,16,Tytsjerksteradiel,21,Friesland,2020-08-07
743,79,Asten,30,Noord-Brabant,2020-08-07
744,27,Baarle-Nassau,30,Noord-Brabant,2020-08-07
748,264,Bergen op Zoom,30,Noord-Brabant,2020-08-07
753,89,Best,30,Noord-Brabant,2020-08-07
755,89,Boekel,30,Noord-Brabant,2020-08-07
756,128,Boxmeer,30,Noord-Brabant,2020-08-07
757,134,Boxtel,30,Noord-Brabant,2020-08-07
758,695,Breda,30,Noord-Brabant,2020-08-07
762,194,Deurne,30,Noord-Brabant,2020-08-07
765,5,Pekela,20,Groningen,2020-08-07
766,89,Dongen,30,Noord-Brabant,2020-08-07
770,69,Eersel,30,Noord-Brabant,2020-08-07
772,609,Eindhoven,30,Noord-Brabant,2020-08-07
777,221,Etten-Leur,30,Noord-Brabant,2020-08-07
779,49,Geertruidenberg,30,Noord-Brabant,2020-08-07
784,93,Gilze en Rijen,30,Noord-Brabant,2020-08-07
785,93,Goirle,30,Noord-Brabant,2020-08-07
786,71,Grave,30,Noord-Brabant,2020-08-07
788,59,Haaren,30,Noord-Brabant,2020-08-07
794,451,Helmond,30,Noord-Brabant,2020-08-07
796,553,'s-Hertogenbosch,30,Noord-Brabant,2020-08-07
797,164,Heusden,30,Noord-Brabant,2020-08-07
798,52,Hilvarenbeek,30,Noord-Brabant,2020-08-07
809,65,Loon op Zand,30,Noord-Brabant,2020-08-07
815,41,Mill en Sint Hubert,30,Noord-Brabant,2020-08-07
820,55,"Nuenen, Gerwen en Nederwetten",30,Noord-Brabant,2020-08-07
823,73,Oirschot,30,Noord-Brabant,2020-08-07
824,81,Oisterwijk,30,Noord-Brabant,2020-08-07
826,159,Oosterhout,30,Noord-Brabant,2020-08-07
828,502,Oss,30,Noord-Brabant,2020-08-07
840,72,Rucphen,30,Noord-Brabant,2020-08-07
845,122,Sint-Michielsgestel,30,Noord-Brabant,2020-08-07
847,108,Someren,30,Noord-Brabant,2020-08-07
848,74,Son en Breugel,30,Noord-Brabant,2020-08-07
851,100,Steenbergen,30,Noord-Brabant,2020-08-07
852,34,Waterland,27,Noord-Holland,2020-08-07
855,898,Tilburg,30,Noord-Brabant,2020-08-07
856,268,Uden,30,Noord-Brabant,2020-08-07
858,186,Valkenswaard,30,Noord-Brabant,2020-08-07
861,140,Veldhoven,30,Noord-Brabant,2020-08-07
865,108,Vught,30,Noord-Brabant,2020-08-07
866,33,Waalre,30,Noord-Brabant,2020-08-07
867,200,Waalwijk,30,Noord-Brabant,2020-08-07
873,81,Woensdrecht,30,Noord-Brabant,2020-08-07
879,114,Zundert,30,Noord-Brabant,2020-08-07
880,51,Wormerland,27,Noord-Holland,2020-08-07
882,145,Landgraaf,31,Limburg,2020-08-07
888,44,Beek,31,Limburg,2020-08-07
889,45,Beesel,31,Limburg,2020-08-07
893,25,Bergen (L.),31,Limburg,2020-08-07
899,112,Brunssum,31,Limburg,2020-08-07
907,58,Gennep,31,Limburg,2020-08-07
917,393,Heerlen,31,Limburg,2020-08-07
928,205,Kerkrade,31,Limburg,2020-08-07
935,923,Maastricht,31,Limburg,2020-08-07
938,120,Meerssen,31,Limburg,2020-08-07
944,40,Mook en Middelaar,31,Limburg,2020-08-07
946,54,Nederweert,31,Limburg,2020-08-07
957,150,Roermond,31,Limburg,2020-08-07
965,48,Simpelveld,31,Limburg,2020-08-07
971,122,Stein,31,Limburg,2020-08-07
981,31,Vaals,31,Limburg,2020-08-07
983,321,Venlo,31,Limburg,2020-08-07
984,130,Venray,31,Limburg,2020-08-07
986,48,Voerendaal,31,Limburg,2020-08-07
988,145,Weert,31,Limburg,2020-08-07
994,88,Valkenburg aan de Geul,31,Limburg,2020-08-07
995,194,Lelystad,24,Flevoland,2020-08-07
1507,138,Horst aan de Maas,31,Limburg,2020-08-07
1509,80,Oude IJsselstreek,25,Gelderland,2020-08-07
1525,71,Teylingen,28,Zuid-Holland,2020-08-07
1581,136,Utrechtse Heuvelrug,26,Utrecht,2020-08-07
1586,77,Oost Gelre,25,Gelderland,2020-08-07
1598,38,Koggenland,27,Noord-Holland,2020-08-07
1621,225,Lansingerland,28,Zuid-Holland,2020-08-07
1640,192,Leudal,31,Limburg,2020-08-07
1641,107,Maasgouw,31,Limburg,2020-08-07
1652,223,Gemert-Bakel,30,Noord-Brabant,2020-08-07
1655,69,Halderberge,30,Noord-Brabant,2020-08-07
1658,72,Heeze-Leende,30,Noord-Brabant,2020-08-07
1659,125,Laarbeek,30,Noord-Brabant,2020-08-07
1667,25,Reusel-De Mierden,30,Noord-Brabant,2020-08-07
1669,49,Roerdalen,31,Limburg,2020-08-07
1674,277,Roosendaal,30,Noord-Brabant,2020-08-07
1676,97,Schouwen-Duiveland,29,Zeeland,2020-08-07
1680,14,Aa en Hunze,22,Drenthe,2020-08-07
1681,10,Borger-Odoorn,22,Drenthe,2020-08-07
1684,79,Cuijk,30,Noord-Brabant,2020-08-07
1685,146,Landerd,30,Noord-Brabant,2020-08-07
1690,48,De Wolden,22,Drenthe,2020-08-07
1695,13,Noord-Beveland,29,Zeeland,2020-08-07
1696,42,Wijdemeren,27,Noord-Holland,2020-08-07
1699,21,Noordenveld,22,Drenthe,2020-08-07
1700,61,Twenterand,23,Overijssel,2020-08-07
1701,38,Westerveld,22,Drenthe,2020-08-07
1702,72,Sint Anthonis,30,Noord-Brabant,2020-08-07
1705,131,Lingewaard,25,Gelderland,2020-08-07
1706,173,Cranendonck,30,Noord-Brabant,2020-08-07
1708,108,Steenwijkerland,23,Overijssel,2020-08-07
1709,89,Moerdijk,30,Noord-Brabant,2020-08-07
1711,94,Echt-Susteren,31,Limburg,2020-08-07
1714,21,Sluis,29,Zeeland,2020-08-07
1719,73,Drimmelen,30,Noord-Brabant,2020-08-07
1721,284,Bernheze,30,Noord-Brabant,2020-08-07
1723,62,Alphen-Chaam,30,Noord-Brabant,2020-08-07
1724,58,Bergeijk,30,Noord-Brabant,2020-08-07
1728,81,Bladel,30,Noord-Brabant,2020-08-07
1729,80,Gulpen-Wittem,31,Limburg,2020-08-07
1730,41,Tynaarlo,22,Drenthe,2020-08-07
1731,23,Midden-Drenthe,22,Drenthe,2020-08-07
1734,141,Overbetuwe,25,Gelderland,2020-08-07
1735,63,Hof van Twente,23,Overijssel,2020-08-07
1740,146,Neder-Betuwe,25,Gelderland,2020-08-07
1742,205,Rijssen-Holten,23,Overijssel,2020-08-07
1771,114,Geldrop-Mierlo,30,Noord-Brabant,2020-08-07
1773,54,Olst-Wijhe,23,Overijssel,2020-08-07
1774,77,Dinkelland,23,Overijssel,2020-08-07
1783,332,Westland,28,Zuid-Holland,2020-08-07
1842,35,Midden-Delfland,28,Zuid-Holland,2020-08-07
1859,96,Berkelland,25,Gelderland,2020-08-07
1876,81,Bronckhorst,25,Gelderland,2020-08-07
1883,417,Sittard-Geleen,31,Limburg,2020-08-07
1884,35,Kaag en Braassem,28,Zuid-Holland,2020-08-07
1891,5,Dantumadiel,21,Friesland,2020-08-07
1892,164,Zuidplas,28,Zuid-Holland,2020-08-07
1894,285,Peel en Maas,31,Limburg,2020-08-07
1895,13,Oldambt,20,Groningen,2020-08-07
1896,146,Zwartewaterland,23,Overijssel,2020-08-07
1900,107,Súdwest-Fryslân,21,Friesland,2020-08-07
1901,76,Bodegraven-Reeuwijk,28,Zuid-Holland,2020-08-07
1903,179,Eijsden-Margraten,31,Limburg,2020-08-07
1904,150,Stichtse Vecht,26,Utrecht,2020-08-07
1911,65,Hollands Kroon,27,Noord-Holland,2020-08-07
1916,183,Leidschendam-Voorburg,28,Zuid-Holland,2020-08-07
1924,273,Goeree-Overflakkee,28,Zuid-Holland,2020-08-07
1926,160,Pijnacker-Nootdorp,28,Zuid-Holland,2020-08-07
1930,249,Nissewaard,28,Zuid-Holland,2020-08-07
1931,218,Krimpenerwaard,28,Zuid-Holland,2020-08-07
1940,76,De Fryske Marren,21,Friesland,2020-08-07
1942,133,Gooise Meren,27,Noord-Holland,2020-08-07
1945,185,Berg en Dal,25,Gelderland,2020-08-07
1948,561,Meierijstad,30,Noord-Brabant,2020-08-07
1949,101,Waadhoeke,21,Friesland,2020-08-07
1950,7,Westerwolde,20,Groningen,2020-08-07
1952,37,Midden-Groningen,20,Groningen,2020-08-07
1954,172,Beekdaelen,31,Limburg,2020-08-07
1955,105,Montferland,25,Gelderland,2020-08-07
1959,151,Altena,30,Noord-Brabant,2020-08-07
1960,217,West Betuwe,25,Gelderland,2020-08-07
1961,281,Vijfheerenlanden,26,Utrecht,2020-08-07
1963,335,Hoeksche Waard,28,Zuid-Holland,2020-08-07
1966,38,Het Hogeland,20,Groningen,2020-08-07
1969,59,Westerkwartier,20,Groningen,2020-08-07
1970,32,Noardeast-Fryslân,21,Friesland,2020-08-07
1978,127,Molenlanden,28,Zuid-Holland,2020-08-07
